Date,Open,High,Low,Close,Volume
02/20/2024,"380.95","385.58","380.85","384.52","2,358,977"
02/16/2024,"383.24","387.58","380.95","384.44","2,376,824"
02/15/2024,"379.42","387.21","379.14","385.42","2,218,890"
02/14/2024,"380.88","381.48","375.78","378.04","2,041,326"
02/13/2024,"387.59","389.16","375.20","378.75","3,030,784"
02/12/2024,"385.00","396.35","384.32","392.64","2,797,421"
02/09/2024,"384.77","386.13","382.59","384.26","2,028,204"
02/08/2024,"386.00","388.11","381.34","385.04","1,913,833"
02/07/2024,"385.31","387.07","382.50","386.66","1,963,216"
02/06/2024,"383.02","386.82","383.00","384.99","1,488,144"
02/05/2024,"384.60","385.33","381.00","383.02","2,231,062"
02/02/2024,"381.80","388.74","380.60","387.86","2,180,892"
02/01/2024,"384.43","389.54","378.80","383.85","2,138,452"
01/31/2024,"386.00","393.91","383.70","384.01","3,421,105"
01/30/2024,"384.00","387.92","381.59","386.87","3,897,864"
01/29/2024,"375.89","380.84","374.24","380.56","1,632,534"
01/26/2024,"378.65","380.90","376.75","377.79","3,464,718"
01/25/2024,"382.69","386.71","382.01","382.70","2,376,324"
01/24/2024,"381.81","384.61","379.18","379.40","2,235,811"
01/23/2024,"379.98","383.36","378.63","380.77","3,313,294"
01/22/2024,"386.36","392.73","384.56","385.96","2,922,749"
01/19/2024,"376.73","383.30","372.07","382.20","2,603,278"
01/18/2024,"380.33","381.64","374.56","376.91","1,771,217"
01/17/2024,"375.20","380.20","374.13","377.18","2,415,333"
01/16/2024,"378.36","385.01","374.32","380.45","3,926,571"
01/12/2024,"383.34","385.85","376.58","377.75","2,223,834"
01/11/2024,"380.89","380.98","374.68","379.75","2,209,933"
01/10/2024,"381.35","383.05","378.53","381.96","1,547,381"
01/09/2024,"384.60","385.95","381.77","383.74","1,708,765"
01/08/2024,"385.97","389.08","382.03","388.86","1,902,568"
01/05/2024,"381.92","389.47","381.08","386.44","2,913,924"
01/04/2024,"383.55","387.09","381.95","382.95","1,618,314"
01/03/2024,"383.88","385.40","376.76","381.79","2,265,306"
01/02/2024,"383.00","389.14","382.19","388.30","2,263,330"
12/29/2023,"385.57","386.64","383.57","385.77","881,319"
12/28/2023,"384.52","387.76","383.63","386.41","1,024,818"
12/27/2023,"381.20","385.75","380.31","384.48","1,367,219"
12/26/2023,"380.65","382.61","380.05","381.61","837,409"
12/22/2023,"382.00","383.49","379.41","380.65","1,538,183"
12/21/2023,"380.05","381.49","377.01","380.57","1,301,713"
12/20/2023,"380.73","385.13","377.25","377.52","1,836,529"
12/19/2023,"376.01","383.77","374.55","382.45","2,091,787"
12/18/2023,"381.26","382.76","375.91","376.40","2,741,011"
12/15/2023,"380.19","385.90","379.32","380.51","4,522,310"
12/14/2023,"366.50","386.20","365.00","383.47","5,376,303"
12/13/2023,"352.94","362.85","351.60","362.73","2,876,467"
12/12/2023,"351.41","354.00","349.58","352.61","1,597,669"
12/11/2023,"351.44","353.03","349.05","351.76","1,635,961"
12/08/2023,"344.31","352.29","343.78","350.83","2,239,001"
12/07/2023,"343.71","344.69","342.00","344.62","2,162,631"
12/06/2023,"343.51","347.00","341.60","341.97","1,869,436"
12/05/2023,"346.60","346.83","340.54","341.75","2,429,702"
12/04/2023,"346.30","350.49","345.29","349.39","2,178,216"
12/01/2023,"341.46","348.89","340.42","348.43","3,623,292"
11/30/2023,"341.68","344.76","340.09","341.54","1,903,754"
11/29/2023,"337.00","343.53","336.51","340.26","2,038,124"
11/28/2023,"337.38","338.40","334.87","337.65","1,418,976"
11/27/2023,"339.19","340.02","335.74","337.71","1,250,571"
11/24/2023,"338.80","340.27","337.64","339.15","460,100"
11/22/2023,"336.94","338.91","335.37","338.64","1,235,402"
