Date,Open,High,Low,Close,Volume
02/16/2024,"945.12","948.24","934.79","935.80","176,544"
02/15/2024,"948.47","950.44","938.72","943.69","179,825"
02/14/2024,"943.07","948.99","938.00","944.40","163,563"
02/13/2024,"931.99","943.66","928.41","935.41","190,492"
02/12/2024,"957.33","957.87","946.99","947.21","138,314"
02/09/2024,"949.14","962.21","946.13","959.01","237,233"
02/08/2024,"947.75","952.55","941.78","949.93","207,509"
02/07/2024,"946.70","952.73","943.00","945.00","275,358"
02/06/2024,"947.60","947.60","934.22","940.34","276,001"
02/05/2024,"960.00","964.47","941.42","945.64","359,885"
02/02/2024,"933.00","978.95","909.15","972.54","597,000"
02/01/2024,"901.37","925.15","896.55","922.64","349,011"
01/31/2024,"910.24","922.50","893.06","895.64","600,260"
01/30/2024,"893.07","919.44","889.55","914.78","485,174"
01/29/2024,"881.46","897.72","879.47","896.16","334,088"
01/26/2024,"881.47","883.41","874.40","883.24","189,441"
01/25/2024,"870.99","882.95","870.99","881.45","245,503"
01/24/2024,"877.73","881.93","868.54","871.24","169,012"
01/23/2024,"878.00","878.36","866.03","875.64","302,641"
01/22/2024,"868.57","877.45","865.50","876.66","266,893"
01/19/2024,"875.80","879.56","862.38","864.00","312,677"
01/18/2024,"860.69","877.33","855.01","872.20","323,905"
01/17/2024,"838.14","843.47","836.84","839.08","164,963"
01/16/2024,"840.21","841.33","833.50","840.55","240,825"
01/12/2024,"842.23","844.52","833.28","842.12","168,839"
01/11/2024,"830.83","838.90","826.55","837.07","204,025"
01/10/2024,"825.23","832.89","823.17","830.83","198,950"
01/09/2024,"813.63","824.66","806.08","823.99","247,922"
01/08/2024,"821.50","822.24","810.58","822.23","171,426"
01/05/2024,"812.88","823.25","811.87","818.71","229,787"
01/04/2024,"808.41","819.10","808.41","815.98","242,769"
01/03/2024,"813.24","819.00","800.97","808.95","283,058"
01/02/2024,"821.49","825.80","809.12","813.24","240,884"
12/29/2023,"827.06","832.65","824.44","828.69","153,690"
12/28/2023,"827.21","830.90","825.75","827.10","129,093"
12/27/2023,"827.98","832.72","825.38","831.30","151,666"
12/26/2023,"829.56","832.00","826.22","828.43","102,249"
12/22/2023,"825.32","832.84","821.96","827.85","164,466"
12/21/2023,"823.39","825.66","819.12","824.04","138,421"
12/20/2023,"818.43","832.90","814.23","816.01","430,808"
12/19/2023,"836.38","841.00","830.11","830.19","209,059"
12/18/2023,"828.01","835.62","824.48","833.16","195,142"
12/15/2023,"820.70","826.17","817.63","823.54","503,834"
12/14/2023,"821.29","830.85","813.42","828.81","285,835"
12/13/2023,"821.17","824.98","811.87","818.81","220,713"
12/12/2023,"817.20","824.64","816.85","821.07","210,968"
12/11/2023,"804.30","817.96","804.30","817.44","227,260"
12/08/2023,"808.43","810.21","802.15","804.05","235,811"
12/07/2023,"809.86","812.21","802.62","807.40","240,510"
12/06/2023,"801.10","812.87","801.10","802.53","212,376"
12/05/2023,"800.00","802.40","794.00","798.57","165,545"
12/04/2023,"796.02","806.64","796.02","801.40","178,284"
12/01/2023,"785.85","804.59","785.05","803.58","281,450"
11/30/2023,"777.46","786.53","775.00","786.19","364,994"
11/29/2023,"780.07","780.31","772.13","775.69","308,503"
11/28/2023,"807.72","814.53","773.54","775.14","464,480"
11/27/2023,"808.93","815.52","807.83","810.36","240,816"
11/24/2023,"811.86","813.86","806.55","812.30","87,985"
11/22/2023,"810.24","812.34","806.70","808.98","160,196"
11/21/2023,"810.00","813.10","806.51","806.77","192,776"
