Date,Open,High,Low,Close,Volume
02/22/2024,"50.30","50.37","49.09","50.16","1,672,197"
02/21/2024,"49.88","50.72","49.74","50.09","1,467,377"
02/20/2024,"50.33","50.65","49.73","50.19","1,649,315"
02/16/2024,"50.51","51.18","50.40","50.78","1,330,992"
02/15/2024,"52.80","53.09","50.21","51.05","2,889,354"
02/14/2024,"50.50","52.72","50.14","52.69","3,748,979"
02/13/2024,"46.15","50.68","46.09","50.60","7,515,486"
02/12/2024,"50.50","51.66","50.31","51.29","3,155,911"
02/09/2024,"50.80","51.10","50.23","50.59","1,443,265"
02/08/2024,"50.29","51.31","50.23","50.68","1,476,938"
02/07/2024,"49.21","50.37","48.88","49.90","1,727,618"
02/06/2024,"49.15","49.90","48.92","49.24","1,526,480"
02/05/2024,"49.52","49.52","48.08","49.14","1,526,261"
02/02/2024,"49.57","50.63","48.93","50.07","1,279,542"
02/01/2024,"49.12","50.06","48.83","49.95","1,043,688"
01/31/2024,"49.98","50.38","48.82","48.95","2,040,640"
01/30/2024,"51.16","51.30","50.62","50.68","1,172,582"
01/29/2024,"51.06","51.49","50.73","51.41","1,396,212"
01/26/2024,"50.61","51.47","50.48","51.11","1,578,786"
01/25/2024,"48.89","50.33","48.62","50.08","1,694,140"
01/24/2024,"48.79","48.81","48.02","48.12","1,098,551"
01/23/2024,"48.92","49.19","47.92","48.31","1,167,672"
01/22/2024,"48.57","48.81","48.13","48.38","1,517,801"
01/19/2024,"47.73","48.45","47.07","48.26","1,531,680"
01/18/2024,"47.64","47.74","47.11","47.66","1,323,271"
01/17/2024,"46.53","47.27","46.20","47.24","1,867,022"
01/16/2024,"48.24","48.25","46.65","47.11","2,041,800"
01/12/2024,"49.85","50.12","48.20","48.61","1,310,376"
01/11/2024,"50.68","50.68","48.66","49.50","2,155,359"
01/10/2024,"50.22","50.83","50.04","50.75","1,583,415"
01/09/2024,"49.41","50.19","49.10","50.10","1,591,061"
01/08/2024,"48.42","50.02","48.35","49.86","1,677,205"
01/05/2024,"48.25","48.83","47.99","48.38","1,393,740"
01/04/2024,"47.84","48.43","47.39","48.36","1,452,008"
01/03/2024,"49.40","49.40","47.85","48.11","2,140,649"
01/02/2024,"50.28","51.17","49.69","49.90","1,812,701"
12/29/2023,"51.22","51.59","50.77","51.06","863,412"
12/28/2023,"50.80","51.51","50.58","51.47","947,194"
12/27/2023,"51.43","51.53","50.46","51.00","844,826"
12/26/2023,"50.98","51.51","50.73","51.40","952,210"
12/22/2023,"50.99","51.75","50.68","51.02","842,183"
12/21/2023,"50.52","51.26","50.43","51.08","1,136,189"
12/20/2023,"51.28","51.84","49.99","50.00","1,779,441"
12/19/2023,"52.21","52.59","51.32","51.38","1,860,403"
12/18/2023,"50.25","52.57","49.76","51.97","2,304,136"
12/15/2023,"51.16","51.37","49.86","50.38","3,325,530"
12/14/2023,"50.81","51.91","50.34","51.29","2,461,228"
12/13/2023,"48.37","50.51","47.83","49.86","3,298,859"
12/12/2023,"47.72","49.02","47.09","48.37","3,715,721"
12/11/2023,"48.80","49.19","48.15","48.89","1,745,143"
12/08/2023,"48.53","49.23","48.37","48.70","1,529,049"
12/07/2023,"48.02","48.88","47.42","48.71","1,514,981"
12/06/2023,"48.07","48.66","47.58","47.85","1,148,949"
12/05/2023,"48.91","48.99","47.84","47.97","1,691,509"
12/04/2023,"48.36","49.90","48.36","49.03","2,611,295"
12/01/2023,"46.16","48.68","45.87","48.46","1,980,471"
11/30/2023,"46.51","46.86","46.05","46.41","3,006,056"
11/29/2023,"46.00","46.82","46.00","46.43","1,674,506"
11/28/2023,"45.27","46.04","44.85","45.71","1,488,467"
11/27/2023,"45.89","45.90","45.23","45.36","1,180,078"
11/24/2023,"45.79","46.20","45.54","46.15","482,077"
