Date,Open,High,Low,Close,Volume
02/16/2024,"12.77","13.00","12.67","12.87","15,977,260"
02/15/2024,"12.78","13.06","12.75","12.84","18,364,100"
02/14/2024,"12.61","12.74","12.53","12.72","23,336,529"
02/13/2024,"12.43","12.45","12.18","12.34","26,226,920"
02/12/2024,"12.47","12.81","12.44","12.66","14,163,190"
02/09/2024,"12.35","12.48","12.19","12.41","14,115,660"
02/08/2024,"12.24","12.37","12.15","12.32","11,406,670"
02/07/2024,"12.49","12.52","12.13","12.35","16,753,340"
02/06/2024,"12.40","12.51","12.25","12.37","17,535,350"
02/05/2024,"12.43","12.50","12.30","12.40","16,493,141"
02/02/2024,"12.31","12.67","12.21","12.59","24,041,500"
02/01/2024,"12.74","12.81","12.07","12.46","34,530,953"
01/31/2024,"12.73","13.07","12.66","12.73","21,259,061"
01/30/2024,"13.12","13.19","13.07","13.12","11,897,100"
01/29/2024,"13.01","13.13","12.93","13.13","10,520,170"
01/26/2024,"12.94","13.08","12.92","13.05","15,555,360"
01/25/2024,"13.24","13.24","12.81","12.94","13,956,430"
01/24/2024,"12.84","13.15","12.80","13.08","22,341,570"
01/23/2024,"13.00","13.04","12.73","12.76","15,234,380"
01/22/2024,"12.83","12.94","12.72","12.93","26,669,961"
01/19/2024,"12.25","12.74","12.24","12.72","26,535,061"
01/18/2024,"12.28","12.35","12.02","12.24","20,212,859"
01/17/2024,"12.11","12.34","12.05","12.24","16,654,311"
01/16/2024,"12.41","12.43","12.20","12.25","17,497,199"
01/12/2024,"12.74","12.81","12.41","12.52","16,912,020"
01/11/2024,"12.81","12.86","12.47","12.72","17,967,990"
01/10/2024,"12.86","12.94","12.77","12.93","13,202,800"
01/09/2024,"12.94","13.00","12.89","12.90","11,741,060"
01/08/2024,"12.95","13.09","12.84","13.09","12,198,510"
01/05/2024,"12.68","13.16","12.67","13.00","24,066,570"
01/04/2024,"12.50","12.78","12.48","12.73","16,532,410"
01/03/2024,"12.80","12.81","12.48","12.52","19,125,490"
01/02/2024,"12.70","12.97","12.64","12.86","16,621,949"
12/29/2023,"12.77","12.81","12.70","12.72","18,676,961"
12/28/2023,"12.79","12.85","12.77","12.81","8,090,667"
12/27/2023,"12.75","12.86","12.65","12.80","13,942,350"
12/26/2023,"12.67","12.87","12.60","12.83","12,775,930"
12/22/2023,"12.74","12.81","12.58","12.66","11,808,100"
12/21/2023,"12.59","12.69","12.49","12.64","19,480,820"
12/20/2023,"12.76","12.88","12.47","12.47","18,022,699"
12/19/2023,"12.70","12.84","12.62","12.78","19,502,330"
12/18/2023,"12.99","13.00","12.68","12.69","16,982,350"
12/15/2023,"12.98","13.22","12.78","12.86","33,169,398"
12/14/2023,"12.67","13.24","12.67","13.18","41,934,191"
12/13/2023,"11.83","12.35","11.78","12.33","20,124,730"
12/12/2023,"11.96","11.98","11.82","11.85","12,797,860"
12/11/2023,"11.97","12.07","11.92","11.95","10,608,500"
12/08/2023,"11.87","12.05","11.81","11.99","15,732,340"
12/07/2023,"11.75","11.92","11.68","11.86","19,977,721"
12/06/2023,"11.73","11.93","11.69","11.70","13,314,290"
12/05/2023,"11.74","11.79","11.58","11.64","11,801,730"
12/04/2023,"11.65","11.86","11.62","11.78","17,012,789"
12/01/2023,"11.25","11.74","11.21","11.74","21,443,051"
11/30/2023,"11.18","11.36","11.10","11.26","20,167,990"
11/29/2023,"11.00","11.28","10.97","11.13","22,493,350"
11/28/2023,"10.80","10.92","10.73","10.91","13,339,680"
11/27/2023,"10.80","10.85","10.73","10.80","9,539,308"
11/24/2023,"10.91","10.95","10.82","10.88","4,313,859"
11/22/2023,"10.98","11.01","10.79","10.87","6,418,881"
11/21/2023,"11.00","11.02","10.83","10.90","9,713,057"
