Date,Open,High,Low,Close,Volume
02/16/2024,"148.77","150.00","148.08","148.43","1,979,325"
02/15/2024,"142.72","148.84","142.49","147.99","1,813,523"
02/14/2024,"143.95","144.73","142.02","142.73","2,503,325"
02/13/2024,"143.81","144.19","141.72","142.99","2,313,210"
02/12/2024,"142.76","144.28","142.35","143.51","2,306,133"
02/09/2024,"146.12","147.65","142.00","142.07","4,570,826"
02/08/2024,"145.16","146.93","143.26","146.27","3,154,834"
02/07/2024,"146.16","147.32","144.67","145.20","2,154,340"
02/06/2024,"145.63","147.32","145.02","146.05","2,155,266"
02/05/2024,"145.05","147.06","144.19","145.46","2,958,746"
02/02/2024,"143.57","146.73","142.89","145.96","2,540,555"
02/01/2024,"140.29","142.27","139.77","141.50","2,577,883"
01/31/2024,"142.82","144.08","140.49","140.53","2,771,776"
01/30/2024,"141.56","144.48","141.51","143.52","4,270,702"
01/29/2024,"143.98","144.32","141.78","142.95","3,497,883"
01/26/2024,"143.50","144.54","142.36","144.26","2,682,325"
01/25/2024,"140.88","144.23","140.61","144.03","2,437,568"
01/24/2024,"138.84","140.27","137.46","140.27","2,389,291"
01/23/2024,"137.69","138.80","137.16","137.36","1,655,045"
01/22/2024,"136.63","138.10","136.07","137.78","2,872,491"
01/19/2024,"137.25","137.59","136.38","137.32","2,674,348"
01/18/2024,"137.82","137.96","135.64","137.11","2,244,294"
01/17/2024,"136.97","139.15","136.73","138.09","2,694,321"
01/16/2024,"140.40","141.19","138.00","138.29","3,025,866"
01/12/2024,"142.50","143.11","141.03","141.77","2,026,435"
01/11/2024,"139.96","140.46","139.04","139.79","1,795,479"
01/10/2024,"140.04","140.46","138.42","138.92","2,132,330"
01/09/2024,"144.00","144.15","140.13","140.17","2,505,638"
01/08/2024,"142.45","144.20","141.15","143.86","2,943,714"
01/05/2024,"147.22","147.22","144.57","145.06","2,177,043"
01/04/2024,"149.24","149.90","145.62","145.75","2,064,538"
01/03/2024,"145.17","148.50","143.96","147.81","1,660,947"
01/02/2024,"145.74","147.05","144.53","144.78","2,663,698"
12/29/2023,"145.68","145.68","143.87","144.16","2,279,072"
12/28/2023,"147.20","148.50","144.22","144.74","3,430,198"
12/27/2023,"148.20","149.32","147.65","148.58","1,465,921"
12/26/2023,"148.30","149.61","147.84","148.63","2,161,642"
12/22/2023,"147.69","148.15","146.43","146.56","1,367,515"
12/21/2023,"146.11","146.54","144.67","146.15","2,100,084"
12/20/2023,"147.21","148.88","145.77","145.77","2,272,783"
12/19/2023,"145.73","147.64","145.50","147.08","2,771,613"
12/18/2023,"147.15","147.99","144.83","145.73","3,003,069"
12/15/2023,"141.06","145.07","140.89","144.61","6,319,608"
12/14/2023,"138.61","143.53","138.00","143.10","4,778,196"
12/13/2023,"135.11","137.38","134.10","136.73","3,358,460"
12/12/2023,"135.01","136.70","134.33","134.80","3,740,112"
12/11/2023,"134.08","136.96","134.08","136.20","3,197,759"
12/08/2023,"133.32","135.25","131.61","134.50","5,522,576"
12/07/2023,"136.88","137.65","131.87","132.23","7,487,589"
12/06/2023,"135.83","138.11","135.00","136.28","8,490,978"
12/05/2023,"141.57","141.72","138.38","138.39","3,792,101"
12/04/2023,"139.66","142.50","139.50","141.69","3,705,430"
12/01/2023,"140.47","143.52","139.52","141.07","6,123,515"
11/30/2023,"141.18","143.60","139.12","140.56","9,536,882"
11/29/2023,"146.23","146.72","136.65","139.56","12,129,920"
11/28/2023,"144.32","146.77","144.28","145.60","2,231,997"
11/27/2023,"144.66","145.12","143.07","144.51","2,155,646"
11/24/2023,"144.68","146.24","144.28","145.41","804,199"
11/22/2023,"141.44","144.67","140.76","144.40","1,579,383"
11/21/2023,"143.80","144.64","142.81","144.32","1,524,372"
