Date,Open,High,Low,Close,Volume
02/21/2024,"94.02","94.19","93.41","93.92","1,407,518"
02/20/2024,"92.71","94.12","92.54","93.43","1,856,886"
02/16/2024,"92.94","93.69","92.66","93.06","1,201,565"
02/15/2024,"91.64","93.26","91.64","93.08","1,421,651"
02/14/2024,"90.91","91.65","90.66","91.46","1,402,196"
02/13/2024,"91.44","91.65","89.79","90.56","1,391,223"
02/12/2024,"91.03","91.91","90.78","91.02","1,593,619"
02/09/2024,"89.19","90.91","89.19","90.81","1,607,221"
02/08/2024,"89.81","90.10","89.04","89.73","1,488,607"
02/07/2024,"89.87","90.32","89.62","89.85","2,158,456"
02/06/2024,"90.10","90.63","89.48","89.70","1,763,298"
02/05/2024,"89.84","90.65","88.81","90.05","2,084,293"
02/02/2024,"89.09","91.85","88.06","90.32","4,469,977"
02/01/2024,"86.23","87.15","85.34","87.07","3,317,459"
01/31/2024,"88.20","88.40","86.85","86.96","2,397,495"
01/30/2024,"86.90","87.67","86.79","87.63","1,623,983"
01/29/2024,"86.55","86.85","86.32","86.82","1,223,283"
01/26/2024,"87.14","87.20","86.56","86.81","1,292,803"
01/25/2024,"87.06","87.34","86.05","87.12","1,955,825"
01/24/2024,"86.17","86.92","86.04","86.42","1,612,878"
01/23/2024,"85.54","86.06","85.49","85.77","1,386,753"
01/22/2024,"85.28","86.04","85.19","85.66","1,590,704"
01/19/2024,"83.97","85.16","83.73","85.02","3,015,208"
01/18/2024,"81.90","83.02","81.87","82.99","1,280,853"
01/17/2024,"82.24","83.20","82.17","82.38","1,588,674"
01/16/2024,"82.07","82.63","81.91","82.51","2,334,415"
01/12/2024,"83.17","83.38","81.69","82.16","1,619,658"
01/11/2024,"82.31","82.95","81.94","82.79","1,555,760"
01/10/2024,"81.95","82.49","81.84","82.43","1,179,964"
01/09/2024,"81.89","82.15","81.05","81.87","1,237,523"
01/08/2024,"82.65","82.97","81.29","82.01","1,497,867"
01/05/2024,"81.55","83.04","81.55","82.82","1,430,564"
01/04/2024,"81.72","82.97","81.72","82.00","1,570,898"
01/03/2024,"81.68","82.35","81.37","81.39","1,622,321"
01/02/2024,"80.63","81.54","80.63","81.40","1,239,357"
12/29/2023,"80.50","80.65","80.00","80.38","797,960"
12/28/2023,"80.01","80.61","80.01","80.42","863,131"
12/27/2023,"79.45","80.04","79.33","79.97","1,130,351"
12/26/2023,"79.59","80.12","79.42","79.80","858,896"
12/22/2023,"79.44","79.75","79.19","79.57","1,395,951"
12/21/2023,"79.37","79.80","78.33","79.07","1,438,504"
12/20/2023,"80.72","80.95","79.50","79.51","1,724,383"
12/19/2023,"80.47","81.07","80.17","81.04","1,592,627"
12/18/2023,"80.28","80.77","79.88","80.46","1,725,930"
12/15/2023,"80.44","80.65","79.34","79.84","4,743,872"
12/14/2023,"80.66","80.75","79.69","80.33","2,812,621"
12/13/2023,"79.51","80.73","79.37","80.66","1,713,864"
12/12/2023,"78.91","79.91","78.85","79.81","1,516,991"
12/11/2023,"78.50","79.07","78.34","78.80","951,967"
12/08/2023,"78.31","78.40","77.82","78.28","1,021,800"
12/07/2023,"78.60","78.78","78.08","78.29","1,589,650"
12/06/2023,"79.06","79.65","78.19","78.39","1,194,020"
12/05/2023,"78.50","79.48","78.16","78.97","1,593,436"
12/04/2023,"77.59","78.67","77.59","78.63","1,462,321"
12/01/2023,"77.99","78.62","77.67","77.82","2,109,249"
11/30/2023,"76.65","78.20","76.65","78.16","2,709,103"
11/29/2023,"77.00","77.47","76.69","76.98","1,343,691"
11/28/2023,"78.31","78.34","77.10","77.19","1,544,363"
11/27/2023,"77.93","78.56","77.81","78.43","1,096,072"
11/24/2023,"78.00","78.67","77.68","78.15","470,263"
