Date,Open,High,Low,Close,Volume
02/22/2024,"287.45","287.74","284.49","287.29","199,942"
02/21/2024,"285.88","288.68","285.19","288.13","234,943"
02/20/2024,"285.51","288.00","284.57","284.80","255,849"
02/16/2024,"284.64","287.33","283.34","285.09","263,212"
02/15/2024,"281.36","285.12","281.35","284.99","300,957"
02/14/2024,"276.93","280.71","276.49","280.31","264,548"
02/13/2024,"274.42","277.11","273.39","275.11","312,866"
02/12/2024,"273.98","276.74","273.98","275.74","160,301"
02/09/2024,"272.72","274.32","271.01","273.90","196,993"
02/08/2024,"274.56","275.39","270.17","272.13","260,572"
02/07/2024,"266.62","275.85","266.30","274.74","472,932"
02/06/2024,"265.78","267.53","265.03","266.22","392,757"
02/05/2024,"266.27","267.77","263.01","265.93","247,594"
02/02/2024,"266.08","269.33","263.36","268.50","324,251"
02/01/2024,"264.00","268.51","254.19","267.81","778,041"
01/31/2024,"261.21","263.00","257.98","258.92","443,889"
01/30/2024,"258.59","260.62","257.46","260.32","306,682"
01/29/2024,"256.33","258.59","255.72","258.59","374,132"
01/26/2024,"255.47","256.71","254.09","255.65","387,254"
01/25/2024,"254.16","254.64","251.76","254.40","261,086"
01/24/2024,"256.00","257.90","252.99","253.64","280,718"
01/23/2024,"256.99","258.12","254.54","255.81","175,606"
01/22/2024,"257.11","259.32","255.93","256.77","234,832"
01/19/2024,"261.15","261.15","255.36","256.23","287,453"
01/18/2024,"255.66","260.30","254.37","260.19","307,966"
01/17/2024,"253.67","258.38","253.67","254.81","205,590"
01/16/2024,"253.97","256.13","252.28","255.18","214,175"
01/12/2024,"253.27","254.78","251.74","254.68","204,778"
01/11/2024,"252.28","252.28","248.78","250.63","190,538"
01/10/2024,"253.12","254.99","252.37","252.82","155,192"
01/09/2024,"254.21","254.21","252.52","253.24","128,020"
01/08/2024,"250.84","255.43","250.00","255.36","265,578"
01/05/2024,"254.90","254.90","248.65","252.50","637,082"
01/04/2024,"257.53","259.06","255.97","256.32","223,617"
01/03/2024,"260.00","260.00","256.25","256.30","275,980"
01/02/2024,"259.08","261.42","259.00","260.11","173,055"
12/29/2023,"258.47","260.00","257.90","259.64","168,180"
12/28/2023,"257.81","259.33","257.72","258.47","117,439"
12/27/2023,"257.09","258.72","256.82","258.31","108,294"
12/26/2023,"256.17","258.11","255.85","257.83","79,200"
12/22/2023,"255.41","256.90","254.87","256.09","133,633"
12/21/2023,"253.99","254.65","252.29","254.02","108,500"
12/20/2023,"256.03","257.14","252.37","252.43","206,749"
12/19/2023,"255.70","257.13","254.45","257.01","203,423"
12/18/2023,"253.68","255.31","253.44","255.02","261,432"
12/15/2023,"254.66","257.02","253.55","253.55","1,256,614"
12/14/2023,"257.80","257.82","252.26","255.83","466,389"
12/13/2023,"254.48","258.56","253.24","257.59","345,064"
12/12/2023,"250.30","256.09","249.77","254.48","432,908"
12/11/2023,"247.25","250.57","246.69","250.38","415,564"
12/08/2023,"245.57","247.25","244.90","246.89","235,978"
12/07/2023,"244.20","245.32","243.46","245.19","206,917"
12/06/2023,"240.89","243.66","240.89","243.59","183,630"
12/05/2023,"241.82","242.08","239.87","240.48","230,964"
12/04/2023,"237.75","242.65","237.75","242.60","308,461"
12/01/2023,"237.05","239.47","235.68","238.74","228,358"
11/30/2023,"234.04","237.14","233.77","237.02","332,128"
11/29/2023,"237.06","238.22","233.14","233.75","257,585"
11/28/2023,"237.32","237.84","235.81","236.68","193,997"
11/27/2023,"237.71","237.71","234.18","236.45","239,932"
11/24/2023,"238.34","240.44","238.21","238.34","100,100"
