Date,Open,High,Low,Close,Volume
02/16/2024,"29.01","29.17","28.77","28.99","5,655,091"
02/15/2024,"28.94","29.22","28.85","29.11","2,380,372"
02/14/2024,"28.76","28.83","28.51","28.80","2,690,379"
02/13/2024,"29.56","29.80","28.64","28.72","4,173,650"
02/12/2024,"29.03","29.62","28.93","29.60","2,900,491"
02/09/2024,"29.40","29.40","28.97","29.06","3,792,130"
02/08/2024,"29.60","29.78","29.34","29.47","3,589,200"
02/07/2024,"30.21","30.25","29.57","29.73","3,104,495"
02/06/2024,"29.75","30.35","29.73","30.09","2,875,804"
02/05/2024,"30.48","30.48","29.76","29.80","3,510,973"
02/02/2024,"30.85","30.94","30.35","30.60","3,126,122"
02/01/2024,"30.26","30.91","29.91","30.86","3,024,198"
01/31/2024,"30.75","30.96","30.36","30.37","5,709,104"
01/30/2024,"30.57","30.77","30.35","30.68","2,419,934"
01/29/2024,"31.07","31.08","30.54","30.57","2,947,637"
01/26/2024,"30.60","31.12","30.60","30.99","2,518,976"
01/25/2024,"30.48","30.71","30.24","30.42","3,004,125"
01/24/2024,"30.73","30.85","30.40","30.40","2,109,362"
01/23/2024,"30.53","30.72","30.19","30.72","3,500,579"
01/22/2024,"30.60","30.61","30.15","30.35","3,103,103"
01/19/2024,"31.13","31.13","30.48","30.64","2,946,175"
01/18/2024,"30.99","31.12","30.73","31.08","2,543,982"
01/17/2024,"31.14","31.37","31.01","31.21","2,468,997"
01/16/2024,"31.92","31.94","31.18","31.32","2,227,506"
01/12/2024,"31.68","31.85","31.50","31.81","1,883,535"
01/11/2024,"31.93","32.02","31.62","31.77","3,559,921"
01/10/2024,"32.23","32.27","31.80","31.89","2,736,415"
01/09/2024,"31.94","32.36","31.76","32.23","2,410,842"
01/08/2024,"31.98","32.24","31.81","32.08","2,265,616"
01/05/2024,"32.24","32.47","31.92","32.16","1,842,078"
01/04/2024,"32.53","32.68","32.16","32.32","2,850,954"
01/03/2024,"32.90","33.02","32.50","32.60","3,092,359"
01/02/2024,"32.09","33.02","32.04","32.80","3,226,555"
12/29/2023,"31.91","32.17","31.87","32.11","1,987,025"
12/28/2023,"31.73","32.10","31.73","31.94","2,798,995"
12/27/2023,"31.78","31.84","31.61","31.81","1,521,806"
12/26/2023,"31.69","31.92","31.52","31.81","1,567,544"
12/22/2023,"31.75","31.99","31.58","31.76","1,526,451"
12/21/2023,"31.67","31.84","31.27","31.67","2,072,739"
12/20/2023,"31.53","31.78","31.40","31.43","2,917,470"
12/19/2023,"31.66","31.80","31.37","31.73","3,151,147"
12/18/2023,"31.28","31.83","30.98","31.61","2,884,329"
12/15/2023,"31.77","31.87","31.03","31.08","5,677,185"
12/14/2023,"32.78","32.85","31.87","31.92","3,134,653"
12/13/2023,"31.58","32.71","31.41","32.70","2,468,161"
12/12/2023,"31.69","31.75","31.37","31.66","1,899,609"
12/11/2023,"31.63","31.93","31.39","31.71","3,222,753"
12/08/2023,"31.89","31.89","31.36","31.38","2,133,703"
12/07/2023,"32.00","32.05","31.52","31.85","2,546,704"
12/06/2023,"31.26","31.95","31.14","31.90","3,016,701"
12/05/2023,"31.77","31.87","31.28","31.34","2,153,091"
12/04/2023,"31.32","31.92","31.32","31.74","2,455,027"
12/01/2023,"30.59","31.34","30.55","31.32","2,968,917"
11/30/2023,"30.50","30.87","30.14","30.59","7,201,755"
11/29/2023,"31.55","31.71","30.12","30.47","8,596,796"
11/28/2023,"31.93","32.12","31.65","31.95","5,487,464"
11/27/2023,"32.73","32.77","31.87","31.96","3,757,641"
11/24/2023,"32.70","32.91","32.62","32.72","1,191,350"
11/22/2023,"32.75","32.83","32.34","32.59","3,400,012"
11/21/2023,"32.28","32.72","32.16","32.45","8,459,107"
