Date,Open,High,Low,Close,Volume
02/21/2024,"194.80","195.33","191.80","192.49","1,244,072"
02/20/2024,"192.36","195.11","192.24","193.57","1,811,582"
02/16/2024,"191.25","193.26","189.53","191.16","1,595,258"
02/15/2024,"192.17","194.85","192.17","192.58","1,270,879"
02/14/2024,"193.26","195.01","190.41","191.25","1,610,564"
02/13/2024,"193.52","197.43","193.52","194.84","1,977,538"
02/12/2024,"190.00","194.62","189.60","193.72","3,132,270"
02/09/2024,"201.25","201.80","194.67","195.45","3,118,468"
02/08/2024,"192.20","209.68","189.57","202.31","4,712,438"
02/07/2024,"195.40","196.40","193.77","194.26","1,959,314"
02/06/2024,"196.41","196.60","193.61","194.78","1,602,247"
02/05/2024,"196.79","199.56","196.27","196.39","1,911,203"
02/02/2024,"198.54","199.21","196.79","197.66","1,761,525"
02/01/2024,"192.78","198.53","190.89","198.43","1,776,505"
01/31/2024,"197.00","197.21","193.38","193.54","2,147,811"
01/30/2024,"192.99","197.59","192.61","197.38","2,355,570"
01/29/2024,"193.29","194.63","191.13","192.79","1,678,995"
01/26/2024,"189.61","191.42","189.61","190.21","1,111,072"
01/25/2024,"188.84","190.41","187.33","189.36","1,401,299"
01/24/2024,"191.43","191.43","189.25","189.31","1,404,102"
01/23/2024,"188.97","192.57","188.80","192.03","1,315,004"
01/22/2024,"190.27","190.27","187.75","188.26","1,143,076"
01/19/2024,"191.58","191.85","188.60","190.46","1,286,196"
01/18/2024,"191.38","191.62","188.24","191.47","1,814,973"
01/17/2024,"191.16","193.48","190.76","191.54","1,428,112"
01/16/2024,"191.16","193.67","190.44","191.53","1,617,474"
01/12/2024,"193.13","194.71","190.20","190.64","1,629,897"
01/11/2024,"189.12","190.66","187.50","190.41","1,284,920"
01/10/2024,"193.25","194.58","189.55","189.64","1,611,626"
01/09/2024,"191.02","193.15","189.75","193.09","1,434,257"
01/08/2024,"187.70","191.53","187.70","191.45","1,650,867"
01/05/2024,"190.02","190.79","186.98","187.64","1,237,917"
01/04/2024,"191.65","195.65","190.33","190.50","1,925,149"
01/03/2024,"192.50","194.35","191.37","191.84","2,370,532"
01/02/2024,"185.53","192.23","185.45","192.03","2,359,050"
12/29/2023,"184.07","186.77","183.79","186.44","1,591,760"
12/28/2023,"183.10","184.78","182.91","184.11","1,122,188"
12/27/2023,"183.17","184.03","182.90","183.92","860,140"
12/26/2023,"182.30","183.98","181.56","183.40","703,119"
12/22/2023,"181.75","183.79","181.51","182.52","1,214,990"
12/21/2023,"179.75","181.05","178.82","181.00","1,326,615"
12/20/2023,"181.50","182.76","179.36","179.52","1,634,620"
12/19/2023,"182.49","183.51","181.72","182.55","1,651,108"
12/18/2023,"182.39","184.14","181.27","182.26","1,800,763"
12/15/2023,"183.93","185.18","181.47","181.71","3,532,420"
12/14/2023,"189.20","189.70","184.61","186.21","1,968,489"
12/13/2023,"184.92","188.96","184.37","188.79","1,281,000"
12/12/2023,"186.74","186.75","184.21","184.69","1,354,168"
12/11/2023,"186.20","187.00","185.07","186.28","1,198,800"
12/08/2023,"188.50","188.65","184.50","185.74","1,505,125"
12/07/2023,"189.21","191.62","187.51","189.06","1,496,752"
12/06/2023,"187.17","190.10","187.17","189.20","973,178"
12/05/2023,"190.81","191.21","187.11","187.93","952,268"
12/04/2023,"190.65","192.49","189.65","190.62","1,024,278"
12/01/2023,"188.21","191.02","187.80","190.98","1,262,863"
11/30/2023,"186.00","188.13","184.19","187.92","2,799,622"
11/29/2023,"188.00","188.39","185.67","185.72","1,168,378"
11/28/2023,"188.44","189.54","187.91","188.99","1,396,816"
11/27/2023,"191.70","192.00","188.15","188.40","1,246,694"
11/24/2023,"192.71","192.71","189.81","191.68","773,399"
