Date,Open,High,Low,Close,Volume
02/21/2024,"63.25","64.00","63.15","63.52","5,369,269"
02/20/2024,"62.84","63.66","62.70","63.11","3,709,987"
02/16/2024,"63.53","63.92","62.72","62.82","2,686,858"
02/15/2024,"63.46","63.69","63.26","63.27","3,241,393"
02/14/2024,"62.57","63.43","62.39","63.38","3,361,449"
02/13/2024,"60.00","61.98","58.55","61.98","6,244,853"
02/12/2024,"58.64","58.87","58.34","58.83","3,656,247"
02/09/2024,"59.38","59.40","58.56","58.60","2,449,586"
02/08/2024,"59.15","59.32","58.86","59.17","2,164,973"
02/07/2024,"58.73","59.42","58.58","59.09","3,043,411"
02/06/2024,"57.81","58.49","57.66","58.43","2,144,189"
02/05/2024,"57.25","57.97","57.12","57.79","2,611,382"
02/02/2024,"57.44","57.94","57.00","57.72","3,097,613"
02/01/2024,"56.60","57.42","56.29","57.38","2,302,999"
01/31/2024,"56.11","56.89","55.89","56.26","4,398,480"
01/30/2024,"55.75","56.17","55.66","55.98","2,936,165"
01/29/2024,"55.41","55.79","55.33","55.78","3,034,603"
01/26/2024,"55.48","55.61","55.00","55.43","4,240,171"
01/25/2024,"56.34","56.57","55.06","55.27","8,717,118"
01/24/2024,"56.68","57.04","56.30","56.34","2,420,754"
01/23/2024,"56.10","56.76","55.97","56.43","3,870,774"
01/22/2024,"55.81","56.54","55.75","56.07","2,003,674"
01/19/2024,"55.25","55.93","54.94","55.74","2,045,914"
01/18/2024,"53.95","55.28","53.80","55.19","3,098,206"
01/17/2024,"53.30","54.16","53.18","53.57","2,264,647"
01/16/2024,"55.24","55.36","53.29","53.66","4,604,391"
01/12/2024,"55.67","55.90","55.25","55.54","2,259,184"
01/11/2024,"55.68","55.75","54.84","55.51","2,361,118"
01/10/2024,"55.00","55.68","54.75","55.57","4,226,348"
01/09/2024,"53.69","53.94","53.41","53.71","2,656,612"
01/08/2024,"53.53","54.13","52.73","54.09","2,524,939"
01/05/2024,"52.93","54.25","52.61","53.83","4,007,134"
01/04/2024,"53.04","53.42","52.56","52.60","1,695,665"
01/03/2024,"53.59","53.80","52.73","52.76","3,080,023"
01/02/2024,"53.84","54.13","53.20","53.73","2,344,092"
12/29/2023,"54.20","54.41","54.07","54.12","1,964,530"
12/28/2023,"54.03","54.22","53.77","54.11","1,527,875"
12/27/2023,"53.69","54.08","53.63","54.05","1,491,272"
12/26/2023,"53.57","54.07","53.42","53.84","1,066,969"
12/22/2023,"53.57","53.91","53.43","53.57","1,352,749"
12/21/2023,"53.31","53.68","53.12","53.47","1,694,765"
12/20/2023,"53.33","53.73","52.68","52.72","2,075,212"
12/19/2023,"53.36","53.88","53.23","53.65","2,696,970"
12/18/2023,"52.99","53.48","52.90","53.19","1,921,957"
12/15/2023,"52.45","53.26","52.38","52.80","5,428,646"
12/14/2023,"54.38","54.53","52.36","52.78","5,529,055"
12/13/2023,"54.37","54.50","53.70","54.21","2,626,207"
12/12/2023,"53.68","54.23","53.54","54.14","1,455,776"
12/11/2023,"53.18","53.90","53.04","53.66","1,464,451"
12/08/2023,"52.72","53.36","52.72","53.26","1,634,764"
12/07/2023,"52.26","52.83","52.26","52.74","1,988,002"
12/06/2023,"52.45","52.89","52.23","52.31","1,523,180"
12/05/2023,"52.75","52.84","52.06","52.18","2,116,110"
12/04/2023,"52.64","52.94","52.10","52.91","2,722,327"
12/01/2023,"52.62","53.24","52.62","52.90","2,005,409"
11/30/2023,"51.84","52.67","51.79","52.60","3,258,135"
11/29/2023,"52.23","52.35","51.47","51.59","1,955,086"
11/28/2023,"52.76","52.96","51.95","51.95","2,083,055"
11/27/2023,"52.03","52.71","52.00","52.62","1,984,829"
11/24/2023,"52.39","52.55","52.16","52.27","776,291"
