Date,Open,High,Low,Close,Volume
02/16/2024,"137.23","138.34","136.99","137.12","2,084,174"
02/15/2024,"136.93","137.92","136.68","136.89","2,020,268"
02/14/2024,"135.19","136.73","134.84","136.66","2,125,500"
02/13/2024,"134.03","135.35","133.66","134.41","3,024,660"
02/12/2024,"135.79","136.22","134.68","135.46","2,099,325"
02/09/2024,"134.51","135.74","132.92","135.49","4,066,642"
02/08/2024,"132.03","135.98","131.00","134.12","5,492,063"
02/07/2024,"126.63","128.21","126.36","128.08","2,243,813"
02/06/2024,"126.72","127.15","125.72","126.33","2,901,394"
02/05/2024,"127.99","127.99","126.52","126.75","2,405,461"
02/02/2024,"129.60","129.96","127.68","128.70","1,810,926"
02/01/2024,"127.07","129.86","127.07","129.73","2,380,753"
01/31/2024,"129.35","129.93","127.00","127.33","2,406,466"
01/30/2024,"128.22","129.40","128.02","129.02","1,646,911"
01/29/2024,"127.19","128.20","126.84","128.18","1,934,382"
01/26/2024,"127.09","127.64","126.35","127.26","1,497,760"
01/25/2024,"127.49","127.72","126.24","127.29","2,043,478"
01/24/2024,"127.58","127.58","126.35","127.04","2,278,596"
01/23/2024,"127.13","127.70","126.77","127.14","1,543,472"
01/22/2024,"126.80","127.79","126.72","127.30","1,904,619"
01/19/2024,"127.09","127.31","125.69","126.45","3,047,186"
01/18/2024,"125.77","126.76","125.39","126.63","2,267,324"
01/17/2024,"125.13","126.28","124.65","125.83","1,535,656"
01/16/2024,"126.47","126.84","125.85","126.03","2,289,140"
01/12/2024,"127.31","127.89","126.64","126.96","1,554,986"
01/11/2024,"127.80","128.16","126.17","126.77","1,723,347"
01/10/2024,"127.22","127.69","126.18","127.65","1,977,072"
01/09/2024,"127.71","128.50","126.72","127.04","1,835,604"
01/08/2024,"127.16","128.50","126.95","128.41","3,165,501"
01/05/2024,"125.77","126.23","125.07","125.79","2,061,528"
01/04/2024,"124.85","126.51","124.36","125.62","2,845,493"
01/03/2024,"126.06","126.28","124.79","124.81","3,102,087"
01/02/2024,"128.02","128.42","125.70","126.45","2,228,019"
12/29/2023,"128.62","129.16","127.67","128.43","2,966,447"
12/28/2023,"127.88","128.74","127.84","128.60","2,895,699"
12/27/2023,"126.83","127.84","126.42","127.79","2,202,008"
12/26/2023,"125.75","126.90","125.75","126.65","2,031,984"
12/22/2023,"124.91","125.91","124.30","125.72","2,237,027"
12/21/2023,"122.72","124.33","122.65","124.23","1,895,378"
12/20/2023,"123.57","124.05","122.31","122.36","2,350,514"
12/19/2023,"123.56","123.96","123.07","123.77","1,784,968"
12/18/2023,"123.19","123.85","122.42","123.56","1,999,391"
12/15/2023,"122.98","123.40","121.56","123.10","4,795,557"
12/14/2023,"122.72","125.02","122.42","123.33","5,157,051"
12/13/2023,"117.81","121.73","117.49","121.54","4,580,022"
12/12/2023,"116.46","118.06","116.21","117.93","4,208,060"
12/11/2023,"113.92","116.73","113.87","116.14","3,433,095"
12/08/2023,"112.34","113.44","112.20","113.34","2,505,801"
12/07/2023,"113.32","113.64","111.82","112.53","2,880,086"
12/06/2023,"114.31","114.66","112.56","113.08","2,217,569"
12/05/2023,"114.71","114.86","113.64","114.08","2,821,416"
12/04/2023,"113.91","115.27","113.81","115.03","3,818,170"
12/01/2023,"113.20","114.27","112.72","114.24","3,492,138"
11/30/2023,"112.85","113.91","112.68","113.84","6,601,308"
11/29/2023,"113.80","113.80","112.55","112.69","2,376,919"
11/28/2023,"112.96","113.91","112.68","112.78","3,058,504"
11/27/2023,"114.22","114.31","112.99","113.14","2,240,809"
11/24/2023,"114.46","114.76","113.77","114.39","809,527"
11/22/2023,"113.93","114.91","113.65","114.32","2,481,650"
11/21/2023,"112.38","113.82","112.24","113.45","2,050,318"
