Date,Open,High,Low,Close,Volume
02/16/2024,"227.94","229.50","226.19","227.47","785,443"
02/15/2024,"227.76","228.77","225.46","227.68","457,244"
02/14/2024,"224.99","227.18","223.52","227.02","359,563"
02/13/2024,"225.09","225.44","222.70","224.27","424,384"
02/12/2024,"228.10","229.39","226.82","226.97","490,742"
02/09/2024,"225.83","228.28","225.22","228.20","460,037"
02/08/2024,"225.70","226.46","222.03","225.83","657,150"
02/07/2024,"222.54","227.54","212.96","222.42","1,360,581"
02/06/2024,"218.40","220.07","217.09","218.89","459,320"
02/05/2024,"218.83","219.90","216.81","218.22","367,904"
02/02/2024,"219.31","222.15","218.84","220.72","463,500"
02/01/2024,"213.00","222.64","211.99","220.18","919,994"
01/31/2024,"214.40","214.72","211.49","211.50","612,282"
01/30/2024,"211.33","214.35","211.25","213.67","329,102"
01/29/2024,"208.52","212.17","207.90","212.15","417,422"
01/26/2024,"207.78","209.40","207.72","209.15","280,761"
01/25/2024,"207.25","207.88","204.99","207.78","304,338"
01/24/2024,"210.38","211.50","205.59","205.69","465,720"
01/23/2024,"208.59","209.34","206.71","209.22","268,309"
01/22/2024,"208.45","209.18","206.82","207.44","286,089"
01/19/2024,"205.70","207.55","204.39","207.04","292,647"
01/18/2024,"205.06","205.81","202.85","205.33","379,744"
01/17/2024,"204.05","206.39","204.05","205.04","449,884"
01/16/2024,"205.55","206.33","203.38","205.77","382,690"
01/12/2024,"209.72","211.12","206.38","206.91","277,475"
01/11/2024,"209.07","209.07","205.48","208.58","228,976"
01/10/2024,"209.51","210.51","208.75","209.62","254,109"
01/09/2024,"209.73","210.25","207.91","209.98","227,374"
01/08/2024,"210.94","210.94","207.88","210.82","281,056"
01/05/2024,"211.13","212.68","210.15","211.18","217,058"
01/04/2024,"212.37","213.92","211.13","211.18","699,071"
01/03/2024,"213.97","215.44","211.87","212.28","476,919"
01/02/2024,"215.09","217.11","214.03","215.05","307,155"
12/29/2023,"217.00","218.17","216.78","217.11","237,169"
12/28/2023,"216.76","219.72","216.19","217.06","336,177"
12/27/2023,"214.75","216.41","214.45","215.79","253,961"
12/26/2023,"214.22","215.80","213.38","214.78","263,928"
12/22/2023,"214.67","216.12","214.00","214.38","329,037"
12/21/2023,"213.84","214.83","212.23","214.11","317,103"
12/20/2023,"212.76","215.56","211.91","212.16","437,337"
12/19/2023,"212.96","214.16","212.18","213.44","245,464"
12/18/2023,"211.74","213.34","209.84","211.93","346,000"
12/15/2023,"213.96","215.19","210.81","211.35","739,401"
12/14/2023,"211.73","215.05","211.73","214.93","443,377"
12/13/2023,"207.50","210.01","205.64","208.84","463,069"
12/12/2023,"208.39","209.47","206.61","207.56","288,541"
12/11/2023,"204.92","208.07","204.50","207.88","331,114"
12/08/2023,"205.79","207.59","204.74","204.84","421,852"
12/07/2023,"205.17","206.32","203.72","205.60","454,015"
12/06/2023,"202.92","205.37","202.88","204.59","404,124"
12/05/2023,"203.69","203.69","200.77","201.59","261,326"
12/04/2023,"201.98","204.42","201.97","204.20","303,629"
12/01/2023,"201.87","203.77","201.42","203.04","461,924"
11/30/2023,"199.19","201.79","196.37","201.68","871,622"
11/29/2023,"197.64","199.68","197.47","198.30","372,113"
11/28/2023,"198.20","199.01","196.56","196.61","371,158"
11/27/2023,"198.37","199.29","197.56","198.60","344,733"
11/24/2023,"199.00","200.00","197.97","199.21","196,572"
11/22/2023,"197.89","199.94","195.91","197.25","1,949,538"
11/21/2023,"195.02","199.07","194.84","198.59","799,835"
