Date,Open,High,Low,Close,Volume
02/16/2024,"80.90","81.57","80.58","81.19","1,681,776"
02/15/2024,"79.75","81.15","79.75","81.04","1,761,437"
02/14/2024,"80.84","81.62","79.15","79.38","1,629,130"
02/13/2024,"79.28","80.52","78.96","80.49","3,263,302"
02/12/2024,"79.87","81.37","79.79","80.32","2,008,203"
02/09/2024,"80.00","80.30","78.72","79.94","3,152,557"
02/08/2024,"82.50","82.76","80.48","80.51","1,436,419"
02/07/2024,"80.94","82.95","80.74","82.34","1,539,087"
02/06/2024,"80.20","81.79","80.17","80.77","1,276,854"
02/05/2024,"80.19","80.92","79.66","80.18","2,064,820"
02/02/2024,"81.53","82.17","80.71","81.27","2,411,721"
02/01/2024,"80.70","82.32","80.28","82.18","1,209,660"
01/31/2024,"81.38","82.52","80.64","80.68","1,672,136"
01/30/2024,"81.47","82.68","80.99","81.00","1,146,412"
01/29/2024,"81.94","82.25","81.24","82.01","1,176,741"
01/26/2024,"82.69","82.95","81.89","82.26","1,802,602"
01/25/2024,"79.64","82.39","79.57","82.37","2,510,834"
01/24/2024,"79.51","80.02","78.73","79.04","2,164,459"
01/23/2024,"80.12","80.39","79.30","79.48","1,244,302"
01/22/2024,"80.83","81.20","79.73","79.76","1,609,346"
01/19/2024,"78.55","79.75","77.97","79.52","1,563,986"
01/18/2024,"78.97","79.05","77.65","78.35","1,880,054"
01/17/2024,"78.26","79.01","77.42","78.88","1,892,254"
01/16/2024,"79.95","80.48","79.10","79.54","5,072,573"
01/12/2024,"83.00","83.41","79.33","80.25","4,072,548"
01/11/2024,"80.69","80.69","79.52","79.78","2,048,684"
01/10/2024,"79.72","80.81","79.46","80.54","872,863"
01/09/2024,"79.67","80.31","79.47","80.05","846,459"
01/08/2024,"79.51","80.62","79.30","80.24","949,814"
01/05/2024,"79.00","80.95","78.79","79.97","1,215,036"
01/04/2024,"79.93","80.21","79.47","79.55","1,115,658"
01/03/2024,"80.74","81.25","79.19","79.99","1,036,030"
01/02/2024,"80.34","81.49","80.25","81.42","1,096,334"
12/29/2023,"81.32","81.84","80.64","80.97","767,699"
12/28/2023,"81.24","82.27","81.24","81.85","938,001"
12/27/2023,"81.16","81.69","80.97","81.41","971,245"
12/26/2023,"80.78","82.50","80.60","82.08","798,901"
12/22/2023,"81.11","81.95","80.33","80.70","1,174,090"
12/21/2023,"80.40","80.55","79.03","80.45","1,172,206"
12/20/2023,"79.83","80.09","78.99","79.60","1,870,431"
12/19/2023,"79.20","80.28","79.06","79.99","2,187,602"
12/18/2023,"80.05","80.27","78.59","79.06","1,589,428"
12/15/2023,"79.86","80.65","79.20","79.62","3,711,914"
12/14/2023,"79.98","82.71","79.34","80.19","2,914,471"
12/13/2023,"76.12","79.30","75.76","78.73","1,514,489"
12/12/2023,"76.90","76.94","75.63","76.46","1,805,589"
12/11/2023,"76.57","76.87","76.29","76.67","2,234,306"
12/08/2023,"76.97","77.44","76.46","76.82","1,104,367"
12/07/2023,"75.93","77.91","75.73","77.00","1,157,248"
12/06/2023,"75.81","76.81","75.62","75.71","987,785"
12/05/2023,"76.03","76.41","75.10","75.42","1,844,991"
12/04/2023,"76.26","77.01","76.12","76.30","1,861,186"
12/01/2023,"75.46","76.79","75.46","76.78","1,654,778"
11/30/2023,"75.25","75.71","74.88","75.38","1,810,999"
11/29/2023,"75.94","76.56","75.19","75.23","1,400,649"
11/28/2023,"75.53","75.92","74.84","75.67","1,192,384"
11/27/2023,"74.61","74.95","74.17","74.84","2,480,091"
11/24/2023,"74.76","75.38","74.66","74.73","603,149"
11/22/2023,"74.07","75.00","73.42","74.99","2,439,776"
11/21/2023,"73.76","73.97","72.94","73.60","1,770,549"
