Date,Open,High,Low,Close,Volume
02/16/2024,"58.88","59.11","57.92","57.96","1,132,034"
02/15/2024,"58.09","59.87","57.89","58.97","1,436,639"
02/14/2024,"58.59","60.20","57.51","57.89","2,235,715"
02/13/2024,"60.04","60.70","57.83","59.34","3,494,636"
02/12/2024,"57.79","58.43","57.38","57.84","2,211,796"
02/09/2024,"57.37","57.96","57.09","57.66","1,761,933"
02/08/2024,"57.35","57.72","56.10","57.36","1,703,754"
02/07/2024,"59.24","59.58","57.34","57.34","1,368,656"
02/06/2024,"58.50","59.94","57.69","59.63","2,025,638"
02/05/2024,"58.00","58.47","57.63","58.06","1,248,997"
02/02/2024,"58.63","59.27","58.05","58.35","1,148,076"
02/01/2024,"58.52","59.27","58.03","59.16","1,402,269"
01/31/2024,"59.30","59.48","58.52","58.77","1,857,899"
01/30/2024,"60.50","60.50","59.15","59.28","1,865,500"
01/29/2024,"60.36","60.84","59.77","60.47","1,253,053"
01/26/2024,"61.32","61.71","60.30","60.64","1,030,055"
01/25/2024,"60.73","61.32","59.58","60.92","1,114,651"
01/24/2024,"62.05","62.14","60.78","60.84","1,317,323"
01/23/2024,"61.73","62.19","60.93","61.87","1,097,543"
01/22/2024,"61.81","61.93","60.61","61.50","1,117,110"
01/19/2024,"61.28","61.67","60.45","61.49","1,212,269"
01/18/2024,"61.30","61.55","60.27","61.18","1,139,354"
01/17/2024,"61.18","61.84","60.37","61.48","1,218,629"
01/16/2024,"62.59","62.64","61.22","61.34","1,410,663"
01/12/2024,"63.30","63.88","62.46","62.74","1,125,245"
01/11/2024,"63.58","63.58","62.70","63.11","1,780,238"
01/10/2024,"64.20","65.18","63.87","64.14","1,752,808"
01/09/2024,"65.82","66.17","63.45","64.38","1,951,322"
01/08/2024,"64.90","65.84","62.35","65.82","2,102,088"
01/05/2024,"66.32","66.47","65.18","65.26","1,942,630"
01/04/2024,"65.46","67.37","65.36","66.59","2,999,495"
01/03/2024,"65.45","67.06","65.13","65.51","2,586,850"
01/02/2024,"62.39","65.49","62.39","65.45","1,458,807"
12/29/2023,"62.44","63.07","62.41","62.79","992,852"
12/28/2023,"62.90","63.57","62.59","62.73","1,115,679"
12/27/2023,"62.44","62.79","62.13","62.68","1,165,912"
12/26/2023,"63.10","63.23","62.21","62.55","1,295,805"
12/22/2023,"61.92","63.41","61.81","62.85","980,135"
12/21/2023,"61.15","61.82","60.91","61.69","2,092,217"
12/20/2023,"62.00","62.19","60.62","60.76","1,901,517"
12/19/2023,"60.97","62.26","60.64","61.90","1,790,036"
12/18/2023,"62.28","62.32","60.35","60.62","2,304,081"
12/15/2023,"63.82","64.30","61.48","62.30","6,206,996"
12/14/2023,"64.50","64.99","63.66","63.84","3,019,842"
12/13/2023,"62.45","64.84","62.24","64.19","4,060,781"
12/12/2023,"57.36","62.45","57.12","61.86","6,164,580"
12/11/2023,"54.82","57.10","54.74","57.04","2,385,166"
12/08/2023,"55.17","55.17","54.30","54.70","1,517,309"
12/07/2023,"55.66","55.66","54.70","55.18","1,276,626"
12/06/2023,"54.71","55.64","54.25","55.42","1,358,151"
12/05/2023,"54.69","55.42","54.52","54.82","1,429,845"
12/04/2023,"55.28","55.94","54.68","54.96","1,863,846"
12/01/2023,"54.42","54.61","53.62","54.02","1,882,507"
11/30/2023,"53.93","54.53","53.63","54.34","4,012,403"
11/29/2023,"52.92","53.66","52.80","53.39","1,535,023"
11/28/2023,"52.92","52.92","52.20","52.70","1,760,488"
11/27/2023,"53.64","53.68","52.41","52.87","1,238,812"
11/24/2023,"53.58","53.78","53.21","53.74","430,700"
11/22/2023,"53.53","54.10","53.24","53.40","1,110,949"
11/21/2023,"53.20","54.00","52.82","53.23","1,489,312"
