Date,Open,High,Low,Close,Volume
02/20/2024,"44.26","45.17","43.42","44.52","61,514,141"
02/16/2024,"44.03","44.22","43.12","43.51","29,975,301"
02/15/2024,"44.76","45.27","44.02","44.05","44,024,512"
02/14/2024,"43.82","44.29","43.39","44.19","36,186,230"
02/13/2024,"43.00","43.63","42.76","43.16","36,622,230"
02/12/2024,"43.39","45.04","43.32","44.03","51,107,352"
02/09/2024,"42.55","43.52","42.40","43.31","51,192,961"
02/08/2024,"42.72","42.97","42.33","42.50","33,206,469"
02/07/2024,"42.89","43.10","42.55","42.78","34,269,246"
02/06/2024,"42.70","42.78","42.14","42.74","34,068,219"
02/05/2024,"42.62","43.15","42.43","42.77","28,890,260"
02/02/2024,"43.00","43.14","41.60","42.60","53,683,500"
02/01/2024,"43.15","43.57","42.49","43.36","38,819,859"
01/31/2024,"42.57","43.79","42.36","43.08","51,584,246"
01/30/2024,"43.67","43.82","42.89","42.92","47,958,762"
01/29/2024,"43.71","43.99","42.81","43.84","51,790,859"
01/26/2024,"44.18","45.41","43.35","43.65","127,665,297"
01/25/2024,"50.00","50.30","48.97","49.55","84,845,086"
01/24/2024,"49.17","49.77","48.27","49.09","49,375,832"
01/23/2024,"48.12","48.94","47.32","48.89","37,224,141"
01/22/2024,"48.85","49.17","47.64","48.22","45,639,520"
01/19/2024,"47.00","48.76","46.44","48.15","55,979,801"
01/18/2024,"47.03","47.57","46.17","46.74","46,681,352"
01/17/2024,"46.42","46.42","45.65","46.06","33,488,020"
01/16/2024,"46.98","47.22","46.38","47.06","43,720,672"
01/12/2024,"47.60","47.67","46.61","47.12","27,587,900"
01/11/2024,"47.44","47.84","46.73","47.64","31,707,881"
01/10/2024,"48.24","48.30","46.94","47.47","31,480,189"
01/09/2024,"48.01","48.56","47.80","48.05","30,097,010"
01/08/2024,"47.07","48.76","46.97","48.45","42,135,129"
01/05/2024,"47.03","47.83","46.64","46.89","34,344,031"
01/04/2024,"45.72","47.16","45.24","46.87","47,797,809"
01/03/2024,"47.10","47.81","46.80","47.05","35,858,434"
01/02/2024,"49.20","49.38","47.45","47.80","45,905,727"
12/29/2023,"50.30","50.57","49.77","50.25","29,288,711"
12/28/2023,"50.81","50.87","50.16","50.39","27,705,230"
12/27/2023,"50.63","51.28","50.19","50.76","52,148,039"
12/26/2023,"48.92","50.52","48.71","50.50","60,287,406"
12/22/2023,"47.25","48.16","47.20","48.00","30,095,730"
12/21/2023,"46.48","47.12","46.02","47.08","28,320,461"
12/20/2023,"46.64","46.95","45.70","45.76","38,159,141"
12/19/2023,"45.60","46.68","45.51","46.66","35,358,770"
12/18/2023,"46.15","46.23","45.40","45.69","27,895,650"
12/15/2023,"45.94","47.27","45.67","46.16","84,583,406"
12/14/2023,"45.01","47.07","44.65","45.18","70,620,766"
12/13/2023,"44.08","44.72","43.33","44.57","35,216,047"
12/12/2023,"44.36","44.44","43.63","44.04","31,452,160"
12/11/2023,"43.16","44.73","43.08","44.54","48,288,160"
12/08/2023,"41.84","42.96","41.81","42.70","42,814,961"
12/07/2023,"41.75","42.44","41.18","42.15","29,118,699"
12/06/2023,"42.48","42.59","41.17","41.27","31,992,260"
12/05/2023,"41.91","42.29","41.61","41.92","31,859,320"
12/04/2023,"43.30","43.31","41.69","42.35","50,417,594"
12/01/2023,"44.36","44.36","42.86","43.74","43,928,367"
11/30/2023,"44.65","45.09","44.41","44.70","46,262,969"
11/29/2023,"44.60","45.34","44.60","44.94","38,982,031"
11/28/2023,"43.69","44.38","43.66","44.23","24,548,869"
11/27/2023,"43.65","44.55","43.65","44.08","33,339,941"
11/24/2023,"43.68","44.00","43.61","43.96","13,037,110"
11/22/2023,"44.03","44.63","43.54","43.67","31,490,551"
