Date,Open,High,Low,Close,Volume
02/16/2024,"35.01","35.92","35.00","35.80","5,380,687"
02/15/2024,"34.53","35.09","34.45","35.07","2,079,923"
02/14/2024,"34.69","34.90","34.24","34.53","3,068,439"
02/13/2024,"35.20","35.36","34.41","34.61","4,074,183"
02/12/2024,"35.27","36.00","35.24","35.50","3,463,426"
02/09/2024,"34.85","35.32","34.63","35.26","3,731,752"
02/08/2024,"33.98","35.05","33.85","34.89","5,976,175"
02/07/2024,"33.45","33.88","33.06","33.86","4,919,960"
02/06/2024,"32.88","33.41","32.70","33.14","3,073,842"
02/05/2024,"33.15","33.32","32.92","32.97","5,227,769"
02/02/2024,"34.02","34.15","33.10","33.46","5,693,201"
02/01/2024,"35.71","35.99","34.25","34.36","7,882,136"
01/31/2024,"36.39","36.41","35.62","35.83","5,966,092"
01/30/2024,"36.50","36.66","36.22","36.32","3,975,457"
01/29/2024,"37.27","37.43","36.55","36.72","3,267,376"
01/26/2024,"37.83","37.88","37.34","37.57","2,558,454"
01/25/2024,"36.69","37.87","36.69","37.65","3,829,793"
01/24/2024,"36.61","36.73","36.05","36.18","2,663,450"
01/23/2024,"36.48","36.93","36.35","36.51","2,291,750"
01/22/2024,"36.31","36.52","35.40","36.35","3,229,479"
01/19/2024,"36.66","36.78","36.06","36.74","2,339,297"
01/18/2024,"36.83","36.99","36.27","36.69","3,258,678"
01/17/2024,"37.00","37.32","36.83","36.90","2,274,257"
01/16/2024,"37.46","37.50","37.02","37.31","2,745,661"
01/12/2024,"38.00","38.15","37.48","37.67","1,770,403"
01/11/2024,"37.63","37.86","37.27","37.82","2,500,260"
01/10/2024,"37.53","37.70","37.34","37.56","1,809,292"
01/09/2024,"37.65","37.73","37.23","37.67","2,259,605"
01/08/2024,"37.06","37.71","37.06","37.66","2,833,706"
01/05/2024,"36.48","37.31","36.40","37.27","5,272,418"
01/04/2024,"36.35","36.69","36.31","36.47","2,949,556"
01/03/2024,"36.18","36.55","35.91","36.35","2,530,417"
01/02/2024,"36.25","36.85","36.21","36.54","3,461,923"
12/29/2023,"36.15","36.35","35.92","36.15","1,800,251"
12/28/2023,"36.35","36.52","36.14","36.25","1,469,606"
12/27/2023,"36.53","36.77","36.20","36.47","1,908,237"
12/26/2023,"36.55","36.65","36.38","36.58","1,637,985"
12/22/2023,"36.63","36.84","36.49","36.64","1,664,565"
12/21/2023,"36.85","36.93","36.36","36.58","2,333,116"
12/20/2023,"36.72","36.99","36.56","36.59","2,402,201"
12/19/2023,"37.00","37.26","36.67","36.86","6,298,853"
12/18/2023,"37.68","37.68","36.82","36.84","3,372,769"
12/15/2023,"37.48","37.89","37.18","37.43","5,645,621"
12/14/2023,"37.16","38.21","37.16","37.67","3,279,607"
12/13/2023,"35.96","37.07","35.71","36.91","3,125,018"
12/12/2023,"36.80","36.80","35.97","36.05","2,173,041"
12/11/2023,"36.72","37.02","36.58","36.91","1,705,632"
12/08/2023,"36.70","37.00","36.57","36.84","1,818,244"
12/07/2023,"36.65","36.87","36.30","36.82","2,230,736"
12/06/2023,"36.57","36.97","36.40","36.55","2,563,344"
12/05/2023,"37.13","37.13","36.38","36.44","3,544,739"
12/04/2023,"36.87","37.37","36.79","37.36","4,714,851"
12/01/2023,"36.79","37.68","36.59","37.19","4,521,045"
11/30/2023,"36.36","37.03","36.27","36.94","6,130,398"
11/29/2023,"34.38","36.00","34.38","35.79","4,679,199"
11/28/2023,"34.27","34.58","33.95","34.26","3,432,252"
11/27/2023,"32.75","34.65","32.51","34.12","8,217,679"
11/24/2023,"33.00","33.20","32.83","32.93","1,046,836"
11/22/2023,"32.51","32.97","32.33","32.92","1,991,919"
11/21/2023,"32.69","32.79","32.21","32.49","2,668,567"
