Date,Open,High,Low,Close,Volume
02/20/2024,"236.68","237.79","234.12","234.76","1,015,300"
02/16/2024,"241.43","241.95","237.90","238.60","1,021,421"
02/15/2024,"241.95","243.61","238.07","241.47","1,677,758"
02/14/2024,"223.00","243.82","223.00","243.47","2,798,244"
02/13/2024,"214.78","217.17","212.90","215.27","1,353,937"
02/12/2024,"217.39","219.91","217.08","217.88","1,034,344"
02/09/2024,"217.55","222.21","216.18","218.20","1,143,902"
02/08/2024,"213.54","217.28","212.12","217.00","984,172"
02/07/2024,"216.00","216.32","212.80","214.34","965,513"
02/06/2024,"210.00","215.58","209.13","215.41","1,239,295"
02/05/2024,"210.06","212.39","208.05","210.71","1,162,178"
02/02/2024,"209.56","212.08","208.47","210.75","586,472"
02/01/2024,"207.90","211.57","205.38","211.30","920,991"
01/31/2024,"216.13","217.40","207.91","208.23","1,716,733"
01/30/2024,"217.90","220.63","216.76","217.08","665,137"
01/29/2024,"215.59","218.21","214.54","218.02","611,830"
01/26/2024,"216.99","219.47","215.74","216.09","1,040,293"
01/25/2024,"214.80","215.75","212.66","215.50","849,838"
01/24/2024,"214.58","217.14","212.50","212.88","1,219,426"
01/23/2024,"216.20","218.20","211.82","213.53","980,772"
01/22/2024,"216.37","219.32","215.82","217.75","1,047,366"
01/19/2024,"213.36","215.61","212.25","215.39","1,370,094"
01/18/2024,"208.82","213.71","207.31","213.19","1,008,532"
01/17/2024,"210.62","212.21","209.37","210.91","996,905"
01/16/2024,"211.43","213.32","209.42","212.70","767,720"
01/12/2024,"215.92","216.82","211.68","213.85","1,053,610"
01/11/2024,"215.97","217.02","208.66","213.95","2,035,969"
01/10/2024,"221.91","221.91","213.01","217.13","1,590,513"
01/09/2024,"221.56","227.95","220.41","221.75","649,621"
01/08/2024,"220.48","224.35","219.17","224.06","603,149"
01/05/2024,"218.59","222.03","216.59","220.52","557,977"
01/04/2024,"219.11","221.45","217.76","220.08","839,753"
01/03/2024,"228.88","230.42","219.96","220.01","1,201,351"
01/02/2024,"229.66","232.68","227.72","230.39","812,346"
12/29/2023,"231.13","232.99","229.06","231.38","517,183"
12/28/2023,"232.44","233.98","230.68","232.73","511,604"
12/27/2023,"231.33","232.61","229.59","231.92","574,122"
12/26/2023,"229.24","231.14","228.54","231.03","408,765"
12/22/2023,"230.39","231.43","227.48","229.38","621,636"
12/21/2023,"226.34","229.41","224.90","229.33","835,395"
12/20/2023,"229.00","230.89","224.86","225.00","1,163,512"
12/19/2023,"227.56","230.37","226.09","228.86","1,194,876"
12/18/2023,"227.70","227.70","224.51","225.97","955,046"
12/15/2023,"228.03","229.72","225.66","226.72","1,654,970"
12/14/2023,"226.73","234.92","226.73","230.55","1,501,738"
12/13/2023,"217.90","226.40","217.10","225.95","1,593,863"
12/12/2023,"217.02","218.12","215.67","217.43","1,119,298"
12/11/2023,"215.86","217.54","214.91","216.31","726,481"
12/08/2023,"214.39","216.22","213.37","215.28","603,944"
12/07/2023,"216.22","216.31","213.06","214.99","773,631"
12/06/2023,"216.07","218.75","215.06","215.59","1,110,388"
12/05/2023,"214.87","215.40","212.75","214.31","1,435,550"
12/04/2023,"215.94","217.36","214.41","216.27","1,336,585"
12/01/2023,"214.00","217.26","211.99","216.91","1,195,374"
11/30/2023,"213.97","214.93","210.65","214.10","1,854,498"
11/29/2023,"212.78","216.25","212.00","213.81","1,204,504"
11/28/2023,"209.88","213.65","209.12","211.00","1,204,820"
11/27/2023,"210.77","213.85","210.68","210.73","1,783,164"
11/24/2023,"209.47","212.02","208.15","212.01","427,923"
11/22/2023,"208.82","212.36","207.68","209.52","999,997"
