Date,Open,High,Low,Close,Volume
02/20/2024,"88.27","88.49","86.60","86.74","3,452,816"
02/16/2024,"91.72","92.32","89.36","89.47","5,024,851"
02/15/2024,"86.93","87.91","86.52","87.79","2,854,632"
02/14/2024,"85.99","86.84","85.59","86.49","2,309,788"
02/13/2024,"84.16","85.38","83.74","85.11","2,129,399"
02/12/2024,"85.74","86.24","85.33","85.47","1,683,488"
02/09/2024,"85.65","86.51","85.27","85.90","4,011,864"
02/08/2024,"84.67","85.50","84.41","85.38","2,500,908"
02/07/2024,"83.56","84.97","83.38","84.57","2,846,301"
02/06/2024,"82.86","83.40","82.21","83.24","7,467,121"
02/05/2024,"82.96","83.52","82.51","82.91","2,464,717"
02/02/2024,"81.87","84.01","81.59","83.74","2,395,639"
02/01/2024,"80.36","82.23","80.36","81.99","4,281,309"
01/31/2024,"80.36","80.85","79.73","79.86","2,470,904"
01/30/2024,"80.15","80.83","80.12","80.61","2,156,074"
01/29/2024,"79.08","80.55","79.04","80.48","2,658,203"
01/26/2024,"79.36","79.63","79.03","79.30","2,170,181"
01/25/2024,"79.34","79.75","78.69","79.25","2,688,375"
01/24/2024,"79.75","79.83","78.62","78.84","4,113,059"
01/23/2024,"79.52","79.52","78.36","79.21","2,153,082"
01/22/2024,"79.02","79.45","78.83","79.34","1,820,335"
01/19/2024,"78.57","78.92","77.87","78.88","2,149,351"
01/18/2024,"77.76","78.37","77.16","78.18","1,579,236"
01/17/2024,"77.16","77.75","76.97","77.45","2,589,522"
01/16/2024,"77.13","78.01","76.64","77.95","2,610,722"
01/12/2024,"78.09","78.17","76.73","77.42","2,961,948"
01/11/2024,"76.33","77.74","75.54","77.69","3,222,119"
01/10/2024,"75.89","76.39","75.74","76.29","1,386,108"
01/09/2024,"74.97","75.91","74.58","75.91","2,100,073"
01/08/2024,"74.81","75.74","74.01","75.72","1,882,761"
01/05/2024,"74.80","75.29","74.59","74.80","2,066,608"
01/04/2024,"74.90","75.77","74.72","74.94","1,475,652"
01/03/2024,"76.21","76.47","74.67","74.72","2,629,617"
01/02/2024,"77.00","77.61","76.26","76.73","1,790,068"
12/29/2023,"77.93","78.02","77.28","77.34","1,618,105"
12/28/2023,"77.74","78.16","77.57","77.78","1,110,042"
12/27/2023,"77.48","77.87","77.24","77.85","1,822,991"
12/26/2023,"76.49","77.43","76.46","77.40","1,346,298"
12/22/2023,"76.08","76.87","75.91","76.48","1,433,683"
12/21/2023,"75.64","75.86","75.05","75.80","1,392,654"
12/20/2023,"76.00","76.81","74.84","74.87","2,029,149"
12/19/2023,"75.13","76.40","74.83","76.33","2,263,226"
12/18/2023,"75.19","75.28","74.47","74.82","1,751,886"
12/15/2023,"74.86","75.63","74.70","74.84","4,784,528"
12/14/2023,"74.13","75.57","74.09","75.31","2,590,275"
12/13/2023,"74.22","74.76","73.52","73.70","2,115,736"
12/12/2023,"74.21","74.85","74.07","74.26","2,094,851"
12/11/2023,"73.38","74.49","73.38","73.98","2,004,267"
12/08/2023,"72.49","73.42","72.40","73.31","2,723,589"
12/07/2023,"71.73","72.56","71.54","72.55","2,302,615"
12/06/2023,"72.27","72.98","71.21","71.38","1,905,592"
12/05/2023,"71.79","72.44","71.54","71.96","1,748,256"
12/04/2023,"71.57","72.16","71.29","72.02","2,320,600"
12/01/2023,"71.36","72.73","71.36","72.24","2,451,515"
11/30/2023,"69.94","71.52","69.51","71.43","3,532,527"
11/29/2023,"70.21","70.40","69.46","69.60","2,064,737"
11/28/2023,"70.86","71.24","69.64","69.66","2,904,599"
11/27/2023,"71.30","71.30","70.65","70.78","1,806,968"
11/24/2023,"70.83","71.33","70.60","71.33","674,862"
11/22/2023,"70.66","70.97","70.43","70.71","1,698,326"
