Date,Open,High,Low,Close,Volume
02/16/2024,"68.36","68.76","67.77","67.98","1,067,560"
02/15/2024,"68.20","69.27","68.15","69.14","1,219,728"
02/14/2024,"67.32","67.85","66.86","67.55","893,929"
02/13/2024,"67.48","67.48","66.20","67.02","1,348,105"
02/12/2024,"68.66","69.23","68.46","68.83","996,065"
02/09/2024,"68.63","68.94","68.18","68.63","741,667"
02/08/2024,"67.74","68.62","67.60","68.56","820,955"
02/07/2024,"69.24","69.27","67.66","67.82","1,741,456"
02/06/2024,"68.42","69.37","68.06","68.96","949,975"
02/05/2024,"68.24","68.81","67.63","68.45","1,443,143"
02/02/2024,"68.64","69.53","67.40","69.12","1,562,131"
02/01/2024,"67.43","69.29","67.13","69.28","1,409,649"
01/31/2024,"68.49","68.80","67.19","67.52","2,559,020"
01/30/2024,"67.53","68.67","67.39","68.26","1,025,395"
01/29/2024,"67.50","67.84","67.14","67.72","795,075"
01/26/2024,"68.65","68.65","67.40","67.56","1,289,501"
01/25/2024,"67.76","68.48","67.69","68.43","1,277,382"
01/24/2024,"68.55","68.68","66.90","67.01","1,215,874"
01/23/2024,"67.46","68.37","67.36","67.89","1,563,241"
01/22/2024,"67.15","67.84","66.77","67.11","1,096,019"
01/19/2024,"66.15","67.03","65.40","66.87","1,355,511"
01/18/2024,"65.36","66.14","65.01","65.94","1,464,824"
01/17/2024,"65.49","66.37","64.68","65.34","1,253,927"
01/16/2024,"66.50","66.81","65.92","66.36","1,294,093"
01/12/2024,"66.82","67.53","66.22","67.23","1,384,399"
01/11/2024,"66.83","66.93","65.67","66.25","1,146,660"
01/10/2024,"67.19","67.45","66.80","67.18","821,635"
01/09/2024,"67.47","67.79","66.96","67.14","935,535"
01/08/2024,"66.75","68.06","66.67","68.05","948,918"
01/05/2024,"66.16","67.54","65.90","66.75","1,798,743"
01/04/2024,"66.22","67.63","66.22","66.56","1,826,198"
01/03/2024,"68.14","68.27","65.02","66.22","2,568,742"
01/02/2024,"69.90","70.06","68.44","68.63","1,618,260"
12/29/2023,"70.36","70.50","69.88","69.98","960,522"
12/28/2023,"69.73","70.66","69.73","70.60","783,250"
12/27/2023,"69.81","70.34","69.66","70.24","840,014"
12/26/2023,"69.40","69.94","69.13","69.87","646,603"
12/22/2023,"69.25","69.61","68.91","69.37","775,185"
12/21/2023,"68.50","69.07","67.97","69.05","988,273"
12/20/2023,"68.73","69.16","67.97","68.02","1,295,984"
12/19/2023,"68.54","68.98","68.46","68.73","994,564"
12/18/2023,"68.05","68.57","67.73","68.32","1,297,746"
12/15/2023,"67.63","68.27","67.12","67.92","3,221,927"
12/14/2023,"68.56","68.87","67.78","68.45","2,292,226"
12/13/2023,"66.65","68.23","66.11","67.84","1,698,029"
12/12/2023,"65.98","66.72","65.75","66.45","1,634,299"
12/11/2023,"65.41","65.93","65.15","65.90","902,162"
12/08/2023,"65.30","65.84","64.66","65.45","1,067,649"
12/07/2023,"65.98","65.98","65.36","65.59","1,084,896"
12/06/2023,"66.43","66.59","65.77","65.98","1,194,622"
12/05/2023,"65.94","66.39","65.49","65.99","1,979,131"
12/04/2023,"65.16","66.25","65.00","66.20","1,766,805"
12/01/2023,"64.02","65.58","63.65","65.49","1,520,499"
11/30/2023,"63.15","64.19","62.95","64.15","2,052,813"
11/29/2023,"64.20","64.25","63.17","63.28","1,428,787"
11/28/2023,"63.31","63.75","63.00","63.72","960,173"
11/27/2023,"63.09","63.91","62.58","63.60","1,571,318"
11/24/2023,"63.30","63.44","62.71","63.21","385,446"
11/22/2023,"63.67","63.71","63.08","63.29","727,773"
11/21/2023,"63.00","63.18","62.56","63.05","1,001,681"
