Date,Open,High,Low,Close,Volume
02/20/2024,"379.69","382.88","374.61","377.64","1,445,682"
02/16/2024,"378.29","381.15","376.00","378.63","1,272,001"
02/15/2024,"382.03","383.00","377.54","380.17","1,053,098"
02/14/2024,"380.09","381.91","378.00","381.76","1,147,614"
02/13/2024,"375.00","383.25","371.00","378.89","1,705,296"
02/12/2024,"386.09","387.36","381.07","382.13","1,569,858"
02/09/2024,"387.46","389.92","383.05","388.22","1,234,101"
02/08/2024,"389.51","391.60","385.36","386.94","998,655"
02/07/2024,"390.38","392.00","385.72","391.38","1,458,965"
02/06/2024,"385.26","389.79","384.12","389.69","1,694,266"
02/05/2024,"384.47","388.62","380.57","383.94","1,575,287"
02/02/2024,"382.33","385.43","377.90","383.77","1,773,557"
02/01/2024,"378.41","384.29","375.67","383.83","1,630,137"
01/31/2024,"378.50","383.74","375.60","378.22","1,802,098"
01/30/2024,"377.37","381.79","376.42","377.29","1,375,320"
01/29/2024,"374.41","379.34","373.06","379.16","1,602,969"
01/26/2024,"371.60","375.06","368.01","374.76","2,144,764"
01/25/2024,"372.61","377.33","370.60","374.97","1,873,334"
01/24/2024,"383.93","384.00","362.14","370.07","4,949,678"
01/23/2024,"377.25","377.80","367.50","371.41","2,393,791"
01/22/2024,"377.91","379.39","375.07","375.81","1,813,143"
01/19/2024,"374.00","376.90","370.66","374.82","2,392,529"
01/18/2024,"369.88","374.18","366.79","371.93","2,533,109"
01/17/2024,"358.40","361.23","355.17","358.88","1,246,107"
01/16/2024,"363.39","364.48","359.40","362.33","1,494,965"
01/12/2024,"365.00","366.86","360.96","363.71","1,456,460"
01/11/2024,"364.45","366.80","357.63","362.31","2,230,616"
01/10/2024,"348.00","364.87","345.53","364.45","4,868,411"
01/09/2024,"326.03","332.80","325.77","330.56","1,421,605"
01/08/2024,"324.50","329.53","324.12","328.86","1,463,337"
01/05/2024,"322.55","327.52","321.31","322.50","1,042,127"
01/04/2024,"320.43","326.41","320.26","323.27","1,471,767"
01/03/2024,"328.10","328.10","320.68","322.13","1,596,584"
01/02/2024,"333.00","336.20","328.38","330.98","1,379,307"
12/29/2023,"337.83","339.26","336.62","337.36","1,303,314"
12/28/2023,"337.01","340.49","336.34","338.39","740,722"
12/27/2023,"337.00","337.67","335.07","337.47","750,000"
12/26/2023,"336.92","338.35","335.21","337.39","736,795"
12/22/2023,"334.52","337.06","333.46","336.26","1,025,099"
12/21/2023,"328.97","333.98","327.53","333.45","1,969,692"
12/20/2023,"334.05","334.05","325.26","325.43","1,845,639"
12/19/2023,"328.42","336.58","328.00","335.72","2,276,743"
12/18/2023,"325.73","331.99","325.01","328.42","1,937,882"
12/15/2023,"325.83","327.00","322.59","324.35","3,637,298"
12/14/2023,"330.00","332.61","324.83","326.18","2,068,912"
12/13/2023,"320.68","329.45","320.22","328.96","1,446,993"
12/12/2023,"316.97","321.36","314.38","320.71","1,371,293"
12/11/2023,"310.00","319.80","309.80","315.43","1,731,147"
12/08/2023,"310.52","312.88","308.58","310.42","1,222,954"
12/07/2023,"310.97","312.75","307.72","311.56","1,313,392"
12/06/2023,"311.39","313.60","308.61","310.26","1,182,695"
12/05/2023,"312.00","312.00","304.50","309.52","1,246,409"
12/04/2023,"311.92","315.93","308.91","311.84","1,431,186"
12/01/2023,"310.59","315.64","308.73","315.20","1,388,826"
11/30/2023,"310.76","311.99","304.70","310.84","2,437,496"
11/29/2023,"312.00","316.31","309.97","310.76","1,389,053"
11/28/2023,"311.84","312.76","309.26","310.95","1,558,995"
11/27/2023,"314.68","316.00","312.02","314.98","1,084,261"
11/24/2023,"316.95","318.26","316.00","318.01","601,268"
11/22/2023,"315.00","317.39","313.92","315.80","1,199,862"
