Date,Open,High,Low,Close,Volume
02/20/2024,"447.77","450.40","441.21","445.00","602,208"
02/16/2024,"453.71","456.87","448.55","448.61","391,520"
02/15/2024,"453.19","455.68","450.52","453.81","577,760"
02/14/2024,"449.06","452.79","446.96","449.86","538,648"
02/13/2024,"442.98","447.98","440.16","446.24","401,195"
02/12/2024,"463.00","463.00","449.27","450.97","477,493"
02/09/2024,"458.80","465.02","456.59","463.52","342,831"
02/08/2024,"453.30","456.48","449.22","456.18","474,847"
02/07/2024,"458.97","458.97","448.37","449.95","1,064,825"
02/06/2024,"433.13","466.03","431.00","461.70","1,171,606"
02/05/2024,"469.89","471.32","464.53","469.79","417,170"
02/02/2024,"467.48","471.76","462.29","469.89","453,591"
02/01/2024,"457.59","467.01","456.64","467.01","311,707"
01/31/2024,"462.55","464.26","456.92","457.44","369,610"
01/30/2024,"465.16","470.52","464.33","465.54","257,802"
01/29/2024,"460.56","465.11","459.08","463.69","202,623"
01/26/2024,"459.71","464.30","458.59","460.83","206,169"
01/25/2024,"466.68","467.22","457.01","461.19","306,906"
01/24/2024,"470.97","471.44","463.03","463.08","260,626"
01/23/2024,"469.16","469.39","463.54","466.22","265,771"
01/22/2024,"468.76","470.50","465.13","468.00","306,459"
01/19/2024,"465.10","466.33","460.56","464.88","1,080,444"
01/18/2024,"456.67","463.23","455.54","463.09","591,915"
01/17/2024,"451.00","455.72","450.17","454.38","548,414"
01/16/2024,"451.22","456.70","450.69","453.10","558,701"
01/12/2024,"443.11","454.65","443.11","454.21","380,036"
01/11/2024,"443.73","444.99","436.00","444.66","290,517"
01/10/2024,"439.40","442.30","437.42","441.56","348,282"
01/09/2024,"431.89","437.18","431.79","436.98","291,117"
01/08/2024,"427.85","435.88","425.75","435.82","336,206"
01/05/2024,"425.66","430.08","424.53","425.37","325,985"
01/04/2024,"427.20","430.98","425.08","426.54","380,034"
01/03/2024,"435.65","437.42","427.31","427.54","435,540"
01/02/2024,"446.82","449.09","434.96","437.25","442,796"
12/29/2023,"450.95","454.89","449.85","451.11","289,439"
12/28/2023,"448.02","452.98","448.02","452.27","276,820"
12/27/2023,"447.74","447.96","444.34","446.63","203,247"
12/26/2023,"444.25","447.66","443.53","446.47","232,125"
12/22/2023,"446.00","449.01","442.07","446.49","252,981"
12/21/2023,"445.85","446.11","439.84","443.34","603,555"
12/20/2023,"448.73","451.82","442.59","442.59","416,153"
12/19/2023,"449.35","453.56","447.51","450.48","383,928"
12/18/2023,"445.09","450.55","443.38","449.68","991,815"
12/15/2023,"449.42","455.10","444.16","444.42","1,344,953"
12/14/2023,"465.97","468.31","453.86","454.01","773,915"
12/13/2023,"461.39","469.58","461.35","466.05","535,722"
12/12/2023,"458.40","463.90","457.00","460.62","426,497"
12/11/2023,"452.84","460.00","447.94","457.60","604,347"
12/08/2023,"445.39","453.25","443.95","452.00","431,672"
12/07/2023,"442.50","447.29","442.13","446.00","462,472"
12/06/2023,"437.08","442.80","437.08","442.00","457,720"
12/05/2023,"436.75","439.17","433.43","434.83","277,773"
12/04/2023,"436.83","441.58","435.19","439.58","474,009"
12/01/2023,"434.32","441.82","432.76","441.14","532,043"
11/30/2023,"430.57","435.38","426.62","434.84","996,277"
11/29/2023,"431.95","434.41","430.02","430.12","441,052"
11/28/2023,"429.79","433.90","428.59","428.69","258,618"
11/27/2023,"426.83","432.79","426.83","431.36","306,615"
11/24/2023,"426.78","429.04","423.53","426.85","159,863"
11/22/2023,"430.27","432.69","426.71","428.34","274,233"
