Date,Open,High,Low,Close,Volume
02/20/2024,"56.31","56.92","56.28","56.63","5,807,622"
02/16/2024,"57.28","57.91","56.69","56.86","4,529,341"
02/15/2024,"56.92","58.13","56.83","57.40","6,408,859"
02/14/2024,"55.07","57.31","55.07","57.07","9,543,602"
02/13/2024,"54.75","55.20","54.07","54.74","7,073,033"
02/12/2024,"55.52","56.04","55.40","55.46","3,520,247"
02/09/2024,"55.22","55.73","55.10","55.50","4,475,926"
02/08/2024,"54.52","55.34","54.19","55.11","5,620,770"
02/07/2024,"53.94","54.42","53.34","54.40","4,807,826"
02/06/2024,"53.10","53.57","52.79","53.26","8,325,107"
02/05/2024,"53.79","54.15","53.31","53.34","5,822,568"
02/02/2024,"53.63","54.49","53.29","54.45","5,413,084"
02/01/2024,"53.26","54.52","52.98","54.03","5,815,274"
01/31/2024,"53.95","54.27","52.02","52.69","11,717,570"
01/30/2024,"55.31","55.89","53.21","54.49","10,868,650"
01/29/2024,"56.39","56.67","55.80","56.65","9,004,275"
01/26/2024,"55.84","58.00","55.51","56.59","10,346,160"
01/25/2024,"55.65","55.74","54.69","55.70","6,448,874"
01/24/2024,"55.96","55.96","54.99","55.02","5,044,908"
01/23/2024,"55.13","55.67","54.88","55.64","5,304,623"
01/22/2024,"54.33","55.04","54.33","54.90","4,527,672"
01/19/2024,"53.66","54.32","52.88","54.19","4,095,326"
01/18/2024,"54.49","54.58","53.38","53.67","5,753,102"
01/17/2024,"52.20","54.37","51.71","54.23","8,753,738"
01/16/2024,"55.61","55.61","52.38","52.40","12,190,900"
01/12/2024,"57.86","58.03","56.31","56.34","5,240,241"
01/11/2024,"57.62","57.96","57.15","57.79","4,712,515"
01/10/2024,"57.66","57.80","57.23","57.44","5,918,818"
01/09/2024,"57.00","57.78","56.81","57.66","4,457,185"
01/08/2024,"57.20","57.61","56.95","57.20","4,924,804"
01/05/2024,"56.61","57.52","56.23","57.18","4,597,131"
01/04/2024,"55.84","57.05","55.78","56.72","5,406,173"
01/03/2024,"56.55","56.58","55.39","56.04","4,722,590"
01/02/2024,"57.38","58.03","57.00","57.08","6,739,769"
12/29/2023,"57.60","57.88","57.37","57.64","3,358,070"
12/28/2023,"57.49","57.88","57.29","57.70","3,093,656"
12/27/2023,"57.80","58.23","57.61","57.68","4,558,244"
12/26/2023,"56.79","57.73","56.75","57.63","4,644,261"
12/22/2023,"56.14","57.24","56.12","56.74","4,731,969"
12/21/2023,"55.03","56.07","54.92","55.97","5,838,803"
12/20/2023,"54.00","55.58","53.63","54.71","8,365,004"
12/19/2023,"54.11","54.70","53.79","54.12","9,628,053"
12/18/2023,"52.50","54.24","52.31","53.52","9,292,944"
12/15/2023,"53.47","53.71","52.21","52.44","12,475,550"
12/14/2023,"53.75","55.28","53.75","54.10","14,047,200"
12/13/2023,"52.24","53.32","51.70","53.29","13,261,870"
12/12/2023,"54.51","55.25","52.10","53.19","18,484,490"
12/11/2023,"56.30","56.89","56.16","56.57","7,022,686"
12/08/2023,"55.73","57.12","55.63","56.08","7,686,080"
12/07/2023,"55.35","55.66","54.84","55.50","5,543,407"
12/06/2023,"54.81","55.62","54.80","55.04","6,240,517"
12/05/2023,"54.37","54.80","54.20","54.42","4,927,990"
12/04/2023,"53.40","54.34","53.40","54.26","4,597,609"
12/01/2023,"52.97","53.95","52.79","53.89","4,526,087"
11/30/2023,"52.96","53.02","52.26","52.80","8,551,906"
11/29/2023,"52.64","53.19","52.39","52.76","3,402,167"
11/28/2023,"52.20","52.76","52.06","52.27","3,219,869"
11/27/2023,"52.15","52.61","52.01","52.43","3,081,075"
11/24/2023,"52.74","52.81","52.33","52.40","1,485,362"
11/22/2023,"52.63","52.93","52.19","52.72","2,536,475"
