Date,Open,High,Low,Close,Volume
02/16/2024,"173.65","175.67","172.46","172.48","428,357"
02/15/2024,"176.02","176.51","173.72","174.08","584,254"
02/14/2024,"172.98","175.34","172.93","175.26","495,867"
02/13/2024,"173.63","174.82","171.12","172.61","520,041"
02/12/2024,"178.37","178.37","175.52","175.71","427,268"
02/09/2024,"175.00","176.10","173.69","175.93","461,677"
02/08/2024,"169.43","174.22","169.24","174.05","622,660"
02/07/2024,"166.38","170.66","162.80","169.18","933,569"
02/06/2024,"162.94","164.95","160.63","163.91","871,640"
02/05/2024,"164.37","165.88","162.14","163.24","463,226"
02/02/2024,"166.69","166.78","164.28","165.64","500,886"
02/01/2024,"165.83","168.79","164.32","166.67","531,967"
01/31/2024,"169.64","169.93","164.63","165.83","2,118,666"
01/30/2024,"169.33","170.49","169.06","169.45","440,230"
01/29/2024,"169.95","170.64","168.80","169.54","379,082"
01/26/2024,"169.16","169.85","168.50","169.57","398,562"
01/25/2024,"166.86","168.40","166.09","168.29","490,363"
01/24/2024,"168.62","168.93","166.16","166.63","381,887"
01/23/2024,"168.61","169.65","167.09","168.05","354,096"
01/22/2024,"167.23","169.13","166.56","168.81","350,109"
01/19/2024,"166.19","166.77","164.53","166.39","339,587"
01/18/2024,"164.83","166.12","164.15","165.54","305,889"
01/17/2024,"164.15","165.93","163.00","165.76","358,436"
01/16/2024,"166.92","167.41","164.93","165.18","284,837"
01/12/2024,"168.04","168.26","166.76","167.59","217,051"
01/11/2024,"167.66","168.01","166.10","167.27","324,381"
01/10/2024,"167.19","167.80","166.10","167.61","244,986"
01/09/2024,"168.75","169.88","166.97","167.19","414,585"
01/08/2024,"167.70","170.38","167.48","169.70","548,707"
01/05/2024,"166.06","167.98","166.06","166.72","567,507"
01/04/2024,"163.75","167.00","163.00","166.67","679,381"
01/03/2024,"164.46","165.17","163.13","163.43","470,243"
01/02/2024,"163.13","165.34","162.36","164.66","553,107"
12/29/2023,"163.65","164.48","162.18","163.41","267,112"
12/28/2023,"163.64","164.55","163.38","163.88","272,660"
12/27/2023,"165.19","165.76","162.97","163.24","383,511"
12/26/2023,"165.08","166.07","164.78","165.56","384,133"
12/22/2023,"163.81","165.58","161.99","165.08","487,204"
12/21/2023,"163.27","164.15","162.12","163.27","370,936"
12/20/2023,"165.70","166.84","162.70","162.82","649,981"
12/19/2023,"166.28","166.71","164.47","165.25","552,656"
12/18/2023,"165.42","166.57","164.19","166.28","444,371"
12/15/2023,"166.35","166.46","163.79","164.36","1,352,431"
12/14/2023,"170.27","170.27","165.12","166.90","586,495"
12/13/2023,"165.97","169.07","165.67","168.17","806,358"
12/12/2023,"165.02","166.30","164.21","166.12","382,925"
12/11/2023,"164.32","165.32","163.46","164.38","667,451"
12/08/2023,"165.48","166.01","164.23","164.69","724,773"
12/07/2023,"165.45","165.66","163.61","165.15","496,481"
12/06/2023,"163.56","166.73","163.45","165.40","981,554"
12/05/2023,"162.40","162.87","160.61","161.33","339,841"
12/04/2023,"159.82","163.09","159.82","162.68","588,209"
12/01/2023,"158.68","161.45","157.72","160.79","486,189"
11/30/2023,"155.90","158.83","154.77","158.69","2,727,285"
11/29/2023,"156.10","158.06","155.37","156.01","500,671"
11/28/2023,"154.11","155.73","153.23","155.14","453,319"
11/27/2023,"153.65","155.48","153.05","153.99","522,107"
11/24/2023,"153.74","153.82","151.93","153.80","249,290"
11/22/2023,"153.20","154.30","152.66","153.09","393,067"
11/21/2023,"153.39","153.98","151.77","152.92","426,125"
