Date,Open,High,Low,Close,Volume
02/20/2024,"156.56","158.61","156.44","157.86","9,501,742"
02/16/2024,"156.60","157.26","155.67","156.55","8,540,961"
02/15/2024,"155.98","158.48","155.89","157.92","7,462,529"
02/14/2024,"156.35","156.46","154.84","155.74","9,098,805"
02/13/2024,"157.64","158.45","155.75","156.47","8,621,022"
02/12/2024,"156.58","158.41","156.35","157.85","6,701,508"
02/09/2024,"156.27","157.20","155.67","156.76","6,529,202"
02/08/2024,"157.34","157.34","155.31","156.40","9,754,960"
02/07/2024,"157.80","159.37","157.69","157.98","8,690,294"
02/06/2024,"155.83","158.73","155.60","158.06","9,230,611"
02/05/2024,"156.61","156.89","155.34","155.80","9,121,808"
02/02/2024,"157.97","158.31","155.94","156.61","8,295,916"
02/01/2024,"158.16","158.49","157.05","158.36","8,012,122"
01/31/2024,"160.40","160.62","158.67","158.90","8,257,029"
01/30/2024,"159.35","159.76","158.13","158.77","7,200,538"
01/29/2024,"159.01","160.07","158.96","159.36","6,483,190"
01/26/2024,"160.43","160.74","159.36","159.50","5,591,930"
01/25/2024,"159.00","159.62","158.47","159.56","5,478,898"
01/24/2024,"159.75","160.60","158.16","158.96","7,247,926"
01/23/2024,"159.66","160.51","156.91","159.81","9,149,777"
01/22/2024,"162.00","163.58","161.34","162.47","6,824,156"
01/19/2024,"161.15","161.92","160.28","161.68","7,071,320"
01/18/2024,"160.00","161.37","159.69","161.21","5,368,502"
01/17/2024,"160.25","161.30","159.87","160.43","5,072,104"
01/16/2024,"161.57","162.25","160.18","160.52","6,923,174"
01/12/2024,"161.84","162.47","161.69","162.39","4,496,942"
01/11/2024,"162.07","162.20","160.78","161.15","4,946,015"
01/10/2024,"161.83","162.62","161.20","161.87","4,945,088"
01/09/2024,"161.63","163.28","160.60","161.63","6,357,014"
01/08/2024,"161.10","161.66","159.61","161.53","6,569,810"
01/05/2024,"160.50","161.34","159.47","161.13","5,602,564"
01/04/2024,"161.59","161.98","160.42","160.63","6,766,641"
01/03/2024,"160.64","161.44","159.80","160.97","8,231,987"
01/02/2024,"156.93","161.64","156.79","159.97","9,622,108"
12/29/2023,"156.51","156.90","155.98","156.74","4,313,691"
12/28/2023,"156.00","157.24","155.99","156.58","4,377,535"
12/27/2023,"155.50","156.52","155.42","156.35","5,288,101"
12/26/2023,"155.00","156.35","154.85","156.14","4,170,190"
12/22/2023,"155.25","156.53","155.02","155.46","3,798,865"
12/21/2023,"153.69","155.13","153.30","154.84","4,598,843"
12/20/2023,"156.54","156.66","153.11","153.27","7,008,313"
12/19/2023,"155.30","156.50","154.94","156.46","6,651,744"
12/18/2023,"155.21","156.44","154.76","155.44","7,231,383"
12/15/2023,"155.49","156.69","153.76","155.16","21,727,750"
12/14/2023,"156.47","157.16","155.05","156.87","9,240,800"
12/13/2023,"153.66","155.94","151.77","155.79","10,764,580"
12/12/2023,"155.00","155.32","153.65","155.07","5,324,406"
12/11/2023,"154.50","155.48","154.35","155.06","6,090,360"
12/08/2023,"155.42","155.85","153.84","154.42","6,254,673"
12/07/2023,"156.58","156.58","154.71","155.40","6,532,388"
12/06/2023,"158.52","158.66","156.17","156.62","6,642,891"
12/05/2023,"158.80","159.63","158.22","158.55","7,268,151"
12/04/2023,"158.00","160.02","158.00","158.88","8,920,279"
12/01/2023,"156.44","158.46","155.47","158.38","10,342,900"
11/30/2023,"152.26","155.14","151.92","154.66","12,481,870"
11/29/2023,"151.33","152.20","151.07","152.11","5,190,026"
11/28/2023,"151.40","151.81","150.84","151.63","5,909,044"
11/27/2023,"152.29","152.32","150.97","151.28","6,449,740"
11/24/2023,"150.86","152.68","150.86","152.50","3,351,448"
11/22/2023,"151.63","152.04","150.39","150.82","4,635,503"
