Date,Open,High,Low,Close,Volume
02/20/2024,"179.19","180.46","178.41","179.73","9,667,959"
02/16/2024,"179.61","179.98","178.16","179.03","8,152,647"
02/15/2024,"176.15","180.21","176.15","179.87","8,723,390"
02/14/2024,"175.07","176.10","174.42","176.03","7,056,664"
02/13/2024,"175.32","176.23","172.62","174.26","8,397,631"
02/12/2024,"174.78","176.81","173.70","175.79","8,539,316"
02/09/2024,"175.00","175.10","173.67","175.01","6,296,729"
02/08/2024,"175.00","175.31","173.57","174.80","6,060,285"
02/07/2024,"175.69","175.87","173.96","175.43","7,225,478"
02/06/2024,"174.61","175.87","173.76","175.10","6,765,684"
02/05/2024,"173.86","175.09","172.92","174.50","7,820,160"
02/02/2024,"173.30","175.82","173.26","174.73","8,607,839"
02/01/2024,"173.64","174.84","171.43","173.73","9,354,798"
01/31/2024,"176.20","178.30","174.34","174.36","11,521,820"
01/30/2024,"172.83","176.76","172.83","176.27","10,822,080"
01/29/2024,"172.24","172.84","171.30","172.73","6,971,192"
01/26/2024,"172.61","173.06","171.78","172.28","7,442,955"
01/25/2024,"172.31","172.99","170.91","172.94","8,873,481"
01/24/2024,"169.36","171.01","168.86","170.50","9,967,060"
01/23/2024,"169.67","169.75","168.44","168.99","8,360,829"
01/22/2024,"170.46","171.98","169.71","170.11","12,837,510"
01/19/2024,"167.55","170.57","167.08","170.31","13,115,660"
01/18/2024,"167.12","167.53","165.24","167.42","9,382,255"
01/17/2024,"167.34","169.07","166.49","167.09","11,107,470"
01/16/2024,"164.87","168.09","164.30","167.99","17,206,420"
01/12/2024,"173.80","176.31","168.90","169.05","19,436,500"
01/11/2024,"170.33","170.36","168.64","170.30","11,919,500"
01/10/2024,"170.00","171.08","168.95","171.02","9,670,218"
01/09/2024,"171.62","171.79","170.10","170.66","9,923,630"
01/08/2024,"172.02","172.36","169.49","172.02","11,229,920"
01/05/2024,"171.47","173.38","171.47","172.27","10,066,030"
01/04/2024,"170.64","173.35","170.54","171.41","11,972,550"
01/03/2024,"171.86","172.04","170.37","171.33","9,852,335"
01/02/2024,"169.09","172.17","168.91","172.08","9,977,424"
12/29/2023,"170.00","170.69","169.63","170.10","6,435,102"
12/28/2023,"169.35","170.66","169.00","170.30","6,320,129"
12/27/2023,"167.84","169.47","167.58","169.40","6,428,643"
12/26/2023,"167.46","168.77","167.18","168.39","4,683,605"
12/22/2023,"167.50","168.23","167.23","167.40","6,576,322"
12/21/2023,"166.84","168.09","165.68","167.50","7,601,678"
12/20/2023,"167.99","169.41","166.45","166.55","10,734,710"
12/19/2023,"166.00","168.47","165.55","168.45","10,345,690"
12/18/2023,"165.92","167.13","165.63","166.23","8,469,608"
12/15/2023,"163.08","165.28","162.39","165.23","20,309,350"
12/14/2023,"161.83","164.84","161.71","163.99","13,642,990"
12/13/2023,"160.52","162.03","159.77","161.06","12,379,100"
12/12/2023,"159.23","160.65","158.88","160.52","10,222,980"
12/11/2023,"158.52","159.30","158.15","159.10","8,093,908"
12/08/2023,"157.26","158.78","156.98","158.52","7,369,370"
12/07/2023,"156.69","157.31","156.15","156.79","8,130,874"
12/06/2023,"158.84","159.22","156.00","156.31","9,366,004"
12/05/2023,"157.26","158.50","156.97","157.97","9,135,597"
12/04/2023,"156.02","158.05","155.88","157.99","9,607,465"
12/01/2023,"155.82","157.86","155.82","156.84","8,916,001"
11/30/2023,"154.91","156.13","154.38","156.08","9,869,790"
11/29/2023,"154.17","155.63","154.00","154.32","9,126,053"
11/28/2023,"153.22","153.87","152.72","153.54","6,582,937"
11/27/2023,"153.43","153.53","152.71","153.19","6,259,116"
11/24/2023,"153.59","154.44","153.28","153.54","3,496,941"
11/22/2023,"153.41","153.88","152.90","153.33","5,175,135"
