Date,Open,High,Low,Close,Volume
02/16/2024,"19.43","19.72","19.29","19.63","8,795,056"
02/15/2024,"19.76","19.84","19.66","19.77","4,167,730"
02/14/2024,"19.56","19.64","19.33","19.47","5,318,007"
02/13/2024,"19.34","19.54","19.06","19.50","6,788,042"
02/12/2024,"20.19","20.25","19.67","19.81","5,283,527"
02/09/2024,"19.99","20.11","19.65","20.08","6,460,859"
02/08/2024,"20.13","20.36","19.69","20.02","7,305,831"
02/07/2024,"20.36","20.43","20.13","20.17","5,854,597"
02/06/2024,"19.72","20.46","19.68","20.25","5,125,763"
02/05/2024,"19.83","19.97","19.69","19.74","4,728,639"
02/02/2024,"20.25","20.34","19.94","20.18","5,260,707"
02/01/2024,"20.25","20.57","20.09","20.52","5,044,442"
01/31/2024,"20.56","20.68","20.08","20.20","10,557,340"
01/30/2024,"20.35","20.72","20.28","20.47","5,470,124"
01/29/2024,"20.53","20.61","20.28","20.53","5,930,542"
01/26/2024,"20.96","20.96","20.52","20.54","5,072,930"
01/25/2024,"20.50","20.90","20.49","20.87","9,538,902"
01/24/2024,"20.62","20.66","20.16","20.21","5,744,323"
01/23/2024,"20.48","20.49","20.13","20.34","4,480,527"
01/22/2024,"20.22","20.53","20.18","20.32","4,891,020"
01/19/2024,"19.84","20.23","19.64","20.16","5,862,675"
01/18/2024,"19.95","20.06","19.52","19.79","5,209,839"
01/17/2024,"19.95","20.44","19.81","19.98","6,876,249"
01/16/2024,"20.43","20.52","20.14","20.25","7,577,880"
01/12/2024,"20.79","20.89","20.45","20.62","5,472,072"
01/11/2024,"20.83","20.89","20.40","20.53","8,516,172"
01/10/2024,"20.77","21.03","20.70","20.96","6,610,992"
01/09/2024,"20.60","20.76","20.53","20.74","4,683,908"
01/08/2024,"20.79","20.92","20.65","20.88","5,881,137"
01/05/2024,"20.70","21.01","20.53","20.85","4,999,749"
01/04/2024,"20.69","20.98","20.65","20.82","6,084,652"
01/03/2024,"21.05","21.08","20.67","20.72","6,741,584"
01/02/2024,"21.24","21.57","21.10","21.28","12,644,440"
12/29/2023,"21.77","21.79","21.27","21.31","21,799,311"
12/28/2023,"21.68","21.82","21.56","21.80","6,952,149"
12/27/2023,"21.90","21.91","21.62","21.77","5,747,538"
12/26/2023,"21.82","21.89","21.70","21.86","3,832,953"
12/22/2023,"21.89","22.11","21.71","21.76","4,310,511"
12/21/2023,"21.94","22.03","21.63","21.84","6,398,578"
12/20/2023,"22.14","22.29","21.72","21.74","5,245,216"
12/19/2023,"22.05","22.28","21.93","22.10","4,963,492"
12/18/2023,"22.43","22.50","21.89","21.90","5,891,692"
12/15/2023,"22.40","22.61","22.12","22.33","10,579,100"
12/14/2023,"22.04","22.84","22.00","22.59","11,676,330"
12/13/2023,"20.34","21.58","20.27","21.47","8,315,686"
12/12/2023,"20.35","20.40","20.18","20.27","7,022,111"
12/11/2023,"20.21","20.43","20.12","20.35","4,741,343"
12/08/2023,"20.05","20.24","19.88","20.24","5,814,715"
12/07/2023,"20.26","20.31","19.99","20.13","6,370,823"
12/06/2023,"20.28","20.58","20.07","20.18","8,054,267"
12/05/2023,"20.46","20.68","20.27","20.54","9,417,735"
12/04/2023,"19.91","20.58","19.86","20.55","4,968,490"
12/01/2023,"19.35","20.08","19.25","20.05","6,544,458"
11/30/2023,"19.00","19.36","19.00","19.32","5,868,533"
11/29/2023,"19.17","19.33","19.01","19.02","4,953,234"
11/28/2023,"18.81","18.99","18.68","18.97","4,000,483"
11/27/2023,"18.69","19.02","18.61","18.89","3,314,231"
11/24/2023,"18.76","18.83","18.62","18.71","1,114,498"
11/22/2023,"18.77","18.85","18.67","18.75","2,544,722"
11/21/2023,"18.68","18.77","18.53","18.61","2,903,134"
