Date,Open,High,Low,Close,Volume
02/20/2024,"118.80","120.48","118.66","119.15","2,293,206"
02/16/2024,"119.10","119.10","117.93","118.29","1,731,312"
02/15/2024,"118.65","118.83","118.05","118.79","1,591,059"
02/14/2024,"117.97","118.61","117.67","118.40","1,590,614"
02/13/2024,"120.42","120.79","118.10","118.55","1,789,191"
02/12/2024,"119.50","120.08","118.82","120.07","1,651,230"
02/09/2024,"120.08","120.47","119.11","119.81","1,612,676"
02/08/2024,"120.89","121.00","119.70","120.27","1,985,786"
02/07/2024,"122.02","122.02","120.64","121.07","1,903,481"
02/06/2024,"120.93","121.78","120.59","121.33","1,741,526"
02/05/2024,"122.10","122.45","120.88","120.98","2,232,534"
02/02/2024,"123.55","123.86","122.03","122.26","2,485,842"
02/01/2024,"120.70","123.48","119.65","123.43","1,939,708"
01/31/2024,"122.19","122.35","120.14","120.97","2,586,329"
01/30/2024,"121.35","121.84","119.92","121.70","1,949,824"
01/29/2024,"121.31","121.57","120.47","121.27","1,823,084"
01/26/2024,"120.47","121.22","119.94","121.17","2,579,772"
01/25/2024,"118.15","120.58","117.92","120.49","2,769,474"
01/24/2024,"119.71","121.02","117.77","118.04","6,020,568"
01/23/2024,"123.70","125.50","123.25","124.95","3,656,902"
01/22/2024,"122.61","123.00","121.93","122.34","1,924,998"
01/19/2024,"123.17","123.57","122.44","122.77","1,806,019"
01/18/2024,"122.37","123.34","122.16","123.04","1,348,047"
01/17/2024,"122.77","124.33","122.71","123.32","1,822,154"
01/16/2024,"124.09","124.23","122.12","123.07","2,725,618"
01/12/2024,"124.33","124.64","123.71","124.17","1,201,771"
01/11/2024,"123.55","124.02","122.78","123.82","1,608,417"
01/10/2024,"123.68","123.93","122.45","123.27","1,899,604"
01/09/2024,"123.30","123.65","122.55","123.64","1,403,153"
01/08/2024,"122.95","123.27","122.12","123.21","1,535,733"
01/05/2024,"122.52","123.02","121.47","122.25","1,394,130"
01/04/2024,"121.88","123.17","121.63","122.53","2,018,606"
01/03/2024,"122.83","123.27","121.30","121.74","1,742,498"
01/02/2024,"121.20","123.28","121.20","122.36","2,347,757"
12/29/2023,"120.82","121.61","120.76","121.51","1,765,813"
12/28/2023,"120.34","120.89","120.09","120.82","1,129,709"
12/27/2023,"119.67","120.38","119.56","120.31","941,819"
12/26/2023,"120.22","120.40","119.68","120.09","792,619"
12/22/2023,"119.73","120.71","119.63","120.21","1,134,048"
12/21/2023,"119.34","119.61","118.06","119.43","1,369,463"
12/20/2023,"120.20","120.42","118.76","118.80","1,801,277"
12/19/2023,"120.50","121.01","120.02","120.77","1,277,982"
12/18/2023,"119.78","121.08","119.51","120.59","1,710,205"
12/15/2023,"119.58","119.90","118.24","119.44","5,048,936"
12/14/2023,"123.52","123.52","120.65","120.84","2,112,208"
12/13/2023,"121.16","123.66","120.80","123.62","2,310,721"
12/12/2023,"121.23","121.83","120.86","121.77","1,650,753"
12/11/2023,"120.31","121.02","119.59","120.97","1,337,436"
12/08/2023,"121.32","121.44","119.59","119.94","1,795,507"
12/07/2023,"121.49","122.41","120.75","121.49","2,007,067"
12/06/2023,"121.78","122.47","121.16","122.45","2,415,607"
12/05/2023,"124.22","124.48","120.97","121.45","2,001,970"
12/04/2023,"123.78","124.87","123.60","124.17","1,693,554"
12/01/2023,"123.74","124.06","123.11","124.04","1,802,306"
11/30/2023,"121.64","123.79","120.93","123.73","2,741,354"
11/29/2023,"121.71","122.47","121.36","121.77","1,657,541"
11/28/2023,"122.36","123.02","121.82","121.99","1,802,465"
11/27/2023,"122.58","122.58","121.60","122.40","1,387,412"
11/24/2023,"122.45","122.70","121.71","122.43","666,536"
11/22/2023,"122.08","122.57","121.73","122.32","1,427,159"
