Date,Open,High,Low,Close,Volume
02/20/2024,"17.12","17.22","17.00","17.06","13,300,550"
02/16/2024,"16.97","17.18","16.91","17.11","17,603,891"
02/15/2024,"16.53","17.04","16.51","16.97","18,223,211"
02/14/2024,"16.62","16.65","16.49","16.57","14,250,210"
02/13/2024,"16.74","16.89","16.47","16.57","15,183,350"
02/12/2024,"16.62","16.84","16.57","16.78","11,205,610"
02/09/2024,"16.63","16.72","16.53","16.61","9,323,427"
02/08/2024,"16.63","16.73","16.57","16.63","17,003,990"
02/07/2024,"16.74","16.77","16.52","16.65","16,670,779"
02/06/2024,"16.70","16.73","16.60","16.69","12,701,660"
02/05/2024,"16.85","16.85","16.62","16.67","14,057,980"
02/02/2024,"16.99","17.05","16.74","16.96","20,964,520"
02/01/2024,"16.92","17.19","16.86","17.03","16,473,961"
01/31/2024,"17.22","17.25","16.90","16.92","16,870,609"
01/30/2024,"17.05","17.23","17.01","17.21","12,446,180"
01/29/2024,"17.44","17.49","17.25","17.37","13,665,900"
01/26/2024,"17.33","17.47","17.30","17.44","14,265,380"
01/25/2024,"17.03","17.34","16.95","17.33","23,723,820"
01/24/2024,"17.14","17.15","16.85","16.89","25,500,490"
01/23/2024,"17.15","17.22","17.04","17.08","14,416,910"
01/22/2024,"17.21","17.29","17.09","17.16","13,142,410"
01/19/2024,"17.38","17.38","17.10","17.20","19,017,961"
01/18/2024,"17.32","17.51","17.10","17.31","31,605,631"
01/17/2024,"17.73","17.85","17.50","17.56","13,926,430"
01/16/2024,"17.92","17.98","17.80","17.82","12,903,270"
01/12/2024,"18.05","18.15","17.89","17.97","10,319,040"
01/11/2024,"17.97","17.99","17.70","17.84","16,028,800"
01/10/2024,"18.02","18.06","17.90","17.95","14,113,050"
01/09/2024,"18.10","18.15","17.95","18.05","15,386,350"
01/08/2024,"17.89","18.11","17.79","18.11","12,962,160"
01/05/2024,"18.02","18.11","17.87","18.02","12,288,800"
01/04/2024,"18.15","18.24","17.90","17.95","10,839,240"
01/03/2024,"17.81","18.13","17.76","18.05","14,367,050"
01/02/2024,"17.70","17.90","17.67","17.83","13,141,230"
12/29/2023,"17.70","17.70","17.57","17.64","9,811,256"
12/28/2023,"17.71","17.80","17.62","17.69","7,770,033"
12/27/2023,"17.84","17.87","17.66","17.77","7,920,543"
12/26/2023,"17.80","17.89","17.72","17.85","7,636,696"
12/22/2023,"17.70","17.84","17.67","17.72","7,534,269"
12/21/2023,"17.51","17.65","17.00","17.64","11,332,250"
12/20/2023,"17.64","17.74","17.50","17.50","16,159,170"
12/19/2023,"17.59","17.72","17.54","17.64","11,375,700"
12/18/2023,"17.75","17.84","17.55","17.57","13,959,710"
12/15/2023,"17.60","17.62","17.38","17.49","33,040,898"
12/14/2023,"17.61","17.88","17.60","17.69","17,957,750"
12/13/2023,"17.21","17.54","17.11","17.48","17,197,869"
12/12/2023,"17.51","17.57","17.14","17.22","16,091,550"
12/11/2023,"17.67","17.70","17.53","17.57","11,457,530"
12/08/2023,"17.55","17.71","17.51","17.70","11,790,040"
12/07/2023,"17.62","17.66","17.45","17.50","16,544,830"
12/06/2023,"17.47","17.69","17.41","17.53","17,064,670"
12/05/2023,"17.85","17.89","17.49","17.50","17,516,891"
12/04/2023,"17.69","17.90","17.66","17.85","11,707,980"
12/01/2023,"17.54","17.80","17.51","17.75","12,719,080"
11/30/2023,"17.37","17.59","17.36","17.57","23,071,350"
11/29/2023,"17.36","17.47","17.21","17.32","13,975,750"
11/28/2023,"17.35","17.43","17.26","17.29","10,998,480"
11/27/2023,"17.30","17.35","17.25","17.31","10,947,040"
11/24/2023,"17.30","17.46","17.28","17.35","5,988,130"
11/22/2023,"16.94","17.30","16.90","17.29","13,233,980"
