Date,Open,High,Low,Close,Volume
02/22/2024,"73.64","73.65","71.09","72.89","1,967,148"
02/21/2024,"70.16","71.19","69.61","70.62","886,838"
02/20/2024,"70.63","71.56","70.12","70.66","1,131,499"
02/16/2024,"72.41","73.13","71.33","71.88","1,255,179"
02/15/2024,"73.27","74.64","73.14","74.33","1,113,073"
02/14/2024,"72.96","73.40","71.66","72.76","1,418,310"
02/13/2024,"73.52","74.26","71.87","72.54","2,504,835"
02/12/2024,"75.14","77.47","75.08","76.95","1,659,005"
02/09/2024,"73.56","74.86","72.90","74.79","1,821,271"
02/08/2024,"72.01","73.39","71.90","73.30","1,490,977"
02/07/2024,"72.47","73.19","71.78","72.30","1,979,900"
02/06/2024,"70.97","72.30","70.59","71.83","2,046,197"
02/05/2024,"71.32","71.83","69.93","70.99","1,661,671"
02/02/2024,"71.43","73.99","70.15","72.79","1,833,947"
02/01/2024,"71.61","72.84","70.39","72.84","1,961,004"
01/31/2024,"71.97","73.97","71.04","71.18","2,047,521"
01/30/2024,"72.35","73.75","72.27","72.75","1,930,721"
01/29/2024,"69.92","73.07","69.57","72.95","2,239,395"
01/26/2024,"69.42","70.61","69.40","70.11","1,859,227"
01/25/2024,"68.51","69.20","67.50","69.08","1,649,389"
01/24/2024,"70.13","70.25","67.24","67.45","1,647,704"
01/23/2024,"70.99","71.67","68.68","69.22","1,457,509"
01/22/2024,"69.87","71.14","69.61","70.16","1,379,879"
01/19/2024,"68.64","70.16","67.10","69.15","1,876,575"
01/18/2024,"68.01","68.91","67.89","68.56","2,159,430"
01/17/2024,"68.26","69.25","66.86","67.84","2,488,605"
01/16/2024,"68.87","69.94","68.22","69.62","1,762,803"
01/12/2024,"72.23","72.76","69.16","69.59","2,116,487"
01/11/2024,"72.49","72.49","70.61","71.88","4,046,265"
01/10/2024,"72.58","72.88","71.21","72.58","1,742,736"
01/09/2024,"72.23","72.78","71.64","72.53","1,462,798"
01/08/2024,"72.82","73.89","72.18","73.01","1,469,614"
01/05/2024,"71.42","74.09","71.18","73.00","1,535,977"
01/04/2024,"72.14","72.86","71.50","71.83","1,653,363"
01/03/2024,"74.53","75.28","72.16","72.53","2,473,401"
01/02/2024,"76.55","77.63","75.41","76.20","2,176,332"
12/29/2023,"76.73","77.52","76.47","76.74","1,408,770"
12/28/2023,"77.42","78.02","76.77","77.84","1,057,211"
12/27/2023,"76.38","78.29","75.98","78.00","2,110,152"
12/26/2023,"76.41","76.47","74.32","76.18","2,240,717"
12/22/2023,"77.94","78.93","76.09","76.52","2,309,353"
12/21/2023,"84.20","84.20","77.23","78.55","7,567,985"
12/20/2023,"75.94","77.17","74.61","74.68","3,818,531"
12/19/2023,"75.20","77.43","75.01","76.64","3,400,639"
12/18/2023,"74.96","76.01","74.21","75.39","2,705,330"
12/15/2023,"75.16","76.66","74.28","74.74","3,902,191"
12/14/2023,"72.48","76.38","72.48","75.00","4,292,681"
12/13/2023,"65.97","71.45","65.93","71.05","2,991,888"
12/12/2023,"66.54","66.78","65.38","65.96","1,311,697"
12/11/2023,"67.24","68.00","66.46","67.02","1,115,638"
12/08/2023,"66.92","68.03","66.81","67.22","1,641,879"
12/07/2023,"66.23","67.06","65.85","66.88","1,552,394"
12/06/2023,"66.54","67.87","65.48","65.93","1,532,711"
12/05/2023,"66.19","66.80","64.72","65.31","2,113,109"
12/04/2023,"67.26","68.73","67.00","68.28","1,609,149"
12/01/2023,"63.75","67.50","63.26","67.39","2,389,634"
11/30/2023,"63.93","64.41","62.90","63.94","2,031,858"
11/29/2023,"63.68","65.06","62.98","63.16","2,003,942"
11/28/2023,"63.96","63.98","62.91","63.68","1,412,923"
11/27/2023,"63.77","64.44","63.33","63.90","1,243,777"
11/24/2023,"64.00","64.33","63.35","64.16","490,655"
