Date,Open,High,Low,Close,Volume
02/20/2024,"59.60","60.84","59.51","60.70","18,339,320"
02/16/2024,"59.35","59.62","58.96","59.39","13,947,060"
02/15/2024,"59.42","59.59","59.13","59.40","13,695,850"
02/14/2024,"59.17","59.59","59.04","59.29","15,872,450"
02/13/2024,"59.50","60.66","58.79","59.35","24,195,711"
02/12/2024,"59.66","59.76","58.96","59.70","13,516,780"
02/09/2024,"59.47","59.58","59.03","59.56","15,235,250"
02/08/2024,"59.89","59.97","59.41","59.83","12,874,760"
02/07/2024,"60.07","60.21","59.94","59.99","10,259,890"
02/06/2024,"59.96","60.05","59.68","59.94","12,777,150"
02/05/2024,"60.38","60.38","59.88","60.04","12,759,570"
02/02/2024,"60.82","60.87","60.23","60.54","17,544,910"
02/01/2024,"59.57","61.01","59.36","60.98","15,870,880"
01/31/2024,"60.10","60.45","59.29","59.49","22,837,000"
01/30/2024,"59.85","60.02","59.45","59.90","22,061,539"
01/29/2024,"59.34","59.79","59.17","59.73","14,547,070"
01/26/2024,"59.25","59.49","59.13","59.37","13,025,070"
01/25/2024,"59.01","59.17","58.66","59.16","14,899,710"
01/24/2024,"59.80","59.81","58.89","58.91","16,370,480"
01/23/2024,"59.53","60.00","59.46","59.85","14,481,640"
01/22/2024,"59.76","60.07","59.44","59.57","14,314,270"
01/19/2024,"60.26","60.28","59.64","59.83","14,392,600"
01/18/2024,"59.69","60.23","59.53","60.16","10,397,680"
01/17/2024,"59.86","60.21","59.82","59.99","8,982,132"
01/16/2024,"60.39","60.43","59.85","59.99","11,826,910"
01/12/2024,"60.08","60.46","59.87","60.39","13,218,010"
01/11/2024,"60.25","60.26","59.69","59.81","13,754,230"
01/10/2024,"60.22","60.41","59.98","60.20","12,257,980"
01/09/2024,"59.99","60.14","59.62","60.00","10,493,650"
01/08/2024,"59.68","60.18","59.42","60.11","11,554,630"
01/05/2024,"59.80","59.95","59.09","59.67","10,412,800"
01/04/2024,"60.05","60.26","59.66","59.76","12,912,930"
01/03/2024,"59.93","60.20","59.76","59.96","14,830,630"
01/02/2024,"58.80","59.88","58.67","59.82","16,322,590"
12/29/2023,"58.74","58.98","58.63","58.93","9,244,339"
12/28/2023,"58.65","58.87","58.53","58.75","8,400,138"
12/27/2023,"58.64","58.77","58.40","58.71","8,560,060"
12/26/2023,"58.06","58.71","58.06","58.56","6,422,531"
12/22/2023,"58.12","58.46","58.02","58.32","9,029,440"
12/21/2023,"57.85","58.07","57.47","57.99","11,725,120"
12/20/2023,"58.50","58.67","57.57","57.61","17,701,000"
12/19/2023,"59.00","59.20","58.64","58.83","14,612,200"
12/18/2023,"58.80","59.49","58.62","59.02","16,717,660"
12/15/2023,"58.83","59.17","57.80","58.60","65,177,379"
12/14/2023,"59.97","60.04","58.77","59.04","22,478,311"
12/13/2023,"59.45","60.02","59.26","59.93","16,196,750"
12/12/2023,"59.20","59.42","58.90","59.42","12,899,010"
12/11/2023,"58.83","59.09","58.50","59.04","14,524,770"
12/08/2023,"58.74","58.75","58.37","58.61","11,178,670"
12/07/2023,"58.67","58.89","58.39","58.74","11,587,870"
12/06/2023,"58.56","58.73","58.21","58.60","14,868,550"
12/05/2023,"58.55","58.83","58.42","58.66","11,891,510"
12/04/2023,"58.59","58.96","58.44","58.57","14,942,250"
12/01/2023,"58.27","58.69","58.24","58.64","15,371,150"
11/30/2023,"57.96","58.46","57.60","58.44","22,727,490"
11/29/2023,"58.58","58.67","58.10","58.23","11,263,630"
11/28/2023,"58.40","58.83","58.36","58.58","13,739,610"
11/27/2023,"58.54","58.69","58.27","58.46","16,246,510"
11/24/2023,"58.46","58.75","58.34","58.57","4,816,024"
11/22/2023,"58.26","58.54","58.13","58.42","11,327,150"
