Date,Open,High,Low,Close,Volume
02/16/2024,"75.22","75.30","74.27","74.34","931,734"
02/15/2024,"73.54","75.38","73.45","75.22","1,206,471"
02/14/2024,"73.29","73.56","73.00","73.52","996,430"
02/13/2024,"73.39","73.85","72.50","73.02","1,298,509"
02/12/2024,"72.99","73.53","72.66","73.10","834,335"
02/09/2024,"71.78","72.76","71.66","72.75","671,423"
02/08/2024,"72.47","72.52","71.52","72.02","1,072,527"
02/07/2024,"72.96","73.00","72.39","72.66","864,682"
02/06/2024,"72.60","73.17","72.41","72.81","1,400,748"
02/05/2024,"74.59","75.24","72.28","72.79","1,618,140"
02/02/2024,"72.53","73.20","72.44","73.04","869,195"
02/01/2024,"72.28","72.58","71.45","72.30","1,043,073"
01/31/2024,"73.85","74.00","72.83","72.86","931,600"
01/30/2024,"73.07","73.81","73.07","73.78","755,481"
01/29/2024,"72.61","73.31","72.45","73.27","675,556"
01/26/2024,"73.03","73.39","72.65","72.78","1,194,176"
01/25/2024,"73.45","73.64","72.49","72.98","898,265"
01/24/2024,"73.06","73.44","72.98","73.09","494,544"
01/23/2024,"73.05","73.39","72.75","72.75","513,631"
01/22/2024,"72.35","73.29","72.33","73.05","798,141"
01/19/2024,"71.95","72.47","71.58","72.20","832,836"
01/18/2024,"70.71","71.54","70.59","71.49","511,463"
01/17/2024,"70.99","71.88","70.80","70.94","486,816"
01/16/2024,"70.83","71.20","70.71","71.10","720,477"
01/12/2024,"71.50","71.84","70.82","71.08","463,986"
01/11/2024,"70.87","71.12","70.36","71.00","440,527"
01/10/2024,"70.67","71.10","70.52","70.97","476,204"
01/09/2024,"71.04","71.21","70.23","70.99","461,685"
01/08/2024,"71.31","71.41","70.51","71.26","532,197"
01/05/2024,"70.90","71.49","70.77","71.19","683,425"
01/04/2024,"70.72","71.22","70.68","70.70","657,463"
01/03/2024,"70.49","71.03","70.23","70.27","709,660"
01/02/2024,"69.65","70.48","69.64","70.46","774,071"
12/29/2023,"69.56","69.70","69.19","69.59","611,348"
12/28/2023,"69.24","69.64","69.24","69.47","409,673"
12/27/2023,"68.81","69.25","68.76","69.18","432,172"
12/26/2023,"68.70","69.22","68.49","68.99","416,335"
12/22/2023,"68.80","69.02","68.58","68.80","436,873"
12/21/2023,"68.10","68.56","67.85","68.52","489,677"
12/20/2023,"68.65","69.08","68.03","68.11","783,714"
12/19/2023,"68.43","69.04","68.20","68.90","1,012,655"
12/18/2023,"68.31","68.66","67.93","68.50","1,063,059"
12/15/2023,"68.09","68.31","67.20","68.00","3,219,447"
12/14/2023,"70.43","70.43","68.55","68.69","1,832,530"
12/13/2023,"69.91","70.40","69.70","70.33","1,025,991"
12/12/2023,"69.65","70.38","69.56","69.94","652,217"
12/11/2023,"68.89","69.85","68.89","69.72","736,222"
12/08/2023,"68.86","68.94","68.48","68.84","618,350"
12/07/2023,"69.78","69.95","68.57","68.82","1,012,487"
12/06/2023,"70.45","70.74","69.30","69.48","592,376"
12/05/2023,"70.64","70.88","70.20","70.34","745,583"
12/04/2023,"69.70","70.85","69.51","70.72","951,726"
12/01/2023,"70.08","70.64","69.92","70.01","1,356,775"
11/30/2023,"68.57","70.45","68.47","70.29","6,165,240"
11/29/2023,"68.71","69.00","68.47","68.51","1,136,326"
11/28/2023,"69.24","69.31","68.50","68.64","905,125"
11/27/2023,"68.99","69.40","68.91","69.18","859,895"
11/24/2023,"68.57","69.37","68.57","69.30","563,840"
11/22/2023,"67.90","68.62","67.86","68.50","722,989"
11/21/2023,"67.50","68.39","67.50","68.09","904,748"
