Date,Open,High,Low,Close,Volume
02/16/2024,"223.37","223.37","216.00","216.64","1,151,409"
02/15/2024,"227.00","229.46","218.00","222.13","1,064,014"
02/14/2024,"224.47","228.55","224.40","228.11","1,074,458"
02/13/2024,"226.45","226.99","221.98","223.33","625,239"
02/12/2024,"222.26","227.53","221.83","227.45","508,804"
02/09/2024,"222.73","223.61","222.18","222.59","386,765"
02/08/2024,"222.06","223.16","220.75","222.80","602,466"
02/07/2024,"223.77","224.42","222.65","223.71","505,867"
02/06/2024,"219.77","223.18","219.77","222.28","466,288"
02/05/2024,"220.57","221.33","218.85","219.64","582,215"
02/02/2024,"223.01","223.81","220.92","221.54","617,268"
02/01/2024,"218.28","224.32","213.28","224.29","765,868"
01/31/2024,"227.56","227.56","221.79","222.30","789,990"
01/30/2024,"227.58","228.22","225.54","226.35","440,295"
01/29/2024,"224.65","227.29","223.65","227.14","910,970"
01/26/2024,"228.58","229.54","224.78","224.92","641,510"
01/25/2024,"225.10","226.81","222.09","226.65","482,440"
01/24/2024,"226.87","228.39","223.07","223.35","555,267"
01/23/2024,"226.13","227.37","224.14","226.69","527,340"
01/22/2024,"226.28","228.43","224.86","225.77","478,255"
01/19/2024,"228.31","228.31","223.86","226.15","744,916"
01/18/2024,"221.38","228.11","220.42","227.32","834,738"
01/17/2024,"221.06","225.38","220.63","223.00","660,124"
01/16/2024,"221.94","222.96","220.17","221.77","1,023,981"
01/12/2024,"223.29","225.50","221.35","223.48","534,099"
01/11/2024,"225.21","225.21","220.61","222.97","510,224"
01/10/2024,"228.12","229.71","223.45","225.37","1,021,184"
01/09/2024,"225.00","228.33","224.02","228.19","644,956"
01/08/2024,"225.21","226.09","223.66","225.99","543,384"
01/05/2024,"224.22","226.95","223.47","225.42","638,296"
01/04/2024,"226.71","227.73","224.79","225.22","547,083"
01/03/2024,"232.30","232.30","226.69","226.70","1,231,807"
01/02/2024,"226.61","234.09","226.07","232.56","614,932"
12/29/2023,"226.60","227.41","226.10","227.29","326,080"
12/28/2023,"226.47","227.84","226.47","227.06","421,440"
12/27/2023,"224.99","226.77","224.99","226.66","410,699"
12/26/2023,"223.51","225.81","222.43","225.35","272,317"
12/22/2023,"223.38","225.27","223.28","224.02","458,866"
12/21/2023,"221.00","223.15","220.28","222.15","673,848"
12/20/2023,"223.45","223.77","220.09","220.19","613,781"
12/19/2023,"220.92","224.96","219.22","224.05","1,064,054"
12/18/2023,"221.01","221.36","218.26","219.93","702,430"
12/15/2023,"221.35","222.74","218.10","219.50","2,135,770"
12/14/2023,"222.42","223.80","220.01","223.06","913,021"
12/13/2023,"217.46","221.51","217.21","221.47","659,639"
12/12/2023,"216.95","219.50","215.36","217.55","1,098,140"
12/11/2023,"216.21","217.71","214.79","216.15","701,186"
12/08/2023,"217.62","217.62","215.68","216.60","508,685"
12/07/2023,"218.61","219.27","217.09","217.63","506,300"
12/06/2023,"217.20","219.40","217.04","217.87","521,481"
12/05/2023,"222.15","222.76","216.87","217.02","598,214"
12/04/2023,"218.21","222.49","217.40","222.00","1,438,157"
12/01/2023,"217.23","219.78","216.69","218.97","840,951"
11/30/2023,"214.28","216.98","212.47","216.91","1,410,320"
11/29/2023,"212.69","214.50","212.36","214.09","756,373"
11/28/2023,"212.81","214.64","212.00","212.33","1,187,238"
11/27/2023,"212.67","213.70","211.79","212.76","668,224"
11/24/2023,"212.11","212.80","210.61","212.72","221,423"
11/22/2023,"213.24","213.70","211.57","211.60","615,485"
11/21/2023,"211.93","212.94","210.78","212.37","584,888"
