Date,Open,High,Low,Close,Volume
02/20/2024,"435.59","439.40","434.19","435.96","1,869,207"
02/16/2024,"432.27","434.77","430.65","431.63","1,460,792"
02/15/2024,"420.25","429.24","419.69","428.69","1,721,804"
02/14/2024,"418.87","420.85","416.62","418.40","1,345,168"
02/13/2024,"418.92","419.71","414.22","416.25","1,313,516"
02/12/2024,"420.36","420.99","418.12","419.61","1,272,070"
02/09/2024,"413.81","419.84","412.29","419.42","1,351,477"
02/08/2024,"419.30","419.30","413.36","414.00","1,488,904"
02/07/2024,"419.07","423.97","415.30","416.83","1,985,623"
02/06/2024,"414.89","421.00","411.36","415.56","3,227,232"
02/05/2024,"396.84","401.98","396.07","400.63","3,487,750"
02/02/2024,"407.02","408.93","404.24","407.09","2,218,561"
02/01/2024,"408.27","410.00","405.31","408.65","1,893,642"
01/31/2024,"409.46","410.61","403.33","404.83","1,782,044"
01/30/2024,"406.05","410.54","405.40","407.85","1,647,680"
01/29/2024,"404.78","405.87","402.26","405.61","1,400,491"
01/26/2024,"404.41","405.32","401.67","404.04","1,146,625"
01/25/2024,"400.72","403.60","400.40","403.47","1,550,902"
01/24/2024,"407.07","408.39","401.00","401.28","1,594,769"
01/23/2024,"405.29","408.18","402.17","407.89","1,293,867"
01/22/2024,"401.88","407.32","401.41","406.47","2,105,464"
01/19/2024,"407.12","408.00","404.26","407.38","2,265,923"
01/18/2024,"407.06","408.38","403.74","407.85","1,232,218"
01/17/2024,"404.47","407.33","403.92","406.75","1,369,062"
01/16/2024,"407.48","410.61","406.00","406.65","1,464,745"
01/12/2024,"408.74","409.56","405.50","408.92","849,170"
01/11/2024,"406.78","407.00","401.64","405.96","1,110,526"
01/10/2024,"404.43","406.09","404.01","405.88","1,170,618"
01/09/2024,"407.48","407.78","404.43","406.69","1,256,166"
01/08/2024,"407.86","409.99","404.36","408.29","1,142,302"
01/05/2024,"409.05","410.49","406.25","409.12","1,400,077"
01/04/2024,"407.64","411.65","407.58","408.59","1,517,835"
01/03/2024,"405.90","409.86","405.29","408.71","1,536,315"
01/02/2024,"409.78","411.73","406.70","409.58","1,571,892"
12/29/2023,"408.72","412.12","407.96","410.71","975,935"
12/28/2023,"410.53","410.90","409.21","409.77","814,377"
12/27/2023,"408.00","411.35","408.00","411.21","850,934"
12/26/2023,"410.61","411.73","409.63","409.93","619,271"
12/22/2023,"410.59","412.28","408.76","410.74","838,963"
12/21/2023,"408.02","409.40","406.61","409.13","1,534,008"
12/20/2023,"410.74","411.79","405.94","406.36","1,578,526"
12/19/2023,"412.00","414.25","410.11","412.09","1,344,691"
12/18/2023,"411.90","412.99","407.77","409.10","1,717,608"
12/15/2023,"407.41","410.90","404.90","407.38","4,241,139"
12/14/2023,"406.78","411.12","405.83","409.72","2,220,458"
12/13/2023,"405.94","414.17","404.67","408.74","3,359,596"
12/12/2023,"425.69","434.21","420.30","426.72","6,829,002"
12/11/2023,"400.00","408.29","399.87","408.24","1,653,505"
12/08/2023,"398.00","401.60","397.46","401.27","1,483,659"
12/07/2023,"399.41","401.41","397.38","398.65","1,914,117"
12/06/2023,"403.97","404.17","398.44","400.31","2,263,713"
12/05/2023,"406.00","406.61","402.15","403.97","2,207,044"
12/04/2023,"409.00","411.24","406.02","406.64","2,092,442"
12/01/2023,"412.45","415.05","409.97","411.70","2,107,310"
11/30/2023,"410.46","416.00","409.79","413.77","4,023,877"
11/29/2023,"412.57","415.29","410.95","411.39","1,405,937"
11/28/2023,"412.01","413.82","410.02","410.73","1,134,339"
11/27/2023,"413.83","414.00","410.00","412.80","1,301,164"
11/24/2023,"412.67","416.19","411.87","414.22","711,306"
11/22/2023,"410.74","412.51","408.11","411.62","1,110,974"
