Date,Open,High,Low,Close,Volume
02/16/2024,"48.86","50.34","48.64","50.04","4,192,461"
02/15/2024,"49.06","49.34","48.85","49.17","2,381,054"
02/14/2024,"48.24","48.98","48.17","48.85","2,046,666"
02/13/2024,"48.39","48.41","47.66","48.09","3,372,959"
02/12/2024,"48.05","49.23","47.97","49.17","1,413,972"
02/09/2024,"47.65","48.12","47.43","47.94","965,463"
02/08/2024,"47.29","47.62","47.13","47.54","1,198,889"
02/07/2024,"47.29","47.71","47.02","47.57","2,211,493"
02/06/2024,"46.38","47.14","46.03","47.12","1,464,099"
02/05/2024,"46.58","46.62","45.99","46.33","1,425,746"
02/02/2024,"47.46","47.70","46.76","47.30","1,248,573"
02/01/2024,"46.92","47.76","46.54","47.74","1,566,885"
01/31/2024,"47.55","47.69","46.57","46.67","1,710,144"
01/30/2024,"47.47","47.88","47.08","47.53","1,678,226"
01/29/2024,"47.53","47.71","46.89","47.69","2,067,995"
01/26/2024,"47.76","47.83","47.48","47.65","1,123,098"
01/25/2024,"47.86","47.96","47.16","47.51","1,476,248"
01/24/2024,"48.37","48.47","47.33","47.46","1,270,885"
01/23/2024,"48.46","48.78","47.28","47.92","1,939,981"
01/22/2024,"47.57","48.41","47.44","48.29","1,268,911"
01/19/2024,"47.35","47.65","46.89","47.38","1,168,745"
01/18/2024,"47.14","47.37","46.76","47.28","1,145,367"
01/17/2024,"47.00","47.45","46.85","47.05","1,776,914"
01/16/2024,"46.75","47.46","46.40","47.42","1,651,775"
01/12/2024,"47.49","47.85","46.91","47.04","1,087,984"
01/11/2024,"46.95","47.22","46.41","47.06","1,354,347"
01/10/2024,"46.87","47.05","46.67","47.02","1,054,745"
01/09/2024,"47.21","47.54","46.71","46.86","1,341,392"
01/08/2024,"47.10","47.75","46.83","47.64","1,843,098"
01/05/2024,"46.38","47.29","46.29","47.12","2,180,363"
01/04/2024,"46.65","46.76","46.25","46.55","1,515,585"
01/03/2024,"47.18","47.30","46.51","46.63","2,549,842"
01/02/2024,"47.75","48.22","47.16","47.28","1,503,056"
12/29/2023,"47.95","48.11","47.66","47.79","1,522,030"
12/28/2023,"48.08","48.24","47.61","47.89","772,734"
12/27/2023,"47.90","48.09","47.69","48.07","1,160,610"
12/26/2023,"47.94","47.98","47.66","47.92","986,723"
12/22/2023,"47.60","48.13","47.44","47.80","1,037,768"
12/21/2023,"47.72","47.99","46.98","47.43","1,600,848"
12/20/2023,"47.70","48.22","47.44","47.45","2,470,091"
12/19/2023,"47.24","47.96","46.98","47.75","2,096,541"
12/18/2023,"46.63","47.18","46.31","47.11","2,319,631"
12/15/2023,"46.79","46.82","46.08","46.60","4,800,102"
12/14/2023,"46.56","47.62","46.45","46.64","2,210,640"
12/13/2023,"45.40","46.03","44.97","46.01","3,220,043"
12/12/2023,"45.75","45.78","45.31","45.46","1,016,795"
12/11/2023,"45.40","46.08","45.40","45.74","1,426,173"
12/08/2023,"45.08","45.75","45.08","45.40","1,637,140"
12/07/2023,"45.32","45.53","44.77","45.20","1,154,729"
12/06/2023,"45.02","45.74","44.97","45.32","1,757,252"
12/05/2023,"45.30","45.38","44.56","44.64","1,373,145"
12/04/2023,"45.30","46.24","45.30","45.71","1,396,886"
12/01/2023,"44.69","45.53","44.50","45.49","1,359,364"
11/30/2023,"44.48","44.72","43.88","44.53","2,925,544"
11/29/2023,"45.13","45.13","44.16","44.39","1,767,137"
11/28/2023,"45.15","45.43","44.76","44.97","2,165,323"
11/27/2023,"45.30","45.57","45.02","45.12","1,098,054"
11/24/2023,"45.58","45.89","45.53","45.84","461,709"
11/22/2023,"45.58","45.83","45.42","45.74","973,663"
11/21/2023,"45.67","46.11","45.48","45.54","1,562,106"
