Date,Open,High,Low,Close,Volume
02/20/2024,"790.00","793.38","753.20","755.66","4,701,094"
02/16/2024,"771.03","794.47","763.50","782.06","5,009,368"
02/15/2024,"755.80","762.99","750.01","757.78","2,507,030"
02/14/2024,"745.82","764.05","745.00","757.31","3,394,326"
02/13/2024,"730.18","742.98","730.18","742.97","2,860,265"
02/12/2024,"740.80","740.80","726.45","737.26","2,932,304"
02/09/2024,"735.50","745.70","733.61","740.16","2,833,894"
02/08/2024,"728.32","741.00","725.75","735.68","4,636,885"
02/07/2024,"710.38","740.99","707.02","725.38","5,797,966"
02/06/2024,"742.00","742.00","691.10","705.03","8,199,902"
02/05/2024,"691.02","711.88","682.53","706.20","7,602,392"
02/02/2024,"662.38","672.62","659.74","667.65","3,019,223"
02/01/2024,"647.33","660.52","643.17","660.43","2,494,287"
01/31/2024,"650.38","663.55","637.00","645.61","4,719,039"
01/30/2024,"645.70","646.80","641.00","644.98","2,006,101"
01/29/2024,"641.50","645.65","639.77","645.00","2,718,484"
01/26/2024,"637.35","639.60","630.50","639.25","2,410,349"
01/25/2024,"627.37","632.61","624.68","627.62","2,407,930"
01/24/2024,"633.52","643.17","632.00","633.70","2,276,855"
01/23/2024,"627.69","630.00","614.82","629.68","2,524,983"
01/22/2024,"630.00","632.64","625.00","630.88","2,030,201"
01/19/2024,"622.39","629.59","620.00","628.58","3,125,030"
01/18/2024,"621.28","623.88","612.70","623.35","3,384,999"
01/17/2024,"639.45","640.52","625.19","628.91","2,124,096"
01/16/2024,"643.91","647.73","633.67","634.57","2,413,610"
01/12/2024,"638.20","644.00","633.01","642.92","2,067,773"
01/11/2024,"634.39","639.76","628.14","635.72","2,690,341"
01/10/2024,"628.49","637.05","625.76","630.19","2,679,074"
01/09/2024,"630.11","634.43","623.72","625.48","2,918,891"
01/08/2024,"622.43","626.06","609.59","626.03","2,453,931"
01/05/2024,"614.00","619.94","610.19","618.55","2,403,955"
01/04/2024,"625.26","636.41","613.27","614.50","6,272,532"
01/03/2024,"600.00","619.84","598.80","617.70","5,130,330"
01/02/2024,"580.41","592.72","579.05","592.20","3,226,661"
12/29/2023,"582.85","586.17","579.47","582.92","2,000,055"
12/28/2023,"581.98","586.69","580.00","580.85","1,973,512"
12/27/2023,"570.50","583.68","570.50","581.51","2,163,409"
12/26/2023,"569.50","572.77","567.64","570.67","1,678,898"
12/22/2023,"573.02","575.90","567.42","570.39","2,226,069"
12/21/2023,"571.41","575.00","567.02","572.00","1,786,473"
12/20/2023,"576.48","579.86","570.03","570.21","2,647,100"
12/19/2023,"580.25","585.11","577.25","579.81","2,192,689"
12/18/2023,"576.47","583.05","575.70","579.76","3,033,944"
12/15/2023,"572.10","573.71","561.65","572.04","5,317,020"
12/14/2023,"594.50","594.50","568.69","573.67","5,275,911"
12/13/2023,"583.26","598.67","582.31","597.50","3,112,544"
12/12/2023,"582.00","585.85","578.17","584.76","2,846,097"
12/11/2023,"598.66","601.19","567.41","584.04","5,614,106"
12/08/2023,"589.00","598.30","584.77","598.05","2,446,790"
12/07/2023,"588.28","588.87","577.61","588.27","2,095,042"
12/06/2023,"590.74","593.90","584.40","589.25","2,093,105"
12/05/2023,"583.28","591.80","579.37","588.15","2,157,343"
12/04/2023,"582.13","587.09","574.33","585.68","2,577,122"
12/01/2023,"591.70","601.97","583.00","584.04","3,638,565"
11/30/2023,"591.46","596.23","586.21","591.04","5,658,350"
11/29/2023,"592.20","594.54","584.44","591.86","1,908,649"
11/28/2023,"592.00","595.38","589.36","591.60","1,793,933"
11/27/2023,"601.17","603.69","591.14","591.53","2,630,713"
11/24/2023,"598.36","603.50","596.98","601.10","1,341,674"
11/22/2023,"595.40","599.18","586.75","595.09","2,052,682"
