Date,Open,High,Low,Close,Volume
02/20/2024,"425.19","428.29","423.77","424.27","1,364,125"
02/16/2024,"423.12","425.16","422.54","424.07","805,983"
02/15/2024,"418.58","423.35","418.58","423.12","1,136,780"
02/14/2024,"427.68","428.50","413.92","418.19","2,503,797"
02/13/2024,"429.34","431.90","423.24","426.52","1,089,533"
02/12/2024,"426.75","430.55","426.00","428.07","1,007,277"
02/09/2024,"427.53","427.67","424.47","426.50","1,038,785"
02/08/2024,"429.36","429.75","425.73","427.00","972,223"
02/07/2024,"426.54","430.29","426.54","430.10","980,872"
02/06/2024,"421.98","429.02","420.36","426.95","1,065,843"
02/05/2024,"424.00","424.37","419.83","421.70","1,379,621"
02/02/2024,"428.14","428.90","424.38","425.97","973,880"
02/01/2024,"430.23","431.77","426.70","429.77","1,175,196"
01/31/2024,"432.35","433.72","429.06","429.41","1,120,062"
01/30/2024,"431.27","431.85","427.78","431.68","1,016,375"
01/29/2024,"431.00","432.03","425.57","428.01","1,903,320"
01/26/2024,"431.97","433.42","426.71","429.91","1,260,544"
01/25/2024,"430.00","433.94","425.75","431.04","1,813,860"
01/24/2024,"439.52","443.20","431.55","431.65","1,768,872"
01/23/2024,"458.59","459.00","433.89","439.67","3,613,453"
01/22/2024,"457.59","460.83","455.44","458.76","1,216,791"
01/19/2024,"460.56","460.85","455.96","457.76","866,575"
01/18/2024,"456.10","459.98","453.54","459.57","780,470"
01/17/2024,"457.67","462.79","455.08","456.47","920,830"
01/16/2024,"466.27","466.27","456.36","457.84","814,920"
01/12/2024,"457.37","463.38","456.53","463.18","966,475"
01/11/2024,"456.56","457.80","449.36","453.13","784,784"
01/10/2024,"456.20","459.66","454.78","455.40","666,085"
01/09/2024,"458.55","458.61","453.27","456.29","733,045"
01/08/2024,"454.41","458.69","453.53","458.60","716,216"
01/05/2024,"460.04","460.11","453.27","456.50","705,324"
01/04/2024,"462.31","463.95","457.77","457.87","1,087,809"
01/03/2024,"458.79","464.10","457.81","459.12","1,174,302"
01/02/2024,"454.30","462.05","454.30","456.12","1,206,678"
12/29/2023,"452.00","453.50","451.15","453.24","832,537"
12/28/2023,"448.97","451.83","448.46","451.23","741,854"
12/27/2023,"448.55","451.02","448.41","448.97","699,955"
12/26/2023,"448.15","451.44","447.82","450.18","516,985"
12/22/2023,"450.00","451.74","448.11","448.22","623,775"
12/21/2023,"444.24","448.10","444.22","448.02","637,239"
12/20/2023,"448.04","448.55","442.57","442.60","1,306,864"
12/19/2023,"447.68","448.59","446.15","447.79","695,031"
12/18/2023,"442.71","447.26","442.27","446.91","1,197,385"
12/15/2023,"441.00","444.55","438.71","441.81","3,973,469"
12/14/2023,"450.51","450.87","441.44","445.27","1,891,203"
12/13/2023,"452.95","454.19","450.50","451.44","1,300,265"
12/12/2023,"451.68","453.75","450.37","451.63","1,008,242"
12/11/2023,"451.88","453.26","449.51","451.26","1,021,581"
12/08/2023,"448.57","450.53","447.46","448.02","761,176"
12/07/2023,"450.42","451.39","446.29","447.11","861,191"
12/06/2023,"445.50","450.44","445.50","449.41","864,227"
12/05/2023,"450.29","450.64","445.90","446.24","1,055,774"
12/04/2023,"447.37","450.96","446.11","450.69","1,265,775"
12/01/2023,"448.40","450.66","448.15","449.41","856,928"
11/30/2023,"443.00","447.86","442.51","447.77","1,514,694"
11/29/2023,"449.54","449.54","443.91","445.01","1,272,912"
11/28/2023,"447.86","450.88","446.00","448.27","1,124,950"
11/27/2023,"451.86","452.83","445.43","445.49","1,497,004"
11/24/2023,"451.69","452.59","449.74","452.01","326,644"
11/22/2023,"447.50","451.70","447.50","450.40","833,765"
