Date,Open,High,Low,Close,Volume
02/16/2024,"48.19","48.64","47.80","48.35","2,624,650"
02/15/2024,"47.80","48.41","47.80","48.40","2,297,904"
02/14/2024,"47.39","47.76","47.22","47.63","1,915,049"
02/13/2024,"48.46","48.61","47.13","47.57","2,988,687"
02/12/2024,"48.04","48.58","47.80","48.46","1,416,193"
02/09/2024,"47.39","48.00","47.33","47.93","1,508,101"
02/08/2024,"47.53","47.60","46.98","47.48","1,473,146"
02/07/2024,"48.00","48.00","47.45","47.78","1,151,983"
02/06/2024,"47.58","48.02","47.38","47.76","1,491,146"
02/05/2024,"48.28","48.38","47.59","47.61","1,531,357"
02/02/2024,"49.31","49.31","48.34","48.80","1,872,667"
02/01/2024,"48.46","49.87","48.10","49.84","2,546,886"
01/31/2024,"49.26","49.33","48.20","48.66","10,189,690"
01/30/2024,"48.62","49.13","48.11","48.88","1,954,079"
01/29/2024,"48.89","49.33","48.64","49.19","1,868,720"
01/26/2024,"48.84","49.20","48.72","48.85","2,404,609"
01/25/2024,"48.80","48.93","48.28","48.75","2,697,004"
01/24/2024,"48.99","49.33","48.01","48.14","2,116,449"
01/23/2024,"48.50","48.81","48.15","48.77","2,156,575"
01/22/2024,"48.83","49.15","48.30","48.46","1,531,331"
01/19/2024,"49.17","49.27","48.68","48.87","1,619,334"
01/18/2024,"49.29","49.30","48.64","49.05","1,785,359"
01/17/2024,"49.90","50.46","49.22","49.54","1,890,459"
01/16/2024,"50.32","50.77","50.07","50.28","2,374,056"
01/12/2024,"50.36","50.62","50.05","50.38","2,205,874"
01/11/2024,"51.37","51.60","49.96","50.09","2,524,195"
01/10/2024,"52.21","52.27","51.76","51.91","1,270,682"
01/09/2024,"52.16","52.33","51.88","52.22","1,404,869"
01/08/2024,"52.00","52.36","51.73","52.33","1,280,086"
01/05/2024,"51.91","52.33","51.61","52.03","1,174,810"
01/04/2024,"51.70","52.29","51.55","51.94","1,591,737"
01/03/2024,"51.95","52.06","51.51","51.76","1,590,754"
01/02/2024,"50.70","51.93","50.70","51.88","2,106,787"
12/29/2023,"51.19","51.36","50.89","51.30","1,346,791"
12/28/2023,"50.73","51.45","50.63","51.32","1,175,620"
12/27/2023,"50.87","51.05","50.65","50.84","1,244,680"
12/26/2023,"50.68","51.28","50.68","50.93","799,902"
12/22/2023,"51.00","51.53","50.73","50.94","1,468,546"
12/21/2023,"50.37","50.78","49.92","50.57","1,383,005"
12/20/2023,"51.23","51.44","50.21","50.25","1,476,209"
12/19/2023,"51.14","51.29","50.61","51.24","2,605,815"
12/18/2023,"50.95","51.27","50.57","50.86","2,112,910"
12/15/2023,"51.83","51.99","50.27","50.62","4,050,191"
12/14/2023,"53.59","53.85","52.12","52.19","2,401,934"
12/13/2023,"51.45","53.40","51.14","53.38","1,583,510"
12/12/2023,"51.68","51.68","51.09","51.39","1,325,968"
12/11/2023,"51.34","51.91","51.06","51.51","1,661,774"
12/08/2023,"51.70","51.85","51.13","51.38","1,831,601"
12/07/2023,"52.09","52.33","51.72","51.82","1,694,808"
12/06/2023,"51.43","52.11","51.34","52.10","1,797,700"
12/05/2023,"51.51","51.51","51.00","51.25","2,166,214"
12/04/2023,"51.17","51.73","50.97","51.40","1,448,214"
12/01/2023,"50.72","51.54","50.28","51.49","2,267,916"
11/30/2023,"50.11","50.66","49.71","50.57","2,341,405"
11/29/2023,"50.25","50.60","49.75","49.94","1,478,792"
11/28/2023,"49.94","50.78","49.76","50.12","1,857,074"
11/27/2023,"49.74","50.09","49.25","49.96","2,042,660"
11/24/2023,"49.62","49.76","49.30","49.75","692,798"
11/22/2023,"49.29","49.58","48.84","49.54","1,601,153"
11/21/2023,"49.11","49.25","48.66","49.09","1,370,622"
