Date,Open,High,Low,Close,Volume
02/20/2024,"222.99","226.43","221.77","225.51","2,580,058"
02/16/2024,"227.27","228.94","225.37","226.85","2,388,390"
02/15/2024,"227.75","228.61","226.39","228.33","1,925,111"
02/14/2024,"226.00","227.17","222.87","226.93","2,002,276"
02/13/2024,"224.93","227.81","223.65","225.43","3,388,592"
02/12/2024,"226.37","230.94","225.88","229.86","3,258,428"
02/09/2024,"220.81","222.31","219.17","222.26","1,359,165"
02/08/2024,"222.00","223.59","219.25","220.39","1,909,727"
02/07/2024,"219.32","222.35","218.88","221.69","3,303,149"
02/06/2024,"217.80","219.92","216.22","218.12","2,147,574"
02/05/2024,"217.33","218.33","214.88","218.01","2,303,718"
02/02/2024,"217.54","220.94","212.51","219.49","3,305,043"
02/01/2024,"213.02","220.56","212.37","220.23","3,265,383"
01/31/2024,"215.11","216.58","212.71","212.84","3,429,347"
01/30/2024,"210.87","216.37","210.10","214.52","2,742,541"
01/29/2024,"211.78","212.70","209.81","211.84","2,194,778"
01/26/2024,"212.32","213.01","210.78","211.98","1,912,592"
01/25/2024,"211.57","212.72","209.55","212.08","2,892,223"
01/24/2024,"215.16","215.30","210.40","210.55","3,514,766"
01/23/2024,"218.76","218.76","213.84","214.47","2,375,886"
01/22/2024,"217.81","220.37","216.27","219.86","2,540,988"
01/19/2024,"218.58","221.56","216.86","220.01","2,851,899"
01/18/2024,"219.00","220.22","215.83","218.23","3,121,889"
01/17/2024,"218.98","221.00","216.48","218.05","2,824,029"
01/16/2024,"219.06","220.60","217.70","220.43","2,594,522"
01/12/2024,"220.26","221.06","218.08","218.91","1,603,978"
01/11/2024,"220.12","220.86","218.14","220.16","1,864,818"
01/10/2024,"217.75","220.56","217.65","220.21","2,311,541"
01/09/2024,"215.39","217.53","215.33","217.01","2,025,015"
01/08/2024,"213.14","217.42","212.64","217.14","2,462,748"
01/05/2024,"210.62","214.33","210.42","212.51","2,577,946"
01/04/2024,"211.90","213.33","211.09","211.22","2,487,196"
01/03/2024,"216.37","216.90","212.13","212.27","3,285,533"
01/02/2024,"220.25","222.60","218.46","218.65","3,277,952"
12/29/2023,"222.94","223.98","220.94","222.55","2,631,431"
12/28/2023,"223.41","223.42","221.97","222.90","1,543,404"
12/27/2023,"222.52","223.36","221.72","222.89","1,449,441"
12/26/2023,"222.90","223.70","222.63","222.82","1,656,417"
12/22/2023,"224.04","225.08","221.99","223.00","2,368,842"
12/21/2023,"223.79","224.44","222.23","223.55","2,640,254"
12/20/2023,"222.48","224.73","221.24","222.01","3,727,327"
12/19/2023,"224.63","226.33","224.51","225.42","3,101,105"
12/18/2023,"226.19","227.00","223.51","224.06","3,132,449"
12/15/2023,"225.32","227.00","223.77","225.59","9,581,221"
12/14/2023,"220.42","225.94","220.04","225.54","7,636,601"
12/13/2023,"208.77","215.56","206.08","215.45","5,170,140"
12/12/2023,"206.81","208.86","205.84","208.70","3,552,247"
12/11/2023,"208.22","209.17","206.31","206.34","3,390,140"
12/08/2023,"208.06","208.46","206.18","207.83","2,210,351"
12/07/2023,"208.97","209.17","207.40","208.30","3,069,321"
12/06/2023,"207.00","209.76","207.00","208.70","2,595,419"
12/05/2023,"205.71","206.86","203.85","205.92","2,552,139"
12/04/2023,"203.75","208.77","203.72","207.55","3,429,689"
12/01/2023,"199.20","204.36","198.52","203.92","2,965,668"
11/30/2023,"200.18","200.22","196.32","198.83","3,812,156"
11/29/2023,"201.07","201.67","199.66","199.92","2,119,035"
11/28/2023,"199.54","201.01","197.98","200.05","2,651,067"
11/27/2023,"198.38","200.94","197.85","199.82","2,345,824"
11/24/2023,"198.00","199.41","196.23","199.07","1,322,235"
11/22/2023,"198.49","199.70","196.71","198.48","3,232,363"
