Date,Open,High,Low,Close,Volume
02/20/2024,"918.92","925.41","891.01","900.44","1,089,031"
02/16/2024,"940.41","955.99","923.43","926.03","1,327,986"
02/15/2024,"917.75","921.54","906.55","913.78","852,863"
02/14/2024,"908.63","928.97","907.68","915.70","1,185,102"
02/13/2024,"875.30","901.12","871.97","892.59","1,259,538"
02/12/2024,"905.50","924.22","904.01","908.00","1,254,208"
02/09/2024,"880.00","913.82","874.86","911.58","1,836,334"
02/08/2024,"852.00","869.59","846.14","864.36","862,703"
02/07/2024,"837.72","857.99","833.22","848.54","857,204"
02/06/2024,"852.90","857.40","823.80","834.62","1,054,788"
02/05/2024,"838.79","857.33","832.49","851.32","865,069"
02/02/2024,"827.29","846.38","827.29","838.70","762,873"
02/01/2024,"831.85","836.07","824.04","832.21","763,277"
01/31/2024,"822.00","837.81","815.67","825.17","997,084"
01/30/2024,"841.09","849.99","831.97","835.79","1,069,575"
01/29/2024,"835.70","846.87","834.00","845.80","990,441"
01/26/2024,"853.00","860.00","836.63","839.04","1,675,121"
01/25/2024,"877.00","900.09","864.70","865.60","3,107,341"
01/24/2024,"850.00","858.64","838.46","848.16","1,927,639"
01/23/2024,"829.61","831.98","821.47","830.39","824,328"
01/22/2024,"829.13","846.61","827.67","833.54","1,365,178"
01/19/2024,"798.68","828.56","794.72","826.32","1,862,815"
01/18/2024,"775.90","788.39","771.78","785.65","1,486,331"
01/17/2024,"752.83","754.30","742.01","752.90","963,070"
01/16/2024,"754.29","768.90","748.02","761.14","684,730"
01/12/2024,"760.73","763.35","754.86","759.67","497,282"
01/11/2024,"749.61","761.37","742.17","760.20","774,248"
01/10/2024,"753.78","754.84","736.51","749.69","837,602"
01/09/2024,"746.33","756.84","744.65","752.02","590,360"
01/08/2024,"736.34","757.70","736.34","757.16","1,089,095"
01/05/2024,"734.57","742.25","728.60","732.40","821,855"
01/04/2024,"725.78","744.91","723.25","731.08","1,033,239"
01/03/2024,"732.00","743.00","729.66","736.93","922,514"
01/02/2024,"768.75","769.38","742.07","749.30","1,113,552"
12/29/2023,"787.51","790.09","778.00","783.26","519,178"
12/28/2023,"797.80","798.72","789.01","789.67","600,753"
12/27/2023,"799.00","801.29","790.30","794.93","762,486"
12/26/2023,"783.04","799.87","783.04","795.71","694,291"
12/22/2023,"776.92","784.10","773.62","779.99","525,139"
12/21/2023,"778.50","779.25","763.50","776.92","934,899"
12/20/2023,"772.05","780.50","754.42","754.93","1,140,884"
12/19/2023,"772.22","781.84","768.73","781.01","890,552"
12/18/2023,"775.60","779.00","757.51","769.92","884,274"
12/15/2023,"769.33","779.68","767.57","773.50","1,781,790"
12/14/2023,"740.36","771.28","738.78","767.21","1,723,437"
12/13/2023,"732.95","740.59","721.49","734.65","888,923"
12/12/2023,"733.00","738.80","727.11","731.24","1,201,900"
12/11/2023,"710.24","737.99","708.40","735.59","1,584,943"
12/08/2023,"699.46","711.17","699.02","703.17","794,390"
12/07/2023,"703.16","710.32","697.21","708.03","900,934"
12/06/2023,"708.99","709.98","693.47","694.87","634,853"
12/05/2023,"696.34","699.95","687.18","697.14","1,220,143"
12/04/2023,"715.60","716.55","702.05","710.06","903,561"
12/01/2023,"712.08","722.59","708.12","722.08","692,014"
11/30/2023,"718.80","718.80","706.37","715.92","1,292,398"
11/29/2023,"720.00","725.47","713.05","713.99","812,504"
11/28/2023,"712.33","717.43","704.49","710.39","905,341"
11/27/2023,"715.00","730.99","710.68","722.45","681,939"
11/24/2023,"716.48","722.13","715.00","717.50","300,597"
11/22/2023,"715.00","728.23","713.40","717.46","782,250"
