Date,Open,High,Low,Close,Volume
02/16/2024,"33.94","34.65","33.68","33.93","7,230,569"
02/15/2024,"33.98","34.72","33.86","34.21","7,801,609"
02/14/2024,"32.84","33.94","32.63","33.75","9,684,237"
02/13/2024,"32.39","32.74","31.92","32.53","6,266,904"
02/12/2024,"32.37","33.24","32.17","32.79","8,819,019"
02/09/2024,"32.28","32.64","31.80","32.49","8,162,083"
02/08/2024,"30.84","32.35","30.65","32.33","10,891,120"
02/07/2024,"30.96","31.36","30.66","30.74","5,441,044"
02/06/2024,"29.78","31.05","29.63","31.03","7,179,633"
02/05/2024,"29.93","30.05","29.52","29.75","4,994,010"
02/02/2024,"30.04","30.49","29.80","30.37","4,983,019"
02/01/2024,"30.09","30.38","29.41","30.18","5,977,271"
01/31/2024,"30.10","30.37","29.44","29.89","5,956,680"
01/30/2024,"29.81","30.48","29.81","30.19","5,357,847"
01/29/2024,"30.17","30.30","29.41","30.21","8,250,827"
01/26/2024,"30.53","31.15","29.69","30.09","9,929,037"
01/25/2024,"32.50","32.80","29.95","30.39","19,606,131"
01/24/2024,"31.32","31.39","30.90","31.11","9,713,024"
01/23/2024,"31.02","31.49","30.81","31.11","10,575,460"
01/22/2024,"30.11","30.50","29.98","30.16","8,595,430"
01/19/2024,"30.14","30.14","29.22","29.99","8,813,800"
01/18/2024,"28.25","30.07","28.17","30.03","14,095,150"
01/17/2024,"28.49","28.92","28.00","28.11","7,425,850"
01/16/2024,"28.40","28.82","27.57","28.72","9,115,948"
01/12/2024,"29.57","29.57","28.22","28.57","9,885,889"
01/11/2024,"29.57","29.88","29.07","29.84","6,221,256"
01/10/2024,"29.30","29.92","29.19","29.71","7,210,358"
01/09/2024,"29.05","29.58","28.88","29.32","5,474,932"
01/08/2024,"29.00","29.48","28.85","29.12","10,686,370"
01/05/2024,"27.85","29.18","27.81","29.15","10,576,520"
01/04/2024,"27.37","28.02","27.26","27.93","6,785,461"
01/03/2024,"27.86","28.01","27.25","27.31","8,192,859"
01/02/2024,"28.60","29.04","28.21","28.48","6,689,620"
12/29/2023,"29.26","29.26","28.84","28.88","5,699,562"
12/28/2023,"29.10","29.42","29.04","29.38","4,285,342"
12/27/2023,"29.18","29.29","28.88","29.21","4,668,520"
12/26/2023,"29.43","29.57","29.12","29.15","5,185,230"
12/22/2023,"29.65","29.86","29.36","29.50","6,409,611"
12/21/2023,"29.54","30.01","29.32","29.60","7,282,868"
12/20/2023,"29.17","29.77","29.01","29.07","7,398,586"
12/19/2023,"29.12","29.72","29.08","29.52","7,858,541"
12/18/2023,"28.88","29.05","28.38","28.97","7,778,209"
12/15/2023,"29.70","29.81","28.89","29.01","14,737,160"
12/14/2023,"29.35","30.24","29.23","29.76","11,860,160"
12/13/2023,"29.58","29.62","28.13","29.15","22,269,779"
12/12/2023,"29.45","30.49","29.31","30.31","12,983,020"
12/11/2023,"29.02","29.36","28.77","29.34","8,349,666"
12/08/2023,"28.95","29.20","28.65","29.07","8,752,783"
12/07/2023,"28.66","29.59","28.63","29.16","15,404,480"
12/06/2023,"27.65","28.43","27.47","27.99","11,001,150"
12/05/2023,"27.15","27.30","26.83","27.17","8,641,064"
12/04/2023,"26.66","27.32","26.42","27.30","12,285,230"
12/01/2023,"25.61","26.69","25.54","26.69","7,864,140"
11/30/2023,"25.47","25.62","25.07","25.57","6,874,341"
11/29/2023,"25.05","25.67","25.00","25.33","9,195,771"
11/28/2023,"24.42","24.86","24.22","24.82","4,760,445"
11/27/2023,"24.76","24.84","24.32","24.44","7,367,267"
11/24/2023,"24.82","24.94","24.66","24.87","2,240,306"
11/22/2023,"25.10","25.35","24.50","24.71","7,519,922"
11/21/2023,"24.95","25.08","24.51","24.63","5,898,563"
