Date,Open,High,Low,Close,Volume
02/20/2024,"55.00","55.05","52.62","53.06","5,232,666"
02/16/2024,"54.90","55.66","54.68","55.25","4,400,524"
02/15/2024,"54.48","55.14","54.34","54.97","3,753,066"
02/14/2024,"54.05","54.79","54.00","54.48","4,446,275"
02/13/2024,"53.62","54.34","53.25","53.86","4,480,663"
02/12/2024,"53.44","54.49","53.44","54.46","4,271,673"
02/09/2024,"53.79","53.86","53.09","53.62","3,364,889"
02/08/2024,"53.50","54.30","53.30","53.61","6,141,068"
02/07/2024,"52.40","53.39","52.27","52.75","6,731,474"
02/06/2024,"51.44","52.37","51.23","52.17","5,017,777"
02/05/2024,"49.99","51.39","49.82","51.11","5,924,178"
02/02/2024,"50.39","50.79","49.85","50.48","3,881,979"
02/01/2024,"49.94","51.22","49.85","50.85","5,728,134"
01/31/2024,"49.36","49.82","48.91","48.92","3,618,239"
01/30/2024,"49.86","49.95","49.36","49.51","4,928,937"
01/29/2024,"49.88","50.64","49.41","50.40","4,098,326"
01/26/2024,"50.22","50.28","49.30","50.03","4,810,592"
01/25/2024,"51.55","51.55","49.13","50.15","9,263,884"
01/24/2024,"50.00","50.60","49.62","49.64","9,465,434"
01/23/2024,"48.51","49.10","48.50","49.02","5,391,971"
01/22/2024,"48.67","48.86","47.65","47.93","7,206,435"
01/19/2024,"49.41","49.43","48.43","48.85","7,639,527"
01/18/2024,"48.61","49.69","48.52","49.52","4,219,192"
01/17/2024,"48.42","48.42","47.54","48.23","5,631,565"
01/16/2024,"49.00","49.30","48.75","49.04","3,708,365"
01/12/2024,"49.84","50.23","49.44","49.61","3,741,437"
01/11/2024,"49.36","49.92","48.50","49.75","4,625,726"
01/10/2024,"49.88","50.12","49.13","49.29","3,414,208"
01/09/2024,"51.08","51.27","49.87","50.01","4,407,185"
01/08/2024,"50.38","51.81","50.21","51.78","3,889,543"
01/05/2024,"50.28","51.12","49.94","50.81","2,946,517"
01/04/2024,"50.52","50.77","49.98","50.25","3,755,296"
01/03/2024,"50.69","51.29","50.27","50.67","5,108,168"
01/02/2024,"48.91","51.44","48.88","51.33","7,502,605"
12/29/2023,"49.00","49.41","48.97","49.21","3,236,690"
12/28/2023,"48.58","49.47","48.58","49.09","4,073,683"
12/27/2023,"49.25","49.25","47.95","48.54","3,241,046"
12/26/2023,"49.00","49.33","48.90","49.04","2,915,817"
12/22/2023,"48.75","48.98","48.30","48.92","3,728,666"
12/21/2023,"48.29","48.80","47.91","48.79","3,396,069"
12/20/2023,"49.11","49.21","47.53","47.55","4,392,277"
12/19/2023,"48.07","49.28","47.87","49.26","7,217,805"
12/18/2023,"47.88","48.28","47.62","47.73","3,858,634"
12/15/2023,"48.68","48.86","47.62","47.87","7,226,732"
12/14/2023,"49.00","49.37","48.30","48.61","7,178,325"
12/13/2023,"47.73","48.85","47.26","48.63","6,340,995"
12/12/2023,"47.75","47.99","47.30","47.83","5,661,374"
12/11/2023,"46.40","47.66","46.39","47.61","6,047,287"
12/08/2023,"44.81","46.50","44.60","46.39","5,994,374"
12/07/2023,"44.92","45.24","44.66","44.85","4,024,300"
12/06/2023,"45.15","45.58","44.78","44.83","5,479,315"
12/05/2023,"45.26","45.46","44.68","44.87","5,158,939"
12/04/2023,"46.80","46.89","45.43","45.63","5,334,660"
12/01/2023,"46.12","46.98","46.12","46.80","10,269,490"
11/30/2023,"45.50","46.49","45.25","46.12","25,960,439"
11/29/2023,"45.97","46.52","45.02","45.34","28,332,510"
11/28/2023,"48.54","48.58","47.60","47.66","5,394,230"
11/27/2023,"48.67","48.77","48.17","48.56","4,237,728"
11/24/2023,"49.23","49.23","48.75","48.92","2,280,321"
11/22/2023,"49.71","49.96","49.14","49.28","2,286,063"
