Date,Open,High,Low,Close,Volume
02/21/2024,"96.85","97.70","96.29","97.38","1,514,342"
02/20/2024,"96.93","97.73","96.04","96.27","1,790,461"
02/16/2024,"97.85","98.58","97.16","97.70","1,869,553"
02/15/2024,"94.78","97.64","94.68","97.47","1,533,685"
02/14/2024,"94.81","95.50","94.28","94.64","1,669,259"
02/13/2024,"95.82","95.82","93.55","94.73","2,276,258"
02/12/2024,"95.59","97.64","95.40","96.50","2,521,574"
02/09/2024,"94.78","95.42","94.37","95.40","1,677,083"
02/08/2024,"94.50","95.15","94.08","94.98","1,747,765"
02/07/2024,"95.00","95.03","93.92","94.47","1,911,568"
02/06/2024,"93.29","95.01","93.10","94.47","2,029,950"
02/05/2024,"91.81","93.85","91.60","93.15","2,506,988"
02/02/2024,"92.60","93.48","91.50","92.86","3,034,810"
02/01/2024,"94.35","94.79","93.41","94.61","2,336,519"
01/31/2024,"95.83","95.83","93.82","94.12","2,451,374"
01/30/2024,"94.63","95.98","94.63","95.65","1,180,820"
01/29/2024,"95.13","95.37","94.36","95.27","1,016,792"
01/26/2024,"96.25","96.36","94.86","95.43","1,313,166"
01/25/2024,"94.47","95.43","93.90","95.39","2,081,053"
01/24/2024,"94.04","94.87","93.40","93.42","1,672,002"
01/23/2024,"94.41","95.88","94.26","94.58","1,288,221"
01/22/2024,"93.12","94.16","92.71","93.76","1,384,332"
01/19/2024,"93.30","93.77","92.31","93.39","1,131,290"
01/18/2024,"92.89","93.48","91.88","93.31","1,338,984"
01/17/2024,"92.75","92.85","92.16","92.70","1,730,908"
01/16/2024,"94.02","94.49","93.10","93.97","1,795,563"
01/12/2024,"95.39","95.82","94.04","94.43","1,161,335"
01/11/2024,"94.34","94.74","93.04","94.71","1,695,609"
01/10/2024,"94.00","94.96","93.62","94.33","1,384,862"
01/09/2024,"95.78","95.90","94.67","95.17","2,016,004"
01/08/2024,"97.15","97.17","96.04","96.66","1,170,910"
01/05/2024,"95.88","96.99","95.78","96.87","1,482,198"
01/04/2024,"96.41","97.72","95.98","96.09","1,450,332"
01/03/2024,"96.95","97.75","95.25","96.55","2,232,683"
01/02/2024,"94.83","97.02","94.60","96.58","1,959,713"
12/29/2023,"95.46","95.70","94.85","95.08","998,505"
12/28/2023,"96.10","96.60","95.66","95.69","795,618"
12/27/2023,"96.55","96.95","96.22","96.47","928,378"
12/26/2023,"96.11","97.05","96.11","96.68","1,154,527"
12/22/2023,"96.87","97.17","95.83","96.06","1,243,162"
12/21/2023,"96.49","96.74","95.80","96.44","985,497"
12/20/2023,"96.70","97.22","95.81","95.85","1,966,843"
12/19/2023,"95.60","96.96","95.51","96.94","1,431,095"
12/18/2023,"95.77","96.45","95.04","95.50","1,677,756"
12/15/2023,"95.32","95.66","94.29","95.02","4,263,669"
12/14/2023,"93.63","95.51","93.59","94.60","2,879,415"
12/13/2023,"91.00","93.16","90.60","93.10","1,725,611"
12/12/2023,"92.50","92.58","91.31","91.63","1,438,301"
12/11/2023,"92.50","93.88","92.34","92.70","1,840,721"
12/08/2023,"92.46","94.17","92.32","92.58","1,391,611"
12/07/2023,"92.86","92.98","91.77","92.18","2,425,636"
12/06/2023,"93.07","93.96","92.15","92.43","1,617,874"
12/05/2023,"93.58","93.99","92.00","92.82","1,768,468"
12/04/2023,"95.21","95.94","93.81","94.09","2,592,491"
12/01/2023,"95.07","96.39","94.67","95.50","1,654,585"
11/30/2023,"94.15","95.42","93.87","95.10","3,214,402"
11/29/2023,"93.99","95.15","93.75","94.00","1,708,547"
11/28/2023,"93.27","94.25","91.54","93.91","2,222,496"
11/27/2023,"93.93","94.06","92.71","93.08","1,865,762"
11/24/2023,"93.95","94.77","93.82","94.13","821,610"
