Date,Open,High,Low,Close,Volume
02/16/2024,"93.90","93.90","92.52","93.25","1,862,197"
02/15/2024,"89.90","94.11","89.40","93.83","3,824,356"
02/14/2024,"88.20","89.45","87.27","89.40","2,441,801"
02/13/2024,"88.47","88.89","87.42","87.75","2,464,013"
02/12/2024,"89.69","90.44","89.22","89.50","1,656,721"
02/09/2024,"88.28","90.50","87.94","89.53","3,167,987"
02/08/2024,"88.62","89.00","87.60","88.00","1,926,500"
02/07/2024,"89.14","89.20","87.58","87.66","2,152,751"
02/06/2024,"87.50","89.86","86.67","88.84","2,616,840"
02/05/2024,"87.59","87.83","86.68","87.41","1,633,808"
02/02/2024,"88.88","89.32","87.75","88.20","2,025,786"
02/01/2024,"89.08","89.78","87.29","89.39","2,653,194"
01/31/2024,"88.77","90.06","88.32","88.85","2,628,738"
01/30/2024,"89.43","90.05","88.53","88.83","1,720,045"
01/29/2024,"89.02","89.32","88.27","89.11","2,233,660"
01/26/2024,"89.85","89.86","88.89","89.29","2,192,096"
01/25/2024,"89.72","90.05","89.33","89.78","1,166,681"
01/24/2024,"90.63","91.21","88.84","89.35","1,625,592"
01/23/2024,"89.79","90.86","89.41","90.02","2,970,365"
01/22/2024,"91.56","91.73","88.94","89.03","2,895,887"
01/19/2024,"91.15","91.20","89.66","91.18","1,528,179"
01/18/2024,"90.84","90.89","88.89","90.65","1,726,308"
01/17/2024,"89.58","90.51","88.87","90.31","2,902,843"
01/16/2024,"89.94","90.61","89.34","90.60","1,334,693"
01/12/2024,"92.00","92.16","90.04","90.66","1,016,660"
01/11/2024,"89.26","91.34","88.99","91.28","1,592,087"
01/10/2024,"91.36","91.52","88.90","89.50","2,237,647"
01/09/2024,"89.19","91.50","89.00","91.45","1,768,153"
01/08/2024,"90.15","90.91","88.60","90.22","1,368,303"
01/05/2024,"88.58","89.75","88.07","89.21","2,988,201"
01/04/2024,"89.35","90.52","88.98","89.04","1,401,051"
01/03/2024,"91.08","91.14","89.33","89.36","1,406,588"
01/02/2024,"92.83","94.20","91.57","91.81","1,352,864"
12/29/2023,"94.16","94.80","93.57","93.60","1,612,663"
12/28/2023,"93.05","94.81","92.84","94.05","1,683,613"
12/27/2023,"92.28","93.20","92.15","92.98","2,050,958"
12/26/2023,"91.50","92.53","91.26","92.35","1,105,614"
12/22/2023,"91.27","92.54","91.16","91.43","1,862,997"
12/21/2023,"91.45","91.92","90.22","91.40","1,892,516"
12/20/2023,"93.85","94.90","90.50","90.64","1,704,479"
12/19/2023,"93.61","95.07","92.88","94.91","1,687,088"
12/18/2023,"92.73","93.41","91.70","93.27","1,508,813"
12/15/2023,"92.85","93.66","91.86","93.00","6,786,203"
12/14/2023,"91.04","93.71","90.29","93.07","5,034,212"
12/13/2023,"89.68","90.00","87.46","88.06","2,031,119"
12/12/2023,"87.44","90.15","86.72","90.06","3,079,966"
12/11/2023,"85.61","87.13","85.09","87.09","1,589,234"
12/08/2023,"84.39","85.45","82.33","85.19","2,788,645"
12/07/2023,"82.59","84.44","82.25","84.28","1,911,334"
12/06/2023,"81.90","83.23","81.81","82.54","1,874,674"
12/05/2023,"83.58","83.75","81.38","81.41","1,655,626"
12/04/2023,"84.11","85.54","83.85","84.13","1,535,862"
12/01/2023,"84.19","84.91","83.79","84.25","1,741,808"
11/30/2023,"83.82","84.36","83.18","84.22","2,039,808"
11/29/2023,"84.63","85.00","83.50","83.60","2,091,911"
11/28/2023,"85.82","86.56","84.52","84.54","1,623,509"
11/27/2023,"86.82","87.49","85.90","85.96","1,715,046"
11/24/2023,"87.91","88.06","87.39","87.63","336,832"
11/22/2023,"87.40","88.34","87.13","87.79","1,184,489"
11/21/2023,"89.35","89.35","86.99","87.04","2,268,170"
