Date,Open,High,Low,Close,Volume
02/20/2024,"452.80","455.85","450.12","451.75","5,044,210"
02/16/2024,"474.17","474.17","467.07","468.13","2,237,275"
02/15/2024,"465.83","472.11","465.23","471.28","2,354,215"
02/14/2024,"462.00","465.45","459.44","465.19","2,202,784"
02/13/2024,"456.76","461.88","456.04","460.46","2,407,755"
02/12/2024,"459.18","459.40","456.08","458.71","1,794,533"
02/09/2024,"458.06","458.99","456.37","457.88","2,155,449"
02/08/2024,"460.00","460.75","457.45","458.26","2,081,511"
02/07/2024,"461.21","462.24","459.62","461.91","2,544,469"
02/06/2024,"455.36","460.56","455.36","460.50","2,201,912"
02/05/2024,"459.51","461.37","455.53","456.76","2,438,961"
02/02/2024,"462.21","463.84","458.50","460.58","2,050,335"
02/01/2024,"455.00","461.14","454.05","460.92","3,292,697"
01/31/2024,"450.00","462.00","446.62","449.23","4,740,634"
01/30/2024,"440.90","446.22","440.05","445.19","2,663,616"
01/29/2024,"435.78","440.96","434.67","440.58","2,314,246"
01/26/2024,"432.55","439.89","430.67","438.53","2,725,548"
01/25/2024,"436.00","438.63","434.46","436.80","2,977,825"
01/24/2024,"438.53","440.93","435.76","438.70","2,725,669"
01/23/2024,"440.27","440.60","437.86","438.76","2,328,662"
01/22/2024,"438.98","440.94","437.26","439.75","2,715,618"
01/19/2024,"432.55","437.07","429.34","436.78","2,400,409"
01/18/2024,"428.64","431.22","427.45","430.72","2,075,759"
01/17/2024,"425.48","430.38","425.48","427.42","2,690,522"
01/16/2024,"427.44","429.73","426.52","428.35","2,397,988"
01/12/2024,"429.95","431.11","427.70","429.10","1,892,426"
01/11/2024,"430.00","431.79","425.77","426.72","2,320,769"
01/10/2024,"426.00","429.47","424.15","428.27","2,709,369"
01/09/2024,"419.10","423.70","418.54","422.60","2,439,387"
01/08/2024,"419.44","422.08","416.53","421.98","2,125,446"
01/05/2024,"420.49","422.76","416.99","419.42","2,416,004"
01/04/2024,"418.50","423.45","418.28","419.77","2,042,551"
01/03/2024,"421.20","421.34","417.50","418.77","3,093,684"
01/02/2024,"424.09","424.28","419.56","421.89","2,463,746"
12/29/2023,"426.68","428.35","424.27","426.51","1,706,284"
12/28/2023,"423.77","428.36","423.68","426.32","1,505,039"
12/27/2023,"423.00","425.01","422.96","424.36","1,324,203"
12/26/2023,"425.00","425.72","422.95","423.67","1,258,302"
12/22/2023,"424.75","427.17","422.96","424.10","1,759,004"
12/21/2023,"421.79","423.90","420.61","423.44","2,213,253"
12/20/2023,"425.08","427.61","419.24","419.45","3,058,344"
12/19/2023,"424.05","426.68","422.52","425.47","2,256,348"
12/18/2023,"419.53","425.09","419.53","424.43","2,686,978"
12/15/2023,"412.62","419.26","411.60","418.57","5,566,617"
12/14/2023,"425.01","425.85","415.90","418.56","3,989,825"
12/13/2023,"421.86","426.37","419.15","424.68","3,694,400"
12/12/2023,"417.00","421.00","414.70","420.75","2,736,706"
12/11/2023,"412.46","416.17","412.38","415.71","2,235,989"
12/08/2023,"412.22","413.67","409.23","412.16","1,959,438"
12/07/2023,"412.07","413.57","409.99","413.15","2,363,020"
12/06/2023,"411.43","413.82","407.16","410.38","2,224,303"
12/05/2023,"407.09","409.05","404.32","408.69","2,755,635"
12/04/2023,"413.83","414.85","408.03","408.23","3,097,946"
12/01/2023,"412.89","416.60","411.57","414.36","2,171,558"
11/30/2023,"410.10","414.16","408.78","413.83","3,203,556"
11/29/2023,"411.01","412.08","409.42","409.82","2,151,396"
11/28/2023,"409.08","410.64","407.46","409.01","2,645,103"
11/27/2023,"411.00","412.72","408.25","408.97","2,665,981"
11/24/2023,"412.49","412.97","410.53","412.50","1,053,479"
11/22/2023,"412.26","412.85","410.15","410.33","1,968,107"
