Date,Open,High,Low,Close,Volume
02/16/2024,"129.51","130.12","127.96","129.17","1,027,593"
02/15/2024,"126.32","129.58","126.32","129.51","775,744"
02/14/2024,"123.73","125.73","123.44","125.09","820,155"
02/13/2024,"122.89","123.50","121.51","123.35","1,032,635"
02/12/2024,"124.77","126.46","124.41","125.47","729,425"
02/09/2024,"124.01","124.95","123.37","124.52","1,076,238"
02/08/2024,"125.14","126.01","122.03","124.48","1,436,953"
02/07/2024,"125.59","125.93","123.77","125.18","1,030,666"
02/06/2024,"124.53","126.05","124.26","125.58","994,697"
02/05/2024,"126.43","126.80","124.84","124.84","944,172"
02/02/2024,"126.97","129.02","125.97","128.00","1,198,454"
02/01/2024,"126.11","128.15","124.95","127.92","1,793,717"
01/31/2024,"130.60","131.02","126.13","126.38","2,167,447"
01/30/2024,"130.35","131.21","129.38","129.97","713,459"
01/29/2024,"130.96","131.73","130.14","130.90","810,262"
01/26/2024,"132.38","132.38","129.80","130.84","1,129,241"
01/25/2024,"134.71","135.61","131.41","131.98","1,475,427"
01/24/2024,"136.19","137.30","133.92","134.06","1,430,982"
01/23/2024,"136.41","136.92","134.54","135.61","1,599,100"
01/22/2024,"135.67","137.34","135.67","135.91","1,183,668"
01/19/2024,"131.88","136.00","131.74","135.24","1,528,682"
01/18/2024,"132.68","133.73","131.42","131.46","1,225,119"
01/17/2024,"133.93","135.83","131.28","133.00","1,446,048"
01/16/2024,"134.45","136.29","133.86","135.47","1,653,228"
01/12/2024,"135.36","136.24","133.80","134.03","683,738"
01/11/2024,"130.21","134.14","129.31","133.94","1,432,967"
01/10/2024,"132.92","133.25","131.93","132.58","811,200"
01/09/2024,"132.32","133.31","131.32","132.39","720,252"
01/08/2024,"131.33","133.96","131.00","133.49","773,418"
01/05/2024,"131.21","132.93","130.41","131.78","779,723"
01/04/2024,"131.66","133.92","131.37","132.16","784,256"
01/03/2024,"134.80","134.85","132.04","132.20","724,929"
01/02/2024,"133.53","136.19","133.43","135.84","647,384"
12/29/2023,"135.89","136.30","134.41","134.46","614,234"
12/28/2023,"134.00","136.65","133.96","136.55","575,079"
12/27/2023,"134.00","134.97","133.43","134.31","632,711"
12/26/2023,"133.32","134.51","133.14","134.06","335,381"
12/22/2023,"133.00","134.39","132.76","133.12","817,325"
12/21/2023,"133.15","133.88","130.95","132.03","1,513,889"
12/20/2023,"134.50","135.10","131.86","132.13","1,207,867"
12/19/2023,"135.68","136.42","134.18","134.77","819,018"
12/18/2023,"135.22","135.67","134.21","135.43","802,121"
12/15/2023,"137.57","137.59","133.57","134.52","1,552,909"
12/14/2023,"136.05","139.89","136.05","138.45","1,241,781"
12/13/2023,"128.47","134.78","128.08","133.61","1,511,913"
12/12/2023,"125.95","128.00","125.11","127.63","1,433,327"
12/11/2023,"126.46","127.10","125.59","126.43","1,013,134"
12/08/2023,"126.69","128.01","126.53","127.13","633,612"
12/07/2023,"127.23","127.76","126.32","127.18","637,310"
12/06/2023,"126.72","128.82","126.72","127.13","1,073,746"
12/05/2023,"126.19","126.60","124.56","126.45","738,061"
12/04/2023,"125.80","127.01","125.29","126.83","888,539"
12/01/2023,"124.69","128.04","124.17","126.79","1,013,782"
11/30/2023,"123.78","124.71","123.02","124.48","1,137,291"
11/29/2023,"125.08","126.46","123.76","123.86","630,794"
11/28/2023,"121.92","124.58","121.52","123.99","1,212,447"
11/27/2023,"122.39","123.02","121.77","122.22","640,013"
11/24/2023,"122.13","122.81","121.38","122.67","247,141"
11/22/2023,"123.17","123.20","121.53","122.29","1,062,830"
11/21/2023,"122.17","122.93","120.99","121.56","727,671"
