Date,Open,High,Low,Close,Volume
02/16/2024,"239.03","243.21","238.30","241.63","2,119,841"
02/15/2024,"237.53","240.86","236.89","240.49","1,521,703"
02/14/2024,"235.81","236.41","232.20","235.39","2,349,732"
02/13/2024,"241.90","241.90","232.01","234.94","3,110,216"
02/12/2024,"246.28","249.14","246.00","248.84","1,429,926"
02/09/2024,"250.64","250.75","245.45","247.02","1,479,755"
02/08/2024,"249.69","250.44","245.81","249.58","1,030,919"
02/07/2024,"246.10","250.00","245.08","247.94","1,046,799"
02/06/2024,"244.23","245.75","242.83","244.76","1,471,497"
02/05/2024,"244.16","245.29","241.84","244.23","1,338,286"
02/02/2024,"243.22","246.75","241.61","245.12","1,222,339"
02/01/2024,"240.41","243.79","238.72","243.67","1,191,016"
01/31/2024,"243.42","243.91","239.27","239.73","1,181,240"
01/30/2024,"240.19","244.01","240.19","243.19","1,059,861"
01/29/2024,"241.58","242.52","239.78","242.13","1,302,970"
01/26/2024,"242.52","243.22","241.04","241.60","1,118,996"
01/25/2024,"241.70","243.53","241.36","242.52","1,594,268"
01/24/2024,"238.46","239.33","237.32","237.87","1,239,403"
01/23/2024,"236.97","237.91","235.74","237.10","1,268,751"
01/22/2024,"234.25","238.30","234.08","237.38","1,552,297"
01/19/2024,"232.67","234.10","231.56","233.67","1,885,255"
01/18/2024,"227.70","233.06","227.69","232.68","2,209,810"
01/17/2024,"225.24","227.90","225.02","227.70","1,248,730"
01/16/2024,"224.02","226.38","223.07","226.34","1,108,052"
01/12/2024,"227.79","227.83","223.94","225.50","758,958"
01/11/2024,"227.36","228.94","225.39","226.98","1,176,052"
01/10/2024,"225.89","227.98","225.89","226.77","1,225,339"
01/09/2024,"225.60","227.48","225.43","226.48","1,358,349"
01/08/2024,"222.50","228.29","222.42","228.23","1,690,687"
01/05/2024,"219.21","223.40","219.00","222.42","1,005,249"
01/04/2024,"219.61","222.41","218.88","220.02","1,238,784"
01/03/2024,"220.35","220.97","218.01","219.04","1,299,881"
01/02/2024,"225.50","227.18","220.59","221.84","1,524,791"
12/29/2023,"224.71","226.63","224.38","225.51","2,008,659"
12/28/2023,"223.87","224.75","223.23","224.08","970,966"
12/27/2023,"223.94","224.51","222.88","224.44","1,329,742"
12/26/2023,"222.23","223.75","221.63","223.45","1,118,569"
12/22/2023,"222.27","223.12","220.89","222.62","994,960"
12/21/2023,"218.54","222.24","218.54","221.84","1,214,561"
12/20/2023,"220.53","220.69","216.34","216.72","1,874,575"
12/19/2023,"223.49","224.22","220.83","221.39","1,525,298"
12/18/2023,"221.48","222.64","219.41","222.12","1,440,185"
12/15/2023,"220.46","222.15","219.13","221.14","3,845,043"
12/14/2023,"219.25","221.75","218.34","220.09","1,729,192"
12/13/2023,"217.00","218.91","214.35","218.07","1,556,600"
12/12/2023,"216.50","217.74","215.60","216.87","1,546,341"
12/11/2023,"212.04","217.33","211.48","216.48","2,065,618"
12/08/2023,"207.68","209.82","207.18","209.40","1,276,280"
12/07/2023,"206.34","208.14","205.32","208.03","1,248,676"
12/06/2023,"204.91","207.73","204.30","204.78","1,196,505"
12/05/2023,"207.22","208.43","202.24","202.71","1,539,500"
12/04/2023,"208.90","213.13","208.08","209.61","1,462,675"
12/01/2023,"202.75","209.51","202.75","209.28","1,474,990"
11/30/2023,"202.49","203.34","200.94","202.70","1,385,737"
11/29/2023,"204.72","205.91","202.29","202.48","1,296,077"
11/28/2023,"207.25","207.51","204.55","204.66","1,345,388"
11/27/2023,"208.17","209.29","206.78","207.51","1,544,543"
11/24/2023,"209.69","210.43","208.65","208.93","710,232"
11/22/2023,"208.98","210.74","208.25","209.95","1,241,233"
11/21/2023,"206.10","207.74","206.10","207.19","1,109,896"
