Date,Open,High,Low,Close,Volume
02/16/2024,"72.70","73.79","72.26","73.16","1,830,713"
02/15/2024,"74.12","74.12","73.30","73.48","1,549,761"
02/14/2024,"73.30","73.58","72.48","73.47","1,963,594"
02/13/2024,"71.18","73.43","70.90","72.47","3,184,918"
02/12/2024,"72.82","73.29","71.91","73.25","3,095,528"
02/09/2024,"73.74","74.20","72.17","72.61","3,772,939"
02/08/2024,"74.24","76.43","73.05","73.32","6,106,720"
02/07/2024,"69.51","70.82","69.42","70.44","3,561,192"
02/06/2024,"67.95","68.80","67.85","68.78","1,458,622"
02/05/2024,"67.76","68.48","67.39","67.99","1,750,343"
02/02/2024,"67.94","69.05","67.47","68.67","1,324,053"
02/01/2024,"67.86","69.15","67.14","69.12","1,411,053"
01/31/2024,"68.32","68.67","67.04","67.29","2,066,715"
01/30/2024,"68.02","69.09","68.02","68.51","1,243,855"
01/29/2024,"67.17","68.39","67.17","68.39","1,430,759"
01/26/2024,"67.20","67.55","66.80","67.25","1,050,423"
01/25/2024,"66.33","67.20","65.95","67.18","1,614,748"
01/24/2024,"67.44","67.48","65.40","65.47","1,948,245"
01/23/2024,"68.60","68.91","66.62","67.03","1,830,708"
01/22/2024,"68.66","69.45","68.66","69.04","932,738"
01/19/2024,"68.45","68.45","67.45","68.06","1,935,171"
01/18/2024,"67.66","68.26","67.15","68.20","1,128,015"
01/17/2024,"66.91","67.52","66.62","67.30","1,395,812"
01/16/2024,"66.59","67.49","66.17","67.46","1,524,561"
01/12/2024,"68.60","68.60","66.74","67.28","1,227,367"
01/11/2024,"67.97","68.31","67.13","68.12","1,176,120"
01/10/2024,"67.33","68.24","67.24","68.18","1,477,675"
01/09/2024,"66.13","67.32","65.93","67.22","1,359,155"
01/08/2024,"65.33","66.88","65.20","66.81","2,031,568"
01/05/2024,"64.02","65.37","63.86","65.03","1,529,497"
01/04/2024,"63.60","64.90","63.60","64.23","2,584,101"
01/03/2024,"65.57","65.81","64.19","64.27","3,261,782"
01/02/2024,"66.33","67.25","65.64","66.57","1,879,156"
12/29/2023,"66.92","67.41","66.78","66.98","1,078,957"
12/28/2023,"67.35","67.44","66.79","67.17","995,111"
12/27/2023,"67.35","67.60","67.10","67.28","883,505"
12/26/2023,"67.21","67.39","66.95","67.27","1,055,879"
12/22/2023,"67.69","67.69","67.08","67.22","1,146,995"
12/21/2023,"67.74","68.06","66.53","67.38","1,683,508"
12/20/2023,"68.05","68.61","67.00","67.04","1,675,459"
12/19/2023,"68.45","68.51","67.84","68.10","1,558,178"
12/18/2023,"69.04","69.04","67.59","67.95","1,770,469"
12/15/2023,"68.92","69.66","68.24","68.64","4,637,450"
12/14/2023,"67.34","69.58","67.25","69.32","3,012,222"
12/13/2023,"64.34","66.67","64.06","66.31","2,018,728"
12/12/2023,"64.35","64.67","64.13","64.34","1,171,007"
12/11/2023,"64.12","64.36","63.82","63.98","1,232,917"
12/08/2023,"63.53","64.18","63.45","64.00","1,094,274"
12/07/2023,"63.42","63.55","62.95","63.39","1,185,785"
12/06/2023,"62.78","63.75","62.78","63.43","1,294,219"
12/05/2023,"62.24","62.59","61.91","62.28","1,228,169"
12/04/2023,"61.99","62.84","61.82","62.44","1,687,733"
12/01/2023,"60.54","62.21","60.45","62.16","1,402,916"
11/30/2023,"60.38","60.91","59.72","60.55","2,847,812"
11/29/2023,"60.28","60.88","60.09","60.37","1,176,076"
11/28/2023,"59.54","59.88","58.91","59.49","1,284,923"
11/27/2023,"59.08","60.06","59.00","59.78","1,898,573"
11/24/2023,"59.01","59.44","59.01","59.19","377,629"
11/22/2023,"59.56","59.79","58.89","59.28","1,047,571"
11/21/2023,"59.67","59.88","58.90","59.04","2,019,584"
