Date,Open,High,Low,Close,Volume
02/20/2024,"292.00","295.50","291.84","292.65","2,263,994"
02/16/2024,"290.79","293.70","289.26","292.02","2,837,573"
02/15/2024,"287.90","292.10","287.28","291.86","2,401,617"
02/14/2024,"287.32","288.32","286.59","288.17","2,139,326"
02/13/2024,"288.63","289.90","285.67","287.11","2,756,190"
02/12/2024,"289.00","291.19","288.76","289.44","2,392,314"
02/09/2024,"292.15","292.51","288.92","289.47","3,323,000"
02/08/2024,"286.20","293.15","284.20","291.93","4,605,245"
02/07/2024,"285.05","290.53","284.11","287.33","3,954,659"
02/06/2024,"282.97","284.68","281.54","284.65","5,928,192"
02/05/2024,"287.01","291.44","283.33","285.97","7,581,895"
02/02/2024,"296.07","298.17","293.35","297.05","3,971,607"
02/01/2024,"291.70","298.13","290.28","298.08","3,380,568"
01/31/2024,"295.90","297.44","291.66","292.72","3,476,264"
01/30/2024,"292.14","294.92","290.20","294.65","2,524,205"
01/29/2024,"291.64","292.76","288.31","292.31","3,899,706"
01/26/2024,"295.33","295.98","291.70","292.26","4,210,521"
01/25/2024,"300.74","301.31","296.09","297.21","3,219,625"
01/24/2024,"300.00","302.04","299.31","300.44","3,209,675"
01/23/2024,"297.44","300.21","297.13","300.05","1,873,976"
01/22/2024,"300.95","302.39","297.74","298.41","3,250,224"
01/19/2024,"298.00","301.08","296.53","300.53","4,250,885"
01/18/2024,"292.09","294.48","291.31","294.36","2,221,156"
01/17/2024,"290.14","292.34","290.13","291.16","2,008,289"
01/16/2024,"293.47","294.25","289.98","291.09","2,859,014"
01/12/2024,"295.46","295.75","292.84","293.47","1,714,818"
01/11/2024,"294.45","294.95","290.65","294.15","2,047,352"
01/10/2024,"291.00","294.39","290.87","294.09","2,199,689"
01/09/2024,"289.63","290.87","287.52","290.87","2,176,451"
01/08/2024,"288.51","292.00","287.52","291.90","3,097,218"
01/05/2024,"289.21","290.33","287.20","288.99","3,407,310"
01/04/2024,"295.32","297.27","290.92","291.74","4,615,370"
01/03/2024,"297.00","297.99","294.25","294.39","3,114,788"
01/02/2024,"295.05","297.28","295.05","297.04","4,458,519"
12/29/2023,"295.83","296.85","295.31","296.51","2,227,806"
12/28/2023,"294.47","296.47","294.00","295.84","1,907,271"
12/27/2023,"292.50","294.63","292.47","294.55","1,892,081"
12/26/2023,"291.22","293.05","290.89","292.86","1,381,655"
12/22/2023,"290.70","292.47","290.50","291.70","1,700,320"
12/21/2023,"290.57","291.53","289.29","291.39","2,313,127"
12/20/2023,"290.73","291.67","288.72","288.99","2,398,593"
12/19/2023,"290.67","291.72","289.59","290.73","2,054,430"
12/18/2023,"288.65","290.59","287.56","290.23","2,490,110"
12/15/2023,"290.41","291.75","285.72","287.27","6,328,510"
12/14/2023,"294.60","295.27","288.01","290.02","4,626,777"
12/13/2023,"291.69","295.97","291.55","295.93","3,312,275"
12/12/2023,"289.12","291.70","288.51","291.42","2,252,223"
12/11/2023,"285.56","289.31","285.56","289.15","3,353,037"
12/08/2023,"287.33","287.90","285.05","285.53","3,623,843"
12/07/2023,"287.49","288.15","285.64","286.79","3,131,914"
12/06/2023,"286.73","287.37","283.40","286.86","2,765,101"
12/05/2023,"286.55","288.76","285.21","286.54","3,005,333"
12/04/2023,"284.99","287.40","284.99","286.13","3,522,889"
12/01/2023,"283.25","286.86","283.00","285.96","4,967,526"
11/30/2023,"280.42","282.28","278.06","281.84","5,030,565"
11/29/2023,"282.21","282.47","279.50","280.38","2,433,432"
11/28/2023,"281.50","283.54","281.35","282.09","2,199,591"
11/27/2023,"282.66","283.90","281.09","281.84","3,703,855"
11/24/2023,"282.00","282.59","281.03","282.54","1,217,950"
11/22/2023,"281.25","282.41","281.20","281.93","2,285,961"
