Date,Open,High,Low,Close,Volume
02/16/2024,"82.41","83.10","81.08","81.61","4,055,788"
02/15/2024,"81.08","82.91","80.81","82.51","8,322,551"
02/14/2024,"81.14","81.63","79.94","80.58","8,419,547"
02/13/2024,"81.71","82.06","79.95","80.67","7,910,683"
02/12/2024,"85.50","86.04","83.89","83.95","5,507,282"
02/09/2024,"85.06","86.01","84.67","85.44","4,905,768"
02/08/2024,"83.40","85.29","82.96","84.35","6,136,933"
02/07/2024,"84.10","84.11","82.42","83.31","5,766,028"
02/06/2024,"85.59","85.66","83.01","83.25","6,298,412"
02/05/2024,"85.07","86.43","83.39","85.46","7,174,697"
02/02/2024,"82.84","85.29","82.40","84.29","9,615,472"
02/01/2024,"85.45","86.15","84.06","85.65","5,489,583"
01/31/2024,"84.70","86.89","84.45","85.18","6,713,822"
01/30/2024,"86.40","87.06","85.52","85.96","4,283,486"
01/29/2024,"86.92","87.25","85.46","87.23","6,610,430"
01/26/2024,"88.56","89.13","86.67","86.92","4,710,964"
01/25/2024,"92.09","92.20","89.40","89.65","6,521,505"
01/24/2024,"92.71","92.71","90.13","90.56","6,640,387"
01/23/2024,"91.25","92.17","90.34","91.99","5,147,343"
01/22/2024,"90.00","91.20","89.60","90.74","4,978,034"
01/19/2024,"87.48","89.94","86.64","89.44","6,381,327"
01/18/2024,"85.86","86.56","85.14","86.16","6,735,641"
01/17/2024,"84.00","84.00","81.72","83.34","6,446,526"
01/16/2024,"85.31","85.99","84.36","85.16","4,335,047"
01/12/2024,"86.09","86.35","84.80","85.41","3,025,942"
01/11/2024,"85.08","85.92","83.92","85.70","4,206,140"
01/10/2024,"85.35","85.90","84.17","85.44","5,123,987"
01/09/2024,"84.31","86.60","84.06","85.34","6,725,745"
01/08/2024,"84.38","85.81","84.38","85.64","4,621,168"
01/05/2024,"83.44","84.79","83.29","83.99","3,968,622"
01/04/2024,"82.07","84.23","81.81","83.40","7,079,169"
01/03/2024,"85.35","85.54","83.93","84.57","5,271,032"
01/02/2024,"89.14","89.52","85.83","86.56","6,584,927"
12/29/2023,"90.75","91.33","89.72","90.18","2,488,477"
12/28/2023,"91.48","91.77","90.77","90.84","2,375,286"
12/27/2023,"91.58","91.79","90.63","91.12","3,411,303"
12/26/2023,"90.53","91.78","90.52","91.31","2,417,797"
12/22/2023,"90.58","91.41","89.66","90.19","2,388,659"
12/21/2023,"89.95","90.36","88.89","89.88","5,001,863"
12/20/2023,"90.53","91.16","88.47","88.55","5,762,601"
12/19/2023,"91.64","92.06","91.09","91.39","3,941,482"
12/18/2023,"92.60","92.63","90.80","91.31","4,291,814"
12/15/2023,"93.42","94.14","92.06","92.20","10,915,510"
12/14/2023,"90.90","93.18","90.66","92.96","7,914,537"
12/13/2023,"89.36","90.86","87.97","89.86","4,861,011"
12/12/2023,"88.45","89.68","88.01","89.23","3,941,581"
12/11/2023,"87.18","89.47","86.92","88.91","5,765,967"
12/08/2023,"85.46","86.75","85.40","86.08","3,838,699"
12/07/2023,"84.30","86.33","83.77","85.81","5,818,626"
12/06/2023,"84.76","85.18","83.33","83.62","4,104,835"
12/05/2023,"83.89","83.95","82.89","83.55","3,218,760"
12/04/2023,"84.12","84.55","82.99","84.49","4,680,806"
12/01/2023,"83.11","84.80","82.84","84.66","3,883,615"
11/30/2023,"83.48","83.84","82.47","83.44","7,440,460"
11/29/2023,"83.30","84.69","82.81","82.98","3,629,644"
11/28/2023,"81.67","82.30","81.14","81.82","3,290,019"
11/27/2023,"82.39","82.62","81.51","81.76","3,493,736"
11/24/2023,"82.47","83.31","82.16","83.26","1,608,607"
11/22/2023,"83.44","84.18","82.35","82.46","3,110,338"
11/21/2023,"83.86","84.00","82.08","82.51","3,899,669"
