Date,Open,High,Low,Close,Volume
02/16/2024,"507.93","512.48","506.41","511.06","738,962"
02/15/2024,"501.27","508.80","500.82","505.68","720,067"
02/14/2024,"504.77","506.03","494.82","501.20","698,233"
02/13/2024,"496.00","507.03","496.00","504.77","838,738"
02/12/2024,"500.00","500.46","493.97","494.48","579,645"
02/09/2024,"497.26","504.31","494.50","501.35","1,083,410"
02/08/2024,"505.01","510.73","488.29","494.23","2,289,151"
02/07/2024,"510.00","519.75","509.01","516.98","1,465,130"
02/06/2024,"511.08","515.58","504.39","506.87","952,397"
02/05/2024,"507.86","510.94","502.26","507.94","633,283"
02/02/2024,"503.78","508.09","502.03","504.45","691,495"
02/01/2024,"497.62","503.81","487.34","501.85","733,677"
01/31/2024,"494.74","507.21","494.74","499.89","1,073,235"
01/30/2024,"488.26","490.23","484.10","490.02","590,399"
01/29/2024,"485.40","488.33","484.42","486.46","496,928"
01/26/2024,"487.10","487.96","484.03","485.27","370,758"
01/25/2024,"484.16","486.43","478.65","486.33","742,610"
01/24/2024,"485.69","488.01","484.25","485.00","496,532"
01/23/2024,"484.69","486.78","483.13","485.37","582,784"
01/22/2024,"484.52","490.13","483.32","487.32","776,981"
01/19/2024,"493.24","494.30","484.27","484.60","876,770"
01/18/2024,"483.83","494.76","480.14","493.00","789,801"
01/17/2024,"489.49","494.76","485.35","485.82","618,676"
01/16/2024,"486.51","489.77","485.01","488.50","510,731"
01/12/2024,"487.68","489.73","484.79","485.32","438,769"
01/11/2024,"485.00","489.07","483.99","488.84","590,742"
01/10/2024,"482.52","485.91","479.37","483.69","609,408"
01/09/2024,"475.39","483.12","471.18","481.06","904,951"
01/08/2024,"480.64","482.63","470.11","476.63","666,937"
01/05/2024,"476.88","479.46","472.49","478.19","579,209"
01/04/2024,"476.39","481.76","474.25","474.55","881,457"
01/03/2024,"476.24","485.22","476.24","480.34","1,288,064"
01/02/2024,"462.70","473.42","462.70","473.42","739,625"
12/29/2023,"459.84","464.35","457.99","462.98","481,347"
12/28/2023,"458.30","461.71","457.24","457.50","414,095"
12/27/2023,"455.50","458.00","454.18","457.49","419,140"
12/26/2023,"453.19","456.52","451.54","455.76","470,246"
12/22/2023,"454.27","456.95","450.33","454.20","519,768"
12/21/2023,"447.25","453.08","445.06","452.71","558,977"
12/20/2023,"450.00","450.16","445.52","445.96","722,483"
12/19/2023,"448.25","449.72","444.51","448.03","848,903"
12/18/2023,"443.47","448.43","441.68","447.54","804,507"
12/15/2023,"439.39","440.81","431.35","439.47","3,743,864"
12/14/2023,"450.86","451.69","436.83","441.68","2,156,431"
12/13/2023,"463.12","468.25","457.37","460.80","814,142"
12/12/2023,"463.42","464.96","461.26","462.14","679,783"
12/11/2023,"461.18","463.92","459.09","461.98","647,765"
12/08/2023,"457.27","458.10","450.98","457.89","733,421"
12/07/2023,"458.67","458.67","453.59","455.66","622,117"
12/06/2023,"459.68","459.68","450.02","457.59","821,324"
12/05/2023,"460.21","462.21","456.61","460.79","906,736"
12/04/2023,"463.91","466.24","457.83","459.30","908,990"
12/01/2023,"472.46","476.35","464.32","464.65","809,542"
11/30/2023,"455.26","471.12","453.79","470.56","2,212,325"
11/29/2023,"460.42","461.47","455.42","456.70","787,678"
11/28/2023,"462.96","466.99","461.00","461.60","637,904"
11/27/2023,"462.74","466.45","461.80","461.89","781,784"
11/24/2023,"460.00","462.27","458.34","461.37","219,544"
11/22/2023,"454.08","459.66","454.08","457.45","554,110"
11/21/2023,"455.16","457.51","452.56","454.31","755,619"
