Date,Open,High,Low,Close,Volume
02/20/2024,"86.96","87.22","82.59","85.85","11,771,450"
02/16/2024,"84.49","85.74","84.11","84.42","10,848,640"
02/15/2024,"83.83","85.01","83.76","84.72","4,867,874"
02/14/2024,"83.67","84.35","83.24","83.68","4,934,627"
02/13/2024,"84.57","85.00","83.13","83.59","7,579,609"
02/12/2024,"84.63","85.33","84.38","85.07","5,892,373"
02/09/2024,"86.08","86.16","84.46","84.99","8,843,539"
02/08/2024,"86.55","86.76","85.39","86.18","5,938,152"
02/07/2024,"88.05","88.25","87.04","87.16","4,740,113"
02/06/2024,"87.08","87.84","86.87","87.74","4,667,164"
02/05/2024,"87.58","87.78","86.74","86.75","4,083,640"
02/02/2024,"87.46","88.14","87.06","87.63","5,052,031"
02/01/2024,"87.36","88.54","86.70","88.09","4,319,952"
01/31/2024,"88.29","89.18","87.52","87.54","10,357,900"
01/30/2024,"87.46","87.56","86.51","86.97","5,760,184"
01/29/2024,"86.30","87.48","86.13","87.44","7,144,745"
01/26/2024,"86.19","86.60","85.63","86.54","6,784,389"
01/25/2024,"85.26","85.83","84.60","85.79","5,557,802"
01/24/2024,"86.18","86.32","84.67","84.72","6,035,159"
01/23/2024,"86.86","87.36","85.61","86.34","5,060,433"
01/22/2024,"86.59","87.37","86.28","86.47","6,015,862"
01/19/2024,"86.26","86.71","85.72","86.49","4,819,293"
01/18/2024,"86.85","87.14","86.08","86.29","7,203,739"
01/17/2024,"86.20","86.82","85.67","86.05","6,956,156"
01/16/2024,"86.96","87.18","86.25","86.54","5,398,297"
01/12/2024,"87.60","88.73","87.26","87.42","5,969,191"
01/11/2024,"87.09","87.28","86.36","87.09","5,099,477"
01/10/2024,"86.50","87.53","86.36","87.08","4,980,830"
01/09/2024,"86.43","88.04","86.30","86.66","7,223,200"
01/08/2024,"84.80","86.72","84.31","86.57","7,867,239"
01/05/2024,"83.71","85.01","83.52","84.57","5,107,573"
01/04/2024,"83.15","84.22","82.98","83.93","5,621,962"
01/03/2024,"82.94","83.78","82.14","83.20","6,182,663"
01/02/2024,"82.11","83.79","81.97","82.84","5,425,992"
12/29/2023,"82.53","82.90","82.14","82.38","3,847,619"
12/28/2023,"82.28","83.04","82.22","82.73","3,297,037"
12/27/2023,"82.08","82.49","82.04","82.42","4,041,661"
12/26/2023,"81.96","82.52","81.64","82.30","2,954,845"
12/22/2023,"82.25","82.74","81.54","81.92","3,426,685"
12/21/2023,"80.87","82.10","80.81","81.96","7,440,627"
12/20/2023,"81.81","81.88","80.57","80.61","7,257,568"
12/19/2023,"82.17","82.78","81.78","82.07","5,060,919"
12/18/2023,"82.96","83.48","82.58","83.06","6,447,294"
12/15/2023,"83.08","83.29","82.30","82.61","12,388,930"
12/14/2023,"82.76","84.73","82.66","83.43","9,680,767"
12/13/2023,"79.72","81.92","79.50","81.90","6,304,717"
12/12/2023,"80.05","80.22","79.22","80.08","5,263,373"
12/11/2023,"79.33","80.07","79.33","79.72","5,598,881"
12/08/2023,"79.60","79.85","79.28","79.35","6,241,007"
12/07/2023,"79.21","79.72","78.74","79.55","5,251,028"
12/06/2023,"78.86","79.14","78.48","79.04","5,319,573"
12/05/2023,"79.55","79.63","78.66","78.82","4,818,911"
12/04/2023,"79.56","80.23","79.41","79.76","6,206,376"
12/01/2023,"79.09","80.08","78.76","79.99","5,101,999"
11/30/2023,"78.93","79.31","78.20","79.27","6,219,373"
11/29/2023,"78.75","79.77","78.61","78.86","4,260,440"
11/28/2023,"78.90","79.05","78.40","78.63","4,972,439"
11/27/2023,"78.77","79.31","78.24","79.00","7,252,935"
11/24/2023,"78.24","79.04","78.23","78.97","3,310,917"
11/22/2023,"78.90","79.34","78.01","78.37","6,004,868"
