Date,Open,High,Low,Close,Volume
02/20/2024,"469.72","476.18","466.56","471.75","18,015,520"
02/16/2024,"478.11","478.96","469.21","473.32","23,324,619"
02/15/2024,"475.28","488.62","472.22","484.03","24,212,330"
02/14/2024,"467.93","474.11","466.09","473.28","16,858,400"
02/13/2024,"456.87","467.89","455.09","460.12","20,916,600"
02/12/2024,"468.19","479.15","466.58","468.90","19,381,961"
02/09/2024,"472.95","473.59","467.47","468.11","18,413,141"
02/08/2024,"468.32","470.59","465.03","470.00","18,815,100"
02/07/2024,"458.00","471.52","456.18","469.59","23,065,990"
02/06/2024,"464.00","467.12","453.00","454.72","21,655,211"
02/05/2024,"469.88","471.90","459.22","459.41","40,832,379"
02/02/2024,"459.60","485.96","453.01","474.99","84,707,648"
02/01/2024,"393.94","400.50","393.05","394.78","29,727,051"
01/31/2024,"389.00","398.00","387.10","390.14","20,180,820"
01/30/2024,"403.59","406.36","399.57","400.06","18,614,730"
01/29/2024,"394.99","402.93","393.10","401.02","18,742,430"
01/26/2024,"394.35","396.79","391.59","394.14","13,159,290"
01/25/2024,"390.17","395.49","385.66","393.18","15,091,080"
01/24/2024,"390.00","396.15","387.81","390.70","15,604,290"
01/23/2024,"384.62","388.38","382.08","385.20","15,506,100"
01/22/2024,"387.95","390.35","381.16","381.78","17,680,449"
01/19/2024,"379.00","384.36","377.97","383.45","21,670,811"
01/18/2024,"371.49","376.85","370.95","376.13","16,354,330"
01/17/2024,"366.30","368.54","358.61","368.37","12,724,780"
01/16/2024,"373.65","375.61","367.23","367.46","15,306,890"
01/12/2024,"370.16","377.06","369.54","374.49","19,310,051"
01/11/2024,"372.13","372.78","362.93","369.67","17,205,391"
01/10/2024,"360.17","372.94","359.08","370.47","22,117,211"
01/09/2024,"356.40","360.64","355.36","357.43","13,463,870"
01/08/2024,"354.70","358.98","352.05","358.66","13,890,220"
01/05/2024,"346.99","353.50","346.26","351.95","13,750,910"
01/04/2024,"344.50","348.15","343.40","347.12","12,099,900"
01/03/2024,"344.98","347.95","343.18","344.47","15,451,130"
01/02/2024,"351.32","353.16","340.01","346.29","19,042,150"
12/29/2023,"358.99","360.00","351.82","353.96","14,987,090"
12/28/2023,"359.70","361.90","357.81","358.32","11,798,810"
12/27/2023,"356.07","359.00","355.31","357.83","13,207,930"
12/26/2023,"354.99","356.98","353.45","354.83","9,898,614"
12/22/2023,"355.58","357.20","351.22","353.39","11,772,780"
12/21/2023,"352.98","356.41","349.21","354.09","15,289,560"
12/20/2023,"348.65","354.96","347.79","349.28","16,369,850"
12/19/2023,"345.58","353.60","345.12","350.36","17,729,359"
12/18/2023,"337.48","347.56","337.02","344.62","18,993,850"
12/15/2023,"331.99","338.66","331.22","334.92","31,776,850"
12/14/2023,"333.85","334.70","328.64","333.17","19,607,340"
12/13/2023,"333.93","338.37","332.64","334.74","16,353,320"
12/12/2023,"324.60","334.47","324.56","334.22","18,485,461"
12/11/2023,"329.40","329.89","320.00","325.28","25,802,461"
12/08/2023,"323.09","333.17","323.00","332.75","14,087,350"
12/07/2023,"317.77","328.24","317.77","326.59","15,905,080"
12/06/2023,"321.93","322.25","317.04","317.45","11,294,340"
12/05/2023,"318.98","321.88","315.39","318.29","16,952,131"
12/04/2023,"317.29","320.86","313.66","320.02","19,037,080"
12/01/2023,"325.48","326.86","320.76","324.82","15,276,380"
11/30/2023,"331.89","333.50","322.40","327.15","23,146,391"
11/29/2023,"339.69","339.90","330.78","332.20","16,024,500"
11/28/2023,"333.40","339.38","333.40","338.99","12,637,250"
11/27/2023,"336.18","339.90","334.20","334.70","15,684,450"
11/24/2023,"340.13","341.86","336.77","338.23","5,467,488"
11/22/2023,"339.21","342.92","338.58","341.49","10,715,180"
