Date,Open,High,Low,Close,Volume
02/16/2024,"42.61","42.91","41.98","42.54","6,156,867"
02/15/2024,"42.93","43.45","42.51","43.10","5,746,135"
02/14/2024,"44.10","44.45","41.68","42.80","16,791,670"
02/13/2024,"45.61","45.96","45.04","45.66","6,891,098"
02/12/2024,"46.96","47.53","46.63","47.02","3,913,706"
02/09/2024,"46.67","46.86","46.21","46.74","3,889,197"
02/08/2024,"45.50","46.50","45.27","46.43","5,538,289"
02/07/2024,"44.80","44.98","44.34","44.72","3,918,136"
02/06/2024,"44.88","45.39","44.54","44.69","4,168,370"
02/05/2024,"44.47","44.80","43.93","44.51","3,149,670"
02/02/2024,"44.32","45.23","43.50","44.88","4,084,317"
02/01/2024,"43.98","44.73","43.62","44.71","5,235,413"
01/31/2024,"43.61","44.53","43.16","43.37","4,527,752"
01/30/2024,"43.71","43.90","43.45","43.66","2,726,744"
01/29/2024,"43.62","43.94","43.24","43.85","2,912,524"
01/26/2024,"43.83","43.94","43.45","43.65","3,475,734"
01/25/2024,"43.56","44.10","43.31","43.62","4,086,959"
01/24/2024,"43.61","43.66","42.77","42.86","3,855,440"
01/23/2024,"43.02","43.34","42.46","43.05","3,365,745"
01/22/2024,"43.21","43.54","42.45","42.56","4,245,490"
01/19/2024,"43.05","43.26","42.26","43.00","5,465,471"
01/18/2024,"42.15","42.90","41.86","42.86","4,547,545"
01/17/2024,"41.61","41.94","41.27","41.63","5,221,152"
01/16/2024,"42.00","42.50","41.74","42.27","5,546,329"
01/12/2024,"43.25","43.62","42.30","42.37","4,404,677"
01/11/2024,"43.37","43.75","42.48","43.41","4,263,140"
01/10/2024,"44.46","44.84","43.38","43.49","5,589,323"
01/09/2024,"45.18","45.33","44.26","44.61","4,902,651"
01/08/2024,"44.74","45.91","44.72","45.91","3,604,413"
01/05/2024,"44.07","45.36","44.07","44.83","3,204,847"
01/04/2024,"44.06","44.51","43.81","44.35","3,453,957"
01/03/2024,"44.77","44.83","43.49","44.25","4,054,836"
01/02/2024,"44.29","45.91","44.16","45.48","4,204,641"
12/29/2023,"44.95","45.23","44.58","44.68","2,634,286"
12/28/2023,"44.74","45.58","44.73","45.05","2,292,971"
12/27/2023,"44.56","44.99","44.28","44.79","2,742,659"
12/26/2023,"44.36","44.82","44.35","44.66","2,292,873"
12/22/2023,"44.47","44.82","44.24","44.38","3,022,315"
12/21/2023,"44.24","44.67","43.87","44.49","3,946,101"
12/20/2023,"44.76","45.08","43.44","43.49","4,338,026"
12/19/2023,"43.77","45.31","43.68","45.02","4,995,679"
12/18/2023,"43.18","43.95","43.15","43.54","4,249,791"
12/15/2023,"44.31","44.60","43.06","43.10","10,522,770"
12/14/2023,"44.00","45.58","43.99","44.66","6,447,316"
12/13/2023,"43.37","43.90","42.37","43.75","5,467,478"
12/12/2023,"43.48","43.65","43.09","43.37","4,050,302"
12/11/2023,"41.30","43.62","41.30","43.54","7,063,381"
12/08/2023,"39.91","41.45","39.76","41.42","5,918,537"
12/07/2023,"39.47","40.12","39.46","39.81","3,356,391"
12/06/2023,"39.67","40.38","39.31","39.37","3,951,191"
12/05/2023,"40.02","40.12","39.09","39.13","5,098,538"
12/04/2023,"40.50","41.40","40.19","40.35","4,936,963"
12/01/2023,"39.32","40.88","39.26","40.84","5,347,638"
11/30/2023,"39.59","39.63","39.16","39.44","4,902,129"
11/29/2023,"40.14","40.63","39.34","39.43","4,103,586"
11/28/2023,"39.92","40.09","39.69","39.73","4,320,464"
11/27/2023,"39.97","40.18","39.80","40.05","2,996,931"
11/24/2023,"39.96","40.36","39.84","40.22","1,362,292"
11/22/2023,"40.26","40.73","39.85","40.35","3,238,594"
11/21/2023,"39.80","39.96","39.53","39.86","3,479,829"
