Date,Open,High,Low,Close,Volume
02/22/2024,"114.98","114.98","113.57","113.93","561,028"
02/21/2024,"113.62","114.29","112.90","113.74","598,309"
02/20/2024,"113.82","115.06","113.56","114.07","842,763"
02/16/2024,"114.57","117.11","114.20","115.42","710,071"
02/15/2024,"117.99","118.36","116.23","116.45","641,411"
02/14/2024,"117.08","117.08","114.32","116.69","867,441"
02/13/2024,"112.81","115.92","112.12","115.28","1,447,623"
02/12/2024,"113.82","117.80","111.67","117.24","1,502,815"
02/09/2024,"105.59","111.80","101.83","110.01","2,002,807"
02/08/2024,"109.25","111.36","109.25","109.61","1,034,041"
02/07/2024,"107.83","110.18","107.48","108.96","817,597"
02/06/2024,"105.79","108.14","105.53","106.81","601,371"
02/05/2024,"107.02","108.27","104.78","106.35","785,691"
02/02/2024,"106.94","110.06","106.72","108.93","921,886"
02/01/2024,"105.19","110.07","105.19","110.02","1,226,895"
01/31/2024,"103.70","106.54","103.13","104.25","995,354"
01/30/2024,"102.35","104.47","102.35","103.67","582,968"
01/29/2024,"100.54","103.46","100.47","103.44","811,485"
01/26/2024,"100.17","101.18","99.48","100.97","594,650"
01/25/2024,"98.80","99.59","97.45","99.57","653,966"
01/24/2024,"98.85","98.85","96.28","97.57","647,527"
01/23/2024,"100.42","101.87","97.06","97.96","817,691"
01/22/2024,"100.58","102.50","100.06","100.95","738,837"
01/19/2024,"100.45","100.45","98.49","99.93","566,248"
01/18/2024,"100.59","100.84","98.40","100.26","625,822"
01/17/2024,"100.03","100.87","98.89","99.76","720,440"
01/16/2024,"100.62","101.52","98.75","101.50","942,746"
01/12/2024,"106.88","107.24","101.66","101.85","879,323"
01/11/2024,"105.21","105.79","103.95","104.46","509,038"
01/10/2024,"105.73","107.24","104.90","106.34","566,169"
01/09/2024,"104.39","105.79","103.88","105.47","592,164"
01/08/2024,"104.02","107.12","104.02","105.75","799,581"
01/05/2024,"100.34","104.67","100.09","103.88","1,081,050"
01/04/2024,"100.73","101.52","99.69","100.71","675,887"
01/03/2024,"102.55","103.44","100.85","100.93","961,382"
01/02/2024,"102.02","105.50","101.01","105.28","800,184"
12/29/2023,"104.50","105.16","103.16","103.50","546,546"
12/28/2023,"103.31","105.02","103.04","104.87","483,743"
12/27/2023,"102.84","105.48","102.72","103.62","495,953"
12/26/2023,"103.58","103.68","102.49","102.64","543,032"
12/22/2023,"103.05","103.94","102.52","103.11","291,959"
12/21/2023,"103.46","104.02","102.10","102.95","550,376"
12/20/2023,"104.15","105.24","101.94","102.15","683,598"
12/19/2023,"103.91","105.20","103.75","104.48","547,439"
12/18/2023,"105.52","105.52","102.48","103.07","716,615"
12/15/2023,"105.50","107.63","104.21","105.43","2,388,040"
12/14/2023,"99.58","109.82","99.58","105.75","2,700,215"
12/13/2023,"92.34","97.93","91.66","97.58","1,253,954"
12/12/2023,"91.78","91.83","90.80","91.08","602,909"
12/11/2023,"91.90","93.35","91.50","91.96","535,498"
12/08/2023,"92.65","93.14","91.84","92.30","879,277"
12/07/2023,"92.75","93.17","91.35","92.58","1,123,593"
12/06/2023,"92.82","94.57","92.34","93.40","1,057,779"
12/05/2023,"91.25","92.07","90.23","91.68","750,225"
12/04/2023,"91.29","93.31","91.01","91.89","846,173"
12/01/2023,"88.30","92.17","88.29","91.93","917,082"
11/30/2023,"88.00","89.49","86.26","88.31","3,933,875"
11/29/2023,"86.99","88.89","86.93","87.80","986,160"
11/28/2023,"84.00","85.97","83.15","85.83","829,929"
11/27/2023,"84.13","84.35","82.71","84.28","683,939"
11/24/2023,"83.72","84.08","83.25","84.02","299,014"
