Date,Open,High,Low,Close,Volume
02/16/2024,"65.26","66.74","64.86","66.15","1,746,645"
02/15/2024,"65.50","66.42","64.93","65.55","2,016,044"
02/14/2024,"65.56","65.56","64.44","64.99","1,325,167"
02/13/2024,"65.95","66.41","64.33","65.35","1,990,372"
02/12/2024,"64.60","66.09","64.50","66.07","1,850,480"
02/09/2024,"66.00","66.00","64.33","64.65","2,111,095"
02/08/2024,"65.59","66.21","65.26","65.82","1,936,972"
02/07/2024,"67.34","67.36","65.52","65.62","1,544,188"
02/06/2024,"65.92","67.89","65.87","67.05","1,719,089"
02/05/2024,"67.29","67.39","65.84","65.85","1,523,727"
02/02/2024,"68.59","68.94","67.11","67.68","2,293,896"
02/01/2024,"67.69","68.71","67.05","68.69","1,855,160"
01/31/2024,"68.91","69.14","67.94","68.16","2,795,458"
01/30/2024,"68.19","69.87","68.15","69.27","2,967,887"
01/29/2024,"69.28","69.36","68.28","68.58","2,598,441"
01/26/2024,"68.84","69.33","68.05","69.08","2,894,487"
01/25/2024,"66.51","69.52","66.51","68.60","4,464,201"
01/24/2024,"66.93","67.00","65.78","65.78","2,485,608"
01/23/2024,"64.88","66.91","64.88","66.80","2,274,723"
01/22/2024,"64.35","65.10","64.07","64.61","2,378,885"
01/19/2024,"65.03","65.38","64.25","65.03","2,299,902"
01/18/2024,"64.42","65.11","63.88","64.92","1,837,661"
01/17/2024,"64.83","65.52","64.55","65.02","1,603,773"
01/16/2024,"66.05","66.34","64.78","65.18","2,729,123"
01/12/2024,"66.27","66.54","65.99","66.35","1,514,642"
01/11/2024,"66.25","66.31","65.52","65.72","1,380,143"
01/10/2024,"66.79","67.35","65.61","66.27","2,201,800"
01/09/2024,"66.71","67.72","66.44","67.63","1,970,185"
01/08/2024,"67.17","67.53","66.76","67.22","1,846,577"
01/05/2024,"68.31","68.45","66.79","67.24","1,190,428"
01/04/2024,"68.65","68.89","67.93","68.05","2,409,873"
01/03/2024,"69.41","70.07","68.72","68.96","1,765,433"
01/02/2024,"68.19","69.98","68.19","69.54","1,818,913"
12/29/2023,"67.90","68.64","67.90","68.42","1,170,812"
12/28/2023,"67.85","68.50","67.79","68.23","918,898"
12/27/2023,"68.11","68.33","67.86","68.21","1,266,340"
12/26/2023,"67.69","68.65","67.44","68.16","2,017,054"
12/22/2023,"68.19","69.13","67.80","67.87","1,003,074"
12/21/2023,"67.27","68.07","67.11","67.87","990,210"
12/20/2023,"67.74","68.06","66.93","66.94","1,093,060"
12/19/2023,"67.85","68.41","67.72","68.21","1,481,517"
12/18/2023,"67.11","67.78","66.51","67.71","1,623,475"
12/15/2023,"67.60","68.19","66.49","66.88","3,956,927"
12/14/2023,"70.09","70.48","68.24","68.28","2,475,709"
12/13/2023,"67.58","69.91","67.48","69.79","1,345,320"
12/12/2023,"67.98","67.98","67.13","67.68","1,273,590"
12/11/2023,"67.13","68.13","67.12","67.85","1,079,891"
12/08/2023,"67.91","68.00","66.79","67.09","991,861"
12/07/2023,"67.80","68.29","67.13","67.73","1,084,440"
12/06/2023,"66.69","68.05","66.49","67.73","1,343,395"
12/05/2023,"66.94","67.40","66.36","66.65","1,306,870"
12/04/2023,"65.78","67.01","65.74","66.79","2,029,262"
12/01/2023,"64.91","66.00","64.59","65.99","1,608,454"
11/30/2023,"64.28","64.88","63.67","64.83","2,406,148"
11/29/2023,"65.36","65.40","64.02","64.28","1,650,866"
11/28/2023,"64.91","65.45","64.50","65.01","1,663,765"
11/27/2023,"66.28","66.28","64.92","64.94","1,326,510"
11/24/2023,"65.82","66.97","65.82","66.44","553,489"
11/22/2023,"65.84","66.45","65.77","66.15","1,302,534"
11/21/2023,"65.54","65.75","65.01","65.38","1,900,814"
