Date,Open,High,Low,Close,Volume
02/22/2024,"216.89","216.89","211.70","213.55","389,024"
02/21/2024,"213.45","215.39","211.18","215.00","296,083"
02/20/2024,"216.50","217.37","211.98","213.98","393,970"
02/16/2024,"220.60","221.51","217.25","219.04","251,255"
02/15/2024,"217.93","222.27","217.93","220.50","286,131"
02/14/2024,"221.53","222.90","215.71","216.21","383,737"
02/13/2024,"222.75","224.55","216.56","219.35","645,759"
02/12/2024,"223.35","228.31","222.08","226.69","325,768"
02/09/2024,"224.18","226.61","220.11","223.32","284,252"
02/08/2024,"224.08","229.86","223.50","224.19","392,121"
02/07/2024,"222.50","227.45","220.20","226.41","518,180"
02/06/2024,"220.16","221.64","214.85","221.26","827,325"
02/05/2024,"223.64","225.14","214.93","221.29","1,076,470"
02/02/2024,"217.56","225.30","215.15","224.71","1,065,195"
02/01/2024,"223.42","226.55","214.39","218.96","1,376,833"
01/31/2024,"280.90","280.90","224.87","225.51","1,904,450"
01/30/2024,"278.01","278.14","272.78","274.33","475,642"
01/29/2024,"276.00","279.33","276.00","278.36","296,488"
01/26/2024,"276.24","277.28","274.75","276.50","224,244"
01/25/2024,"276.57","276.57","269.17","273.37","239,299"
01/24/2024,"274.20","278.42","274.13","274.89","366,337"
01/23/2024,"267.71","272.63","266.93","272.42","318,850"
01/22/2024,"267.00","267.94","264.70","266.37","245,950"
01/19/2024,"265.62","266.54","262.00","265.93","257,468"
01/18/2024,"265.01","265.13","262.88","264.72","226,751"
01/17/2024,"265.17","267.00","262.32","264.60","195,073"
01/16/2024,"268.71","269.38","265.76","269.00","250,349"
01/12/2024,"272.97","272.97","268.85","268.98","204,308"
01/11/2024,"272.99","272.99","266.26","270.22","270,604"
01/10/2024,"271.87","273.15","269.45","272.00","292,760"
01/09/2024,"274.60","276.98","272.04","272.38","191,624"
01/08/2024,"276.54","279.36","275.34","277.48","268,046"
01/05/2024,"275.01","281.18","273.48","276.17","303,951"
01/04/2024,"277.67","277.67","267.26","275.39","553,172"
01/03/2024,"285.82","285.82","277.29","278.97","371,982"
01/02/2024,"291.70","291.70","279.10","286.45","356,610"
12/29/2023,"295.14","297.97","290.10","292.85","216,179"
12/28/2023,"295.15","297.35","293.87","296.42","143,152"
12/27/2023,"291.00","296.12","291.00","295.83","147,817"
12/26/2023,"288.08","292.01","288.08","291.60","116,949"
12/22/2023,"286.22","289.38","283.44","288.19","219,961"
12/21/2023,"281.49","286.17","278.49","285.68","204,273"
12/20/2023,"281.49","286.64","275.97","278.44","337,700"
12/19/2023,"282.44","283.72","277.87","281.90","322,279"
12/18/2023,"284.55","285.86","275.83","281.95","284,087"
12/15/2023,"282.56","282.56","275.92","279.20","770,977"
12/14/2023,"273.30","287.99","272.36","284.16","626,307"
12/13/2023,"264.53","271.36","263.04","271.13","242,151"
12/12/2023,"263.43","264.26","260.77","263.77","294,668"
12/11/2023,"261.76","263.86","260.96","263.27","317,917"
12/08/2023,"260.00","262.11","259.05","261.68","402,732"
12/07/2023,"264.14","270.33","258.51","260.88","395,014"
12/06/2023,"253.45","265.09","253.45","262.05","805,652"
12/05/2023,"238.56","253.91","238.56","251.27","503,759"
12/04/2023,"239.54","242.26","236.61","238.56","364,883"
12/01/2023,"240.02","244.18","236.40","240.17","267,985"
11/30/2023,"238.83","241.57","236.94","240.12","601,774"
11/29/2023,"230.99","238.64","230.83","237.09","337,359"
11/28/2023,"230.38","232.81","230.00","230.99","243,466"
11/27/2023,"231.15","231.49","228.93","230.28","212,414"
11/24/2023,"232.69","233.61","230.57","231.40","108,306"
