Date,Open,High,Low,Close,Volume
02/16/2024,"91.86","92.05","91.21","91.25","4,469,540"
02/15/2024,"91.50","92.56","91.11","92.38","3,812,207"
02/14/2024,"93.00","93.24","92.17","92.42","5,036,865"
02/13/2024,"93.30","93.99","91.39","92.66","4,595,564"
02/12/2024,"93.12","95.06","93.05","94.63","4,091,695"
02/09/2024,"93.20","93.30","92.39","92.90","3,669,089"
02/08/2024,"94.15","94.38","92.71","93.20","3,964,295"
02/07/2024,"94.60","94.71","93.50","93.84","3,780,861"
02/06/2024,"92.74","93.85","92.40","93.76","3,727,668"
02/05/2024,"94.25","94.25","92.58","92.73","4,476,887"
02/02/2024,"95.28","95.40","94.29","94.87","3,712,641"
02/01/2024,"94.39","96.02","93.94","95.91","3,297,348"
01/31/2024,"95.94","95.94","94.16","94.35","6,906,829"
01/30/2024,"96.17","96.51","94.78","95.75","3,200,456"
01/29/2024,"96.00","96.89","95.44","96.38","3,799,983"
01/26/2024,"96.22","96.90","95.79","95.99","3,720,173"
01/25/2024,"93.78","96.28","93.61","95.98","6,122,942"
01/24/2024,"96.64","97.04","92.73","93.24","9,366,637"
01/23/2024,"100.86","100.86","94.11","96.10","27,210,881"
01/22/2024,"108.50","109.41","107.40","108.02","4,916,060"
01/19/2024,"106.74","108.36","105.10","107.76","3,269,495"
01/18/2024,"106.33","106.74","105.34","106.44","2,493,062"
01/17/2024,"106.85","107.66","105.53","106.08","2,639,507"
01/16/2024,"107.67","108.07","106.68","107.64","3,036,611"
01/12/2024,"109.42","110.16","107.89","108.12","2,918,538"
01/11/2024,"108.30","109.00","107.21","108.92","2,685,752"
01/10/2024,"109.02","109.12","107.84","108.30","1,999,818"
01/09/2024,"108.20","109.30","107.35","109.10","2,457,998"
01/08/2024,"108.26","108.96","107.59","108.86","2,119,575"
01/05/2024,"107.98","109.49","107.55","108.59","1,665,358"
01/04/2024,"108.08","109.34","107.71","108.17","2,775,925"
01/03/2024,"109.23","109.46","106.80","107.79","2,966,239"
01/02/2024,"108.62","110.66","108.45","110.00","2,776,824"
12/29/2023,"109.50","109.96","108.75","109.32","2,414,408"
12/28/2023,"108.66","110.18","108.65","109.69","2,809,576"
12/27/2023,"108.00","109.10","107.68","108.74","2,443,795"
12/26/2023,"106.30","108.59","106.27","108.11","2,786,348"
12/22/2023,"105.88","107.41","105.75","106.33","2,281,685"
12/21/2023,"104.22","105.63","104.11","105.56","2,194,162"
12/20/2023,"105.80","106.27","103.63","103.67","3,247,439"
12/19/2023,"106.37","106.75","105.89","106.25","2,634,931"
12/18/2023,"107.00","107.30","105.66","105.87","3,023,962"
12/15/2023,"106.35","107.53","105.96","106.98","11,083,430"
12/14/2023,"104.98","107.63","104.96","107.04","5,764,490"
12/13/2023,"102.00","104.21","99.71","104.19","5,971,953"
12/12/2023,"103.59","103.73","102.34","102.56","4,674,523"
12/11/2023,"103.70","104.21","102.72","103.16","3,485,900"
12/08/2023,"103.37","104.91","103.00","103.37","3,444,015"
12/07/2023,"103.05","103.63","102.40","103.28","2,367,807"
12/06/2023,"101.67","103.58","101.63","102.79","3,582,784"
12/05/2023,"102.75","103.00","101.44","101.69","3,073,380"
12/04/2023,"100.34","103.78","100.23","103.44","5,030,211"
12/01/2023,"98.84","100.21","98.16","99.85","2,783,823"
11/30/2023,"98.64","100.08","98.26","99.07","6,012,541"
11/29/2023,"99.25","99.45","98.12","98.47","2,581,644"
11/28/2023,"96.92","99.10","96.54","98.51","4,334,614"
11/27/2023,"96.00","97.46","95.94","97.07","3,293,901"
11/24/2023,"95.30","95.98","95.12","95.95","1,059,854"
11/22/2023,"94.97","95.78","94.63","95.37","2,394,280"
11/21/2023,"94.62","94.76","93.74","93.99","2,708,675"
