Date,Open,High,Low,Close,Volume
02/16/2024,"55.88","55.97","54.96","55.02","6,077,720"
02/15/2024,"56.14","56.42","55.79","56.17","5,553,181"
02/14/2024,"56.16","56.64","55.46","55.87","3,981,935"
02/13/2024,"55.96","56.46","55.42","56.16","5,970,913"
02/12/2024,"55.57","55.99","55.27","55.93","3,497,830"
02/09/2024,"56.52","56.57","55.35","55.66","3,893,969"
02/08/2024,"56.49","56.53","56.01","56.49","4,253,902"
02/07/2024,"56.71","56.91","56.22","56.46","4,315,138"
02/06/2024,"55.26","56.38","55.04","56.34","7,406,959"
02/05/2024,"55.13","55.37","54.76","55.12","4,768,898"
02/02/2024,"55.80","55.93","55.00","55.35","5,481,813"
02/01/2024,"55.15","56.04","54.82","55.94","5,619,549"
01/31/2024,"55.37","55.59","54.84","55.02","5,908,152"
01/30/2024,"55.53","55.58","55.00","55.31","4,704,197"
01/29/2024,"55.47","55.85","55.23","55.59","5,736,036"
01/26/2024,"55.16","55.58","55.00","55.44","5,273,127"
01/25/2024,"55.40","55.47","54.89","55.14","5,711,641"
01/24/2024,"55.47","55.69","54.98","55.07","9,574,705"
01/23/2024,"56.30","56.30","54.89","55.57","7,050,033"
01/22/2024,"57.29","57.33","56.25","56.32","4,294,443"
01/19/2024,"57.45","57.45","56.55","57.18","5,450,409"
01/18/2024,"56.76","57.44","56.61","57.25","4,800,425"
01/17/2024,"57.49","57.54","56.34","57.11","8,595,546"
01/16/2024,"59.40","59.40","57.95","58.17","5,783,083"
01/12/2024,"59.13","59.31","58.80","59.05","4,024,985"
01/11/2024,"58.90","58.93","58.21","58.63","4,159,343"
01/10/2024,"58.75","59.13","58.33","58.91","4,436,276"
01/09/2024,"57.62","58.76","57.40","58.74","5,042,871"
01/08/2024,"57.62","58.17","57.39","57.96","5,764,345"
01/05/2024,"57.57","58.14","57.31","57.54","3,741,772"
01/04/2024,"57.59","58.59","57.53","57.71","4,984,379"
01/03/2024,"59.07","59.08","57.27","57.48","6,954,559"
01/02/2024,"57.52","58.81","57.37","58.59","8,150,088"
12/29/2023,"57.43","57.78","57.33","57.61","4,061,621"
12/28/2023,"57.51","57.56","57.19","57.42","3,344,826"
12/27/2023,"56.84","57.37","56.72","57.34","3,606,206"
12/26/2023,"55.90","56.92","55.90","56.79","3,469,185"
12/22/2023,"55.65","56.35","55.52","56.01","3,942,673"
12/21/2023,"54.71","55.47","54.68","55.38","4,323,807"
12/20/2023,"55.28","55.54","54.36","54.36","4,820,446"
12/19/2023,"55.38","55.73","55.29","55.58","4,203,793"
12/18/2023,"55.47","55.55","54.77","55.30","4,230,201"
12/15/2023,"55.56","55.95","54.92","55.09","9,880,424"
12/14/2023,"56.68","56.68","55.30","55.56","5,595,397"
12/13/2023,"55.93","56.57","55.78","56.55","5,780,710"
12/12/2023,"55.83","55.86","55.17","55.80","4,122,405"
12/11/2023,"54.53","55.40","54.53","55.26","4,631,845"
12/08/2023,"54.16","54.35","53.70","53.92","4,935,825"
12/07/2023,"54.53","54.59","53.99","54.30","5,129,858"
12/06/2023,"54.26","54.44","53.54","54.30","5,649,426"
12/05/2023,"55.08","55.26","53.99","54.26","5,775,496"
12/04/2023,"54.97","55.58","54.67","55.17","5,413,259"
12/01/2023,"54.92","55.53","54.92","55.22","5,526,628"
11/30/2023,"54.82","55.20","54.18","55.15","8,484,083"
11/29/2023,"55.48","55.50","54.32","54.71","8,844,517"
11/28/2023,"54.70","55.42","54.68","55.28","8,008,569"
11/27/2023,"55.22","55.33","54.65","54.72","4,535,610"
11/24/2023,"55.11","55.41","55.02","55.17","1,871,755"
11/22/2023,"55.32","55.61","55.00","55.22","4,756,325"
11/21/2023,"54.97","55.12","54.60","54.80","8,424,467"
