Date,Open,High,Low,Close,Volume
02/16/2024,"400.29","404.86","397.95","401.72","243,886"
02/15/2024,"401.20","403.44","396.09","398.14","350,197"
02/14/2024,"393.83","399.99","391.77","399.96","317,573"
02/13/2024,"393.58","399.35","391.77","394.33","481,319"
02/12/2024,"389.30","393.34","383.15","392.63","438,777"
02/09/2024,"381.27","390.00","378.03","388.67","485,986"
02/08/2024,"364.99","382.78","360.63","381.49","849,239"
02/07/2024,"357.66","364.58","355.84","362.10","502,484"
02/06/2024,"351.56","359.07","346.35","357.12","529,544"
02/05/2024,"355.25","356.20","350.06","351.10","474,213"
02/02/2024,"355.27","361.04","353.43","354.88","369,854"
02/01/2024,"354.67","357.94","352.31","355.21","334,448"
01/31/2024,"357.50","357.50","352.56","356.44","505,449"
01/30/2024,"356.02","357.97","351.83","355.20","313,946"
01/29/2024,"351.95","355.29","350.41","354.68","277,740"
01/26/2024,"351.04","355.09","349.64","353.61","465,399"
01/25/2024,"355.28","361.84","348.29","350.07","1,018,351"
01/24/2024,"372.60","372.90","365.37","366.35","324,863"
01/23/2024,"366.75","373.68","366.36","367.96","355,747"
01/22/2024,"366.11","370.61","361.37","368.20","520,048"
01/19/2024,"381.57","384.20","364.41","365.51","613,502"
01/18/2024,"369.57","381.93","365.27","381.06","514,209"
01/17/2024,"386.00","391.21","383.13","386.48","235,555"
01/16/2024,"382.60","385.17","378.55","385.04","253,626"
01/12/2024,"373.97","382.28","372.63","380.48","279,757"
01/11/2024,"379.18","385.52","377.10","383.53","222,632"
01/10/2024,"380.38","381.65","378.03","379.66","200,934"
01/09/2024,"375.77","380.92","373.00","380.46","203,753"
01/08/2024,"380.63","382.07","371.57","377.77","392,959"
01/05/2024,"380.54","382.01","375.23","378.59","347,034"
01/04/2024,"379.53","386.34","376.08","378.74","431,842"
01/03/2024,"374.20","379.08","374.20","376.67","429,859"
01/02/2024,"362.37","372.23","361.31","371.53","529,176"
12/29/2023,"356.52","361.92","354.50","361.31","305,214"
12/28/2023,"357.58","360.34","354.55","356.42","359,946"
12/27/2023,"356.65","359.00","353.72","356.83","233,324"
12/26/2023,"357.54","360.03","354.43","357.75","194,272"
12/22/2023,"359.16","360.10","356.21","358.38","174,895"
12/21/2023,"353.04","359.06","351.88","358.23","443,218"
12/20/2023,"358.30","358.30","351.04","351.61","427,503"
12/19/2023,"363.81","367.58","359.10","359.25","386,183"
12/18/2023,"365.39","367.30","362.33","366.24","252,751"
12/15/2023,"368.40","369.10","357.17","362.98","1,116,635"
12/14/2023,"379.35","379.51","367.41","374.80","481,860"
12/13/2023,"378.00","384.72","374.29","382.39","463,306"
12/12/2023,"369.62","378.78","366.02","378.48","445,497"
12/11/2023,"369.60","369.60","355.11","366.00","429,573"
12/08/2023,"364.90","367.89","362.55","367.72","341,588"
12/07/2023,"364.34","364.34","359.88","363.43","312,008"
12/06/2023,"365.56","369.69","358.53","362.81","258,744"
12/05/2023,"366.19","370.39","361.38","367.00","277,339"
12/04/2023,"362.99","365.58","358.69","365.56","261,558"
12/01/2023,"364.87","368.86","360.42","362.76","340,842"
11/30/2023,"351.18","366.53","350.49","365.56","658,620"
11/29/2023,"356.67","363.74","349.33","350.82","590,806"
11/28/2023,"366.30","367.45","361.05","361.23","212,168"
11/27/2023,"367.85","372.00","365.01","366.30","260,345"
11/24/2023,"363.84","368.23","363.84","367.62","100,676"
11/22/2023,"362.64","366.70","362.64","364.87","162,261"
11/21/2023,"358.05","361.86","353.21","360.17","193,588"
