Date,Open,High,Low,Close,Volume
02/22/2024,"31.90","32.51","31.22","32.22","11,504,520"
02/21/2024,"30.16","30.54","29.86","30.23","6,316,285"
02/20/2024,"30.30","30.50","30.00","30.36","5,996,909"
02/16/2024,"30.16","30.59","29.83","30.55","5,131,807"
02/15/2024,"29.43","30.60","29.43","30.14","6,094,192"
02/14/2024,"29.64","29.82","29.25","29.55","6,270,817"
02/13/2024,"30.19","30.52","29.27","29.51","5,051,500"
02/12/2024,"30.06","30.83","29.99","30.59","5,199,266"
02/09/2024,"30.23","30.49","29.82","29.92","5,869,937"
02/08/2024,"30.37","30.37","29.87","30.09","3,504,041"
02/07/2024,"30.46","30.64","29.82","30.37","5,200,483"
02/06/2024,"29.90","30.56","29.74","30.35","5,356,503"
02/05/2024,"30.27","30.45","29.92","29.93","5,056,949"
02/02/2024,"30.61","30.95","30.21","30.86","4,420,279"
02/01/2024,"31.22","31.38","30.53","30.87","8,121,908"
01/31/2024,"31.67","31.76","30.71","30.71","5,742,427"
01/30/2024,"31.78","32.17","31.59","31.78","4,111,432"
01/29/2024,"32.10","32.23","31.72","32.12","3,622,116"
01/26/2024,"32.23","32.33","31.97","32.23","3,570,644"
01/25/2024,"32.35","32.42","31.64","32.05","3,341,468"
01/24/2024,"32.15","32.52","31.82","31.96","3,972,637"
01/23/2024,"32.37","33.00","32.20","32.21","4,803,628"
01/22/2024,"31.95","32.31","31.48","32.00","5,460,494"
01/19/2024,"32.21","32.30","31.55","32.10","6,090,557"
01/18/2024,"31.77","32.15","31.33","32.12","6,601,347"
01/17/2024,"31.90","32.06","31.33","31.62","5,134,754"
01/16/2024,"32.54","32.54","31.96","32.37","4,792,845"
01/12/2024,"33.67","33.71","32.42","32.78","6,683,746"
01/11/2024,"33.62","33.79","33.17","33.37","5,894,182"
01/10/2024,"33.88","34.09","33.41","33.67","4,019,098"
01/09/2024,"35.14","35.32","34.12","34.19","5,249,331"
01/08/2024,"35.05","35.50","34.52","35.39","4,299,999"
01/05/2024,"35.77","36.03","35.22","35.52","6,485,591"
01/04/2024,"36.92","37.00","35.56","35.72","4,480,039"
01/03/2024,"36.07","37.30","35.75","36.65","3,640,482"
01/02/2024,"35.65","37.00","35.63","36.48","3,820,271"
12/29/2023,"35.93","36.06","35.48","35.73","2,502,173"
12/28/2023,"36.55","36.73","36.09","36.11","2,146,916"
12/27/2023,"36.24","36.69","36.24","36.55","2,178,590"
12/26/2023,"36.34","36.60","36.16","36.41","1,924,143"
12/22/2023,"36.50","36.93","36.05","36.21","3,040,382"
12/21/2023,"36.16","36.49","35.65","36.33","3,932,399"
12/20/2023,"37.55","37.63","35.97","35.98","5,733,610"
12/19/2023,"37.37","38.30","37.21","38.15","4,210,367"
12/18/2023,"37.48","37.71","36.96","37.00","4,181,666"
12/15/2023,"36.83","37.30","36.23","36.62","9,179,371"
12/14/2023,"37.37","38.06","36.98","37.10","4,370,464"
12/13/2023,"34.66","36.54","34.56","36.46","3,989,841"
12/12/2023,"35.53","35.72","34.66","34.77","2,656,356"
12/11/2023,"35.40","35.95","35.23","35.89","2,862,624"
12/08/2023,"36.00","36.23","35.31","35.68","3,011,577"
12/07/2023,"35.52","36.44","35.35","35.91","3,615,318"
12/06/2023,"35.23","35.76","34.98","35.08","3,293,606"
12/05/2023,"35.94","36.22","35.06","35.15","3,920,485"
12/04/2023,"36.35","36.96","36.02","36.11","3,478,241"
12/01/2023,"35.96","37.13","35.82","36.90","3,337,055"
11/30/2023,"36.47","36.50","35.61","35.89","8,430,134"
11/29/2023,"36.50","36.75","36.12","36.42","2,970,684"
11/28/2023,"35.99","36.42","35.44","36.28","2,657,969"
11/27/2023,"36.11","36.17","35.68","36.00","2,728,262"
11/24/2023,"36.11","36.94","36.10","36.41","1,381,897"
