Date,Open,High,Low,Close,Volume
02/20/2024,"128.13","129.29","127.21","127.37","6,952,764"
02/16/2024,"126.50","128.09","126.17","127.79","6,266,778"
02/15/2024,"125.97","127.23","125.95","126.54","5,756,747"
02/14/2024,"125.61","126.03","124.82","125.82","6,622,438"
02/13/2024,"125.98","126.86","124.48","125.43","7,273,434"
02/12/2024,"125.00","125.48","124.40","125.34","5,257,536"
02/09/2024,"126.22","126.69","125.04","125.45","7,891,392"
02/08/2024,"127.32","127.48","125.95","126.61","6,308,268"
02/07/2024,"126.90","128.06","126.50","127.47","6,742,760"
02/06/2024,"126.61","127.52","126.07","126.88","6,152,994"
02/05/2024,"126.98","127.80","125.70","126.18","8,027,717"
02/02/2024,"126.71","127.56","126.11","126.41","10,175,600"
02/01/2024,"123.65","126.43","122.77","126.38","11,650,730"
01/31/2024,"122.53","122.85","120.50","120.78","10,779,040"
01/30/2024,"121.28","121.76","120.18","121.66","7,469,479"
01/29/2024,"121.35","121.46","120.49","121.28","9,138,402"
01/26/2024,"120.51","121.02","120.08","120.82","8,300,304"
01/25/2024,"118.66","120.18","118.66","120.13","6,689,818"
01/24/2024,"119.70","119.95","118.44","118.88","5,859,881"
01/23/2024,"118.14","119.99","117.27","119.84","6,501,448"
01/22/2024,"119.04","119.97","118.86","119.43","8,786,168"
01/19/2024,"118.21","119.02","117.72","118.89","7,605,594"
01/18/2024,"117.65","118.62","116.62","118.54","10,524,720"
01/17/2024,"119.18","119.40","117.61","118.13","5,591,406"
01/16/2024,"118.49","119.34","117.94","118.49","6,832,442"
01/12/2024,"118.07","118.67","117.65","118.63","6,823,300"
01/11/2024,"118.80","118.90","117.08","118.43","5,754,423"
01/10/2024,"118.19","119.17","117.74","118.86","7,129,082"
01/09/2024,"117.51","119.94","117.21","118.43","8,822,254"
01/08/2024,"117.59","117.89","116.18","117.38","8,193,116"
01/05/2024,"117.10","117.45","116.64","117.22","6,861,542"
01/04/2024,"115.92","117.65","115.86","117.01","11,492,210"
01/03/2024,"114.27","115.90","114.16","114.77","10,721,920"
01/02/2024,"109.16","113.32","109.16","113.24","11,920,150"
12/29/2023,"108.99","109.24","108.79","109.02","5,889,238"
12/28/2023,"108.30","109.06","108.13","108.77","5,530,591"
12/27/2023,"107.31","108.07","107.01","107.98","5,387,031"
12/26/2023,"107.50","108.09","107.22","107.63","4,727,766"
12/22/2023,"107.15","108.06","106.84","107.70","6,028,695"
12/21/2023,"105.79","106.61","105.34","106.39","5,919,489"
12/20/2023,"107.14","107.14","105.24","105.36","8,441,602"
12/19/2023,"106.05","106.66","105.44","106.49","8,043,141"
12/18/2023,"106.16","107.21","105.63","106.04","12,805,560"
12/15/2023,"104.89","106.27","104.26","105.11","26,393,301"
12/14/2023,"106.68","107.21","105.14","105.88","10,722,970"
12/13/2023,"104.16","107.11","103.97","107.11","10,994,980"
12/12/2023,"104.48","104.79","103.42","104.36","7,933,546"
12/11/2023,"104.85","105.47","103.57","104.37","7,429,918"
12/08/2023,"103.79","104.01","102.65","103.75","7,530,274"
12/07/2023,"105.59","105.60","103.73","103.88","9,602,210"
12/06/2023,"106.25","106.57","105.43","105.63","9,954,925"
12/05/2023,"104.92","106.40","104.18","106.23","10,789,090"
12/04/2023,"103.73","105.38","103.73","105.06","10,169,910"
12/01/2023,"102.85","103.68","102.66","103.46","6,863,429"
11/30/2023,"100.84","102.69","100.28","102.48","29,299,670"
11/29/2023,"100.28","101.17","99.80","101.13","10,286,780"
11/28/2023,"101.31","101.35","100.01","100.18","8,738,483"
11/27/2023,"101.91","102.15","100.70","101.43","7,356,536"
11/24/2023,"102.26","102.51","101.44","101.87","3,167,952"
11/22/2023,"102.20","102.68","101.11","101.68","5,724,130"
