Date,Open,High,Low,Close,Volume
02/20/2024,"87.36","89.54","86.48","86.99","3,140,293"
02/16/2024,"90.41","90.85","87.37","88.37","3,708,097"
02/15/2024,"86.13","92.08","84.80","91.14","4,972,760"
02/14/2024,"86.04","86.85","84.23","85.95","3,572,060"
02/13/2024,"86.81","88.30","84.06","85.37","4,035,145"
02/12/2024,"87.41","89.07","85.75","89.00","3,991,684"
02/09/2024,"93.36","93.36","86.41","87.41","7,216,450"
02/08/2024,"99.00","99.00","92.95","93.66","4,916,430"
02/07/2024,"100.15","100.24","97.86","99.30","2,271,473"
02/06/2024,"95.65","100.10","95.14","100.03","3,046,850"
02/05/2024,"96.70","96.95","94.17","95.49","2,799,244"
02/02/2024,"97.39","98.21","95.30","97.50","3,352,347"
02/01/2024,"100.90","101.00","97.17","99.02","3,770,447"
01/31/2024,"102.47","104.09","100.50","101.05","2,543,615"
01/30/2024,"103.51","104.00","101.90","102.47","2,180,107"
01/29/2024,"101.79","105.81","100.01","104.84","3,458,116"
01/26/2024,"103.55","103.90","101.01","101.81","2,346,289"
01/25/2024,"101.76","103.82","101.07","102.81","2,688,985"
01/24/2024,"103.20","104.27","101.01","101.11","2,595,643"
01/23/2024,"100.50","102.94","99.54","101.92","2,818,574"
01/22/2024,"100.25","102.97","98.60","99.70","3,403,256"
01/19/2024,"98.43","100.44","97.08","99.70","3,733,489"
01/18/2024,"100.01","100.01","96.65","99.07","3,781,762"
01/17/2024,"98.30","101.49","97.61","100.35","4,584,949"
01/16/2024,"104.31","104.31","97.52","102.16","5,930,182"
01/12/2024,"107.00","110.80","105.88","105.95","3,872,881"
01/11/2024,"108.61","108.61","105.53","106.80","4,015,864"
01/10/2024,"110.00","110.01","106.65","109.46","4,082,663"
01/09/2024,"113.88","114.25","108.87","110.18","5,099,137"
01/08/2024,"111.47","115.97","108.62","115.44","6,011,779"
01/05/2024,"107.77","115.81","106.50","111.12","9,216,724"
01/04/2024,"109.01","109.41","105.51","108.66","6,284,631"
01/03/2024,"112.51","112.67","107.58","108.58","8,350,953"
01/02/2024,"99.88","115.68","99.40","112.50","14,530,220"
12/29/2023,"98.61","100.80","98.02","99.45","5,204,646"
12/28/2023,"101.60","102.95","97.91","98.79","4,561,913"
12/27/2023,"98.47","100.98","97.36","100.73","5,413,148"
12/26/2023,"96.39","97.77","94.34","97.33","3,852,772"
12/22/2023,"92.00","96.49","91.95","94.89","6,174,806"
12/21/2023,"87.50","92.38","86.68","91.16","5,337,113"
12/20/2023,"88.93","90.18","86.12","86.19","4,503,356"
12/19/2023,"86.41","89.30","84.80","89.09","5,931,991"
12/18/2023,"85.87","86.80","83.60","85.42","5,815,286"
12/15/2023,"87.03","89.53","85.40","86.01","12,822,440"
12/14/2023,"88.47","94.93","83.73","85.87","22,300,250"
12/13/2023,"76.00","78.72","73.25","78.60","7,960,547"
12/12/2023,"81.24","81.39","76.41","78.04","5,207,910"
12/11/2023,"79.94","82.56","79.77","82.00","3,858,610"
12/08/2023,"79.16","81.82","78.76","80.32","2,931,622"
12/07/2023,"80.49","80.53","77.40","79.95","3,477,607"
12/06/2023,"78.97","84.12","77.64","80.60","4,404,650"
12/05/2023,"78.30","79.72","77.70","78.28","2,160,072"
12/04/2023,"79.56","80.73","77.66","79.87","3,171,966"
12/01/2023,"76.58","80.26","74.50","79.83","3,958,346"
11/30/2023,"79.63","80.20","77.52","77.70","3,314,985"
11/29/2023,"78.95","80.89","78.85","79.01","2,569,849"
11/28/2023,"77.32","78.25","75.84","78.18","2,240,038"
11/27/2023,"78.36","78.36","75.66","77.72","2,960,110"
11/24/2023,"78.66","81.12","77.77","78.52","2,152,974"
11/22/2023,"78.06","78.67","76.84","78.17","2,203,917"
