Date,Open,High,Low,Close,Volume
02/16/2024,"23.30","23.55","23.09","23.38","9,104,180"
02/15/2024,"22.39","23.36","22.37","23.24","11,381,490"
02/14/2024,"22.52","22.67","22.21","22.39","8,120,721"
02/13/2024,"22.57","22.71","22.18","22.33","11,011,700"
02/12/2024,"22.52","22.99","22.48","22.65","13,263,360"
02/09/2024,"22.72","22.87","22.37","22.45","8,125,699"
02/08/2024,"22.72","22.89","22.35","22.70","13,237,730"
02/07/2024,"22.54","22.75","22.38","22.69","7,691,120"
02/06/2024,"22.43","22.80","22.30","22.53","6,978,822"
02/05/2024,"22.28","22.43","22.06","22.32","7,121,922"
02/02/2024,"22.67","22.73","22.30","22.46","8,631,620"
02/01/2024,"22.99","23.17","22.45","22.66","9,784,915"
01/31/2024,"23.51","23.54","22.84","22.85","9,127,218"
01/30/2024,"22.92","23.58","22.92","23.54","9,538,911"
01/29/2024,"23.15","23.22","22.82","23.19","7,707,814"
01/26/2024,"23.09","23.25","22.72","23.21","8,570,878"
01/25/2024,"22.76","23.14","22.39","23.13","10,732,660"
01/24/2024,"22.56","22.71","22.35","22.59","8,453,687"
01/23/2024,"22.25","22.58","22.16","22.37","6,720,817"
01/22/2024,"22.19","22.47","22.04","22.28","8,857,901"
01/19/2024,"22.06","22.28","21.90","22.27","9,712,248"
01/18/2024,"22.30","22.32","21.81","22.15","10,368,580"
01/17/2024,"22.29","22.56","22.19","22.32","8,342,623"
01/16/2024,"23.22","23.27","22.58","22.66","11,314,160"
01/12/2024,"23.40","23.52","23.19","23.40","11,788,730"
01/11/2024,"22.94","23.08","22.74","22.94","8,240,048"
01/10/2024,"23.15","23.18","22.68","22.85","10,251,230"
01/09/2024,"23.76","23.79","23.07","23.21","7,597,827"
01/08/2024,"23.77","23.91","23.38","23.74","10,604,620"
01/05/2024,"24.42","24.51","24.11","24.39","11,898,120"
01/04/2024,"25.12","25.16","24.14","24.18","9,155,460"
01/03/2024,"24.40","25.03","24.20","24.93","9,894,113"
01/02/2024,"24.36","24.78","24.30","24.42","8,857,482"
12/29/2023,"24.46","24.53","24.07","24.16","8,617,059"
12/28/2023,"24.69","24.76","24.37","24.38","8,010,601"
12/27/2023,"25.05","25.15","24.79","24.85","6,578,206"
12/26/2023,"24.91","25.30","24.85","25.15","8,221,420"
12/22/2023,"24.89","25.02","24.62","24.64","5,571,926"
12/21/2023,"24.54","24.76","24.47","24.71","8,749,958"
12/20/2023,"24.90","25.10","24.45","24.47","10,851,540"
12/19/2023,"24.50","24.89","24.39","24.84","11,370,700"
12/18/2023,"25.00","25.14","24.52","24.57","11,468,790"
12/15/2023,"24.21","24.42","23.99","24.32","23,265,090"
12/14/2023,"24.30","24.72","24.26","24.44","13,035,000"
12/13/2023,"23.45","23.96","23.24","23.93","11,165,100"
12/12/2023,"23.69","23.69","23.14","23.35","12,939,810"
12/11/2023,"23.82","24.27","23.81","24.05","7,536,497"
12/08/2023,"23.90","24.12","23.79","24.09","7,816,371"
12/07/2023,"23.69","23.90","23.45","23.66","9,368,916"
12/06/2023,"24.12","24.41","23.53","23.54","10,053,460"
12/05/2023,"25.17","25.19","24.38","24.40","8,036,411"
12/04/2023,"25.10","25.41","25.00","25.06","8,269,860"
12/01/2023,"25.35","25.93","25.25","25.44","6,864,709"
11/30/2023,"25.65","26.25","25.10","25.43","15,874,290"
11/29/2023,"25.45","25.56","25.18","25.30","8,496,745"
11/28/2023,"25.42","25.59","25.20","25.32","7,220,798"
11/27/2023,"25.20","25.38","25.05","25.32","9,620,335"
11/24/2023,"25.24","25.59","25.22","25.35","4,542,211"
11/22/2023,"24.53","25.29","24.31","25.24","7,866,308"
11/21/2023,"25.35","25.45","25.06","25.31","7,359,356"
