Date,Open,High,Low,Close,Volume
02/16/2024,"407.96","408.29","403.44","404.06","22,296,500"
02/15/2024,"408.14","409.13","404.29","406.56","21,825,529"
02/14/2024,"408.07","409.84","404.57","409.49","20,401,189"
02/13/2024,"404.94","410.07","403.39","406.32","27,824,939"
02/12/2024,"420.56","420.74","414.75","415.26","21,202,920"
02/09/2024,"415.25","420.82","415.09","420.55","22,032,840"
02/08/2024,"414.05","415.56","412.53","414.11","21,225,260"
02/07/2024,"407.44","414.30","407.40","414.05","22,340,529"
02/06/2024,"405.88","407.97","402.91","405.49","18,382,619"
02/05/2024,"409.90","411.16","403.99","405.65","25,352,289"
02/02/2024,"403.81","412.65","403.56","411.22","28,256,670"
02/01/2024,"401.83","408.00","401.80","403.78","30,657,730"
01/31/2024,"406.96","415.32","397.21","397.58","47,871,102"
01/30/2024,"412.26","413.05","406.45","408.59","33,477,609"
01/29/2024,"406.06","409.98","404.33","409.72","24,510,240"
01/26/2024,"404.37","406.17","402.43","403.93","17,803,270"
01/25/2024,"404.32","407.01","402.53","404.87","21,021,160"
01/24/2024,"401.54","405.63","400.45","402.56","24,866,949"
01/23/2024,"395.75","399.38","393.93","398.90","20,525,881"
01/22/2024,"400.02","400.62","393.59","396.51","27,016,900"
01/19/2024,"395.76","398.67","393.50","398.67","29,331,141"
01/18/2024,"391.72","393.99","390.12","393.87","23,392,070"
01/17/2024,"387.98","390.11","384.81","389.47","22,234,109"
01/16/2024,"393.66","394.03","387.62","390.27","27,202,270"
01/12/2024,"385.49","388.68","384.65","388.47","21,661,150"
01/11/2024,"386.00","390.68","380.38","384.63","27,850,850"
01/10/2024,"376.37","384.17","376.32","382.77","25,514,250"
01/09/2024,"372.01","375.99","371.19","375.79","20,829,949"
01/08/2024,"369.30","375.20","369.01","374.69","23,133,971"
01/05/2024,"368.97","372.06","366.50","367.75","21,004,580"
01/04/2024,"370.67","373.10","367.17","367.94","20,901,500"
01/03/2024,"369.01","373.26","368.51","370.60","23,083,471"
01/02/2024,"373.86","375.90","366.77","370.87","25,258,631"
12/29/2023,"376.00","377.16","373.48","376.04","18,730,840"
12/28/2023,"375.37","376.46","374.16","375.28","14,327,010"
12/27/2023,"373.69","375.06","372.81","374.07","14,905,410"
12/26/2023,"375.00","376.94","373.50","374.66","12,673,050"
12/22/2023,"373.68","375.18","372.71","374.58","17,107,480"
12/21/2023,"372.56","374.41","370.04","373.54","17,708,010"
12/20/2023,"375.00","376.03","370.53","370.62","26,316,650"
12/19/2023,"371.49","373.26","369.84","373.26","20,603,660"
12/18/2023,"369.45","373.00","368.68","372.65","21,802,881"
12/15/2023,"366.85","372.40","366.28","370.73","78,502,320"
12/14/2023,"373.31","373.76","364.13","365.93","43,277,461"
12/13/2023,"376.02","377.64","370.77","374.37","30,955,529"
12/12/2023,"370.85","374.42","370.46","374.38","24,838,250"
12/11/2023,"368.48","371.60","366.10","371.30","27,708,760"
12/08/2023,"369.20","374.46","368.23","374.23","20,154,369"
12/07/2023,"368.23","371.45","366.32","370.95","23,118,859"
12/06/2023,"373.54","374.18","368.03","368.80","21,182,070"
12/05/2023,"366.45","373.08","365.62","372.52","23,065,039"
12/04/2023,"369.10","369.52","362.90","369.14","32,063,311"
12/01/2023,"376.76","378.16","371.31","374.51","33,040,469"
11/30/2023,"378.49","380.09","375.47","378.91","30,554,420"
11/29/2023,"383.76","384.30","377.44","378.85","28,963,400"
11/28/2023,"378.35","383.00","378.16","382.70","20,453,109"
11/27/2023,"376.78","380.64","376.20","378.61","22,179,230"
11/24/2023,"377.33","377.97","375.14","377.43","10,176,650"
11/22/2023,"378.00","379.79","374.97","377.85","23,361,180"
11/21/2023,"375.67","376.22","371.12","373.07","28,423,150"
